[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46644185.19,04/06/2017,6:59 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46645068.995,20.0091991,568.082489013672,4.79780912705852E-5,1.89313707881953E-7,1,0.999253354069792,40.0298881530762,1.99441756308349,16.1200007982552,0.00052093629318228,6.2425858969618E-5,0.25,-2.64723218243722E-6,4.76996265502501E-5,-2.52194339628509E-6,20.0089378,20.0094604,538.064575195313,598.100402832031,51.5921720403516,18.7263936962644,4.5955143,0,0,0,4449,20.0052,568.082489013672,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0091991,,,,
,46645070.135,20.00978465,625.475158691406,4.83891025381486E-5,2.46012761473187E-7,1,0.999253354069792,40.0298881530762,1.99447036157414,16.1200007982552,0.00052495941239662,6.55338281503169E-5,0.25,-2.43085364135928E-6,4.81077405158963E-5,-2.30583049832626E-6,20.0094604,20.0101089,598.100402832031,652.849914550781,52.1869913434863,18.7264092644933,4.5955143,0,0,0,4449,20.00685,625.475158691406,,,,,,,,,,,,,,,,,12.627627,,,,,,20.00978465,,,,
,46645071.3,20.01049995,682.768707275391,4.86507828698729E-5,1.87542862639201E-7,1,0.999253354069792,40.0298881530762,1.99455553154124,16.1200007982552,0.000527625682390769,6.69934744519292E-5,0.25,-2.34155441494788E-6,4.83676989029826E-5,-2.21638456681555E-6,20.0101089,20.010891,652.849914550781,712.6875,52.1783934297748,18.726576040214,4.5955143,0,0,0,4449,20.00705,682.768707275391,,,,,,,,,,,,,,,,,13.753754,,,,,,20.01049995,,,,
,46645072.54,20.0110655,745.109344482422,4.85852031582011E-5,2.55365007572258E-7,1,0.999253354069792,40.0298881530762,1.99458257377073,16.1200007982552,0.000527957693324318,6.10231444900345E-5,0.25,-2.88533756164851E-6,4.83037890398467E-5,-2.75701065978252E-6,20.010891,20.01124,712.6875,777.531188964844,52.1760485442171,18.7266489718882,4.5955143,0,0,0,4449,20.00555,745.109344482422,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0110655,,,,
,46645073.655,20.0116167,802.373443603516,4.88079547883504E-5,2.00899485499187E-7,1,0.999253354069792,40.0298881530762,1.99453519260244,16.1200007982552,0.000529110444003351,6.84324788082044E-5,0.25,-2.23555107591528E-6,4.85237678307757E-5,-2.1104847309546E-6,20.01124,20.0119934,777.531188964844,827.215698242188,52.3870882444094,18.7267831446127,4.5955143,0,0,0,4449,20.0061,802.373443603516,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0116167,,,,
,46645074.735,20.0122776,854.733734130859,4.90543515249766E-5,3.60879238585787E-7,1,0.999253354069792,40.0298881530762,1.99440661933072,16.1200007982552,0.000531502487764143,7.01763434140043E-5,0.25,-2.11648625181993E-6,4.87684640068558E-5,-1.99148476134941E-6,20.0119934,20.0125618,827.215698242188,882.251770019531,51.7203591175055,18.7282396284604,4.5955143,0,0,0,4449,20.00685,854.733734130859,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0122776,,,,
,46645075.86,20.0127363,909.678253173828,4.88538927380325E-5,3.08862045618872E-7,1,0.999253354069792,40.0298881530762,1.9945263903689,16.1200007982552,0.000529218921536259,7.06992022635624E-5,0.25,-2.03300261284723E-6,4.85690355398308E-5,-1.90887678995503E-6,20.0125618,20.0129108,882.251770019531,937.104736328125,53.0608520279864,18.7302714531857,4.5955143,0,0,0,4449,20.0063,909.678253173828,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0127363,,,,
,46645077,20.0131874,967.096740722656,4.9344328279091E-5,2.32679376594479E-7,1,0.999253354069792,40.0298881530762,1.9945574430621,16.1200007982552,0.000535266403099151,6.72866851002255E-5,0.25,-2.43692853701218E-6,4.90575302933045E-5,-2.30919453217553E-6,20.0129108,20.013464,937.104736328125,997.088745117187,52.2768786231978,18.7263007019401,4.5496073,0,0,0,4449,20.009,967.096740722656,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0131874,,,,
,46645078.305,20.0135355,1031.98010253906,4.89332531279997E-5,2.23151354820181E-7,1,0.999253354069792,40.0298881530762,1.99458169103765,16.1200007982552,0.000530328236866936,6.94827375793842E-5,0.25,-2.16047193497106E-6,4.86482974331928E-5,-2.03522443375706E-6,20.013464,20.013607,997.088745117187,1066.87145996094,52.321431448794,18.7280460362141,4.5955143,0,0,0,4449,20.00845,1031.98010253906,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0135355,,,,
,46645080.48,20.01365185,1141.97131347656,4.93907342676911E-5,2.71219243718266E-7,1,0.999253354069792,40.0298881530762,1.99456876511632,16.1200007982552,0.00053478377878374,7.2970053929253E-5,0.25,-1.91693281715559E-6,4.9102577838978E-5,-1.79191404881845E-6,20.013588,20.0137157,1137.09033203125,1146.85229492188,51.9970556133132,18.7234840435347,4.5955143,0,0,0,4449,20.0054,1141.97131347656,,,,,,,,,,,,,,,,,13.753754,,,,,,20.01365185,,,,
,46645081.165,20.0134211,1176.75177001953,4.95045035943812E-5,2.47529118574016E-7,1,0.999253354069792,40.0298881530762,1.99444226341411,16.1200007982552,0.000536931662639263,6.77542839681818E-5,0.25,-2.42166258820714E-6,4.92168579535458E-5,-2.29333949581958E-6,20.0132542,20.013588,1146.85229492188,1206.65124511719,52.3784903306978,18.7269721838118,4.5955143,0,0,0,4449,20.0048,1176.75177001953,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0134211,,,,
,46645082.415,20.0130749,1239.08807373047,4.95794786678593E-5,2.82155291987733E-7,1,0.999253354069792,40.0298881530762,1.99441869775519,16.1200007982552,0.000537586855589894,6.87215574328873E-5,0.25,-2.34495620119687E-6,4.92912547094919E-5,-2.21681797935258E-6,20.0128956,20.0132542,1206.65124511719,1271.52490234375,52.9248486656402,18.7262018422986,4.6414213,0,0,0,4449,20.00455,1239.08807373047,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0130749,,,,
,46645083.64,20.0125246,1301.56646728516,4.94098185695821E-5,3.42840113970053E-7,1,0.999253354069792,40.0298881530762,1.99461600125333,16.1200007982552,0.000535589595034209,6.96737364618208E-5,0.25,-2.22722266838053E-6,4.9122369578622E-5,-2.10007746591135E-6,20.0121536,20.0128956,1271.52490234375,1331.60803222656,52.4394573551979,18.7308142427364,4.5955143,0,0,0,4449,20.00275,1301.56646728516,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0125246,,,,
,46645084.725,20.0117445,1356.43176269531,4.91127511252136E-5,2.59805123479471E-7,1,0.999253354069792,40.0298881530762,1.99464540054805,16.1200007982552,0.000532748091554349,6.71512007929724E-5,0.25,-2.40961621866481E-6,4.8827518286151E-5,-2.28199371411467E-6,20.0113354,20.0121536,1331.60803222656,1381.25549316406,52.1823015723709,18.7280475031387,4.5955143,0,0,0,4449,20.00035,1356.43176269531,,,,,,,,,,,,,,,,,13.378378,,,,,,20.0117445,,,,
,46645086.59,20.0106812,1446.06762695313,4.94722316157601E-5,1.72043059878358E-7,1,0.999253354069792,40.0298881530762,1.99442082496612,16.1200007982552,0.000536641841330637,6.73486292597773E-5,0.25,-2.45408972268232E-6,4.91850365450418E-5,-2.32523039910278E-6,20.0106812,20.0106812,1441.08898925781,1451.04626464844,52.5191834641594,18.729048693687,4.6414213,0,0,0,4449,20.0005,1446.06762695313,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0106812,,,,
