#Superball Data generated at 2018-12-07 12:30:14.220932
#[[Parameters]]
#r	46.9420932
#d	15
#pVal	2.65741745
#sldCore	6.198e-06
#sldShell	7.8e-08
#sldSolvent	5.664e-06
#sigR	0.11870449
#i0	0.0274
#bg	0
#orderHermite	10
#orderLegendre	10
#dTheta_sa	0.002
#wavelength	7.208
#dWavelength	0.084932
#dTheta_la	0.003
#
#[[Data]] sa
#q	I
0.00740308	0.6362855534254913
0.00823259	0.6200799813438732
0.00828552	0.6190557703661713
0.00910142	0.6025807743475394
0.00915549	0.6014987105389935
0.00996969	0.5844786094495596
0.0100348	0.5831289184357026
0.0108374	0.5657414097549022
0.010915	0.5640755974868427
0.0117058	0.5463328275302651
0.011795	0.5443531986618939
0.0125735	0.5263060808464535
0.0126602	0.524323197128953
0.013442	0.505678225374243
0.0135403	0.5033702927535711
0.01431	0.48472042298562
0.0144208	0.4818847782706228
0.0151754	0.46323105811847826
0.01528	0.460492061669823
0.0160463	0.4412777854247336
0.0161662	0.4379695703450348
0.0169116	0.4190990235032521
0.0170404	0.4158696829236838
0.0177827	0.3967977859183971
0.0179113	0.3934317059923378
0.0186478	0.3746520006348621
0.0187855	0.37106326378019294
0.0195189	0.35232514067383897
0.019672	0.34851385902310145
0.0203838	0.3304838099900521
0.0205461	0.32649937225959064
0.0212551	0.30880172105042686
0.0214169	0.3049035293045656
0.0221199	0.28767954845218635
0.0222907	0.2836604820280604
0.0229911	0.26690136667913206
0.0231776	0.26252862401138455
0.0238557	0.2468812027157673
0.0240355	0.24276485363069042
0.0247238	0.22752772186307554
0.0249152	0.22319167901428252
0.0255914	0.20879676081104898
0.0257956	0.2044975627386909
0.0264559	0.19090267375942377
0.0266692	0.1866168974834126
0.0273269	0.17362347904034486
0.0275398	0.1696378813803166
0.0281912	0.1574217317517384
0.0284133	0.15349447076785666
0.0290622	0.14199263106477703
0.0292997	0.13799051096583975
0.0299263	0.12764658592237677
0.030157	0.12396877764384892
0.0307973	0.11423002633249699
0.0310434	0.11045533306037668
0.0316612	0.10174656540360183
0.0319164	0.09810729583555873
0.0325321	0.09011872504676748
0.0327867	0.08693597912699098
0.0333959	0.0794910801849227
0.0336597	0.07651705999975816
0.0342666	0.06975609970172156
0.0345459	0.06688341372540751
0.0351302	0.061048493020113
0.0354188	0.05834654874579168
0.0360009	0.053246720619868404
0.0362887	0.050727487555908654
0.0368643	0.046257070680066605
0.0371612	0.043969725018673696
0.0377348	0.04003588729341398
0.0380474	0.03804914823361427
0.038598	0.03465861998782654
0.0389036	0.03298346154632126
0.0394684	0.02999064566508773
0.0397894	0.0284989894504349
0.0403314	0.026093157498101777
0.0406616	0.024785222523436238
0.0412017	0.022881528332871968
0.0415475	0.02170766065515338
0.0420645	0.020218298103342514
0.0424032	0.019292053470298633
0.0429346	0.018098625646127717
0.0432888	0.017422350347736426
0.0437972	0.01650717205818922
0.0441605	0.016010122938086933
0.0446672	0.015390595416991556
0.0450298	0.01505104351924911
0.0455334	0.014718133411071694
0.0459081	0.014490542886059008
0.0463993	0.014369533311563005
0.0467788	0.014305683335947034
0.0472639	0.014344066629206675
0.0476556	0.01445078603361315
0.0481311	0.01460360808661148
0.0485268	0.014820912052566136
0.0490007	0.015123043161129425
0.0493956	0.015425679954533582
0.0498538	0.015818618691966244
0.0502664	0.016227748326739753
0.0507243	0.016731499082359578
0.0511351	0.017200504361500408
0.0515854	0.017759368368529826
0.0518592	0.018117585579651638
#
#[[Data]] la
#q	I
0.0324174	0.08974195034142819
0.0326772	0.08715865338224232
0.0358422	0.0590227863058018
0.0361019	0.0570231046946227
0.0392692	0.03685634575318582
0.0395867	0.03526866785744407
0.042696	0.02360351232706835
0.0430771	0.022638501220637354
0.0461236	0.017839917120861026
0.046565	0.01752496148944597
0.04955	0.017171077733762388
0.0499863	0.017348272156913928
0.0529764	0.019243346165175444
0.0534746	0.019643527144912996
0.0564011	0.022123190353449645
0.0569621	0.022565650344332902
0.059825	0.02439667584142461
0.0603747	0.024661896640000694
0.0632469	0.02541758934837988
0.0638653	0.025451771112380613
0.0666675	0.024980771199036866
0.0673423	0.024701524214311626
0.0700857	0.02323222176715895
0.0735023	0.02056173611526228
0.0769162	0.017488629875981227
0.0803281	0.01440684149323022
0.0836874	0.011676253989015523
0.087093	0.009412916741125783
0.0904961	0.0077552434406755804
0.0934204	0.006756672027836771
0.0939991	0.006608335046900594
0.0968322	0.0060326249377903015
0.0975169	0.005940894533744934
0.100234	0.005668949928256944
0.101002	0.005625681682981835
0.103639	0.005538759442806547
0.104491	0.005508418770848369
0.107046	0.005493467822308069
0.107919	0.005491276870419703
0.110422	0.005463632257854214
0.111354	0.005451762514047508
0.113828	0.005391294268287432
0.114844	0.005357748551302784
0.117217	0.0052504697268914696
0.118236	0.005187511740849627
0.120603	0.005025924158089015
0.121697	0.004941021597212885
0.124007	0.0047356448711612775
0.125185	0.004622972456797096
0.127368	0.004403259368627889
0.128536	0.004280630115790112
0.130768	0.004042234846488146
0.133148	0.003789662058963485
0.134273	0.0036713033186309097
0.136668	0.0034263643089677063
0.137819	0.00331462857178284
0.140207	0.0030909289414861097
0.141313	0.002993850444388555
0.14367	0.0027988523714868197
0.144769	0.0027144266841893664
0.147036	0.002554857049839971
0.14823	0.002475216858984554
0.150405	0.0023450818451482684
0.151629	0.002277928446712501
0.153757	0.002167326758097565
0.155062	0.0021072506323270824
0.157126	0.0020174438145174668
0.158525	0.001961495997865414
0.160475	0.0018906208281378384
0.162237	0.0018286172751659506
0.163867	0.0017755993723622288
0.166174	0.0017037747145238822
0.167466	0.0016658251879531768
0.169664	0.0016047228523298487
0.17097	0.0015673972395684147
0.173113	0.001510136266077538
0.174495	0.0014741339274681612
0.176549	0.0014192872353454972
0.177987	0.0013827866463447993
0.179931	0.0013325554401599122
0.181424	0.0012951313188490914
0.183267	0.0012480205208386594
0.184799	0.0012094547181914995
0.186586	0.0011653881904140765
0.188728	0.0011118792803910145
