[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46585514.50,04/05/2017,2:41 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.48,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46586102.405,5.01907755,500.850494384766,4.6479353801597E-5,2.71325305115822E-7,1,0.999253354069792,40.0298881530762,1.99492175940877,15.5500008817762,0.000504164476639784,6.40105207717078E-5,0.25,-2.23425111055122E-6,4.62089371803775E-5,-2.11782802699501E-6,5.0188766,5.0192785,478.5751953125,523.125793457031,53.1491760506595,18.703853266651,1.7007193,0,0,0,4449,4.9444,500.850494384766,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01907755,,,,
,46586103.3,5.01880505,545.6240234375,4.6459024201507E-5,2.67548908549995E-7,1,0.999253354069792,40.0298881530762,1.99484156267762,15.5500008817762,0.000504698330735466,5.95896268801731E-5,0.25,-2.64153772279713E-6,4.61896564019809E-5,-2.5226907393234E-6,5.0187335,5.0188766,523.125793457031,568.122253417969,52.5324711489863,18.7062959391082,1.68398195,0,0,0,4449,4.9459,545.6240234375,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01880505,,,,
,46586104.26,5.01878525,592.943572998047,4.66468477204377E-5,2.09047783928683E-7,1,0.999253354069792,40.0298881530762,1.99489512414563,15.5500008817762,0.000505921412251333,6.45473828248129E-5,0.25,-2.21388623351551E-6,4.63754428062404E-5,-2.09709494831038E-6,5.0187335,5.018837,568.122253417969,617.764892578125,52.5996912016402,18.7087572632472,1.6587497,0,0,0,4449,4.9452,592.943572998047,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01878525,,,,
,46586105.26,5.0185974,642.813446044922,4.67117500974901E-5,3.41338703891742E-7,1,0.999253354069792,40.0298881530762,1.99484546313259,15.5500008817762,0.000506702090746058,6.41340402568326E-5,0.25,-2.26367597387267E-6,4.64400988465516E-5,-2.14638050014828E-6,5.0183578,5.018837,617.764892578125,667.861999511719,52.687233595794,18.7064026008365,1.6670766,0,0,0,4449,4.94465,642.813446044922,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0185974,,,,
,46586106.315,5.01825455,695.399841308594,4.72937229998282E-5,2.98017223078947E-7,1,0.999253354069792,40.0298881530762,1.99488680258916,15.5500008817762,0.000512696550662341,6.68013327351006E-5,0.25,-2.11837568318663E-6,4.70183309762024E-5,-2.00057596109116E-6,5.0181513,5.0183578,667.861999511719,722.937683105469,52.341753790294,18.7055107627405,1.69230885,0,0,0,4449,4.94575,695.399841308594,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01825455,,,,
,46586107.37,5.01862695,747.816864013672,4.74802013847353E-5,2.41556743732764E-7,1,0.999253354069792,40.0298881530762,1.99479113636114,15.5500008817762,0.000514969423552016,6.55044694973868E-5,0.25,-2.27159204678602E-6,4.72040761445061E-5,-2.15239823577063E-6,5.0181513,5.0191026,722.937683105469,772.696044921875,52.1361854897363,18.7093313342172,1.7007193,0,0,0,4449,4.9454,747.816864013672,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01862695,,,,
,46586108.275,5.0190487,792.648132324219,4.73609061302071E-5,2.25340616136274E-7,1,0.999253354069792,40.0298881530762,1.99484352212423,15.5500008817762,0.000514410301385762,6.12434205908805E-5,0.25,-2.64696919579998E-6,4.70863500269564E-5,-2.52575631614718E-6,5.0189948,5.0191026,772.696044921875,812.600219726563,52.6747275394863,18.7026078217483,1.68381395,0,0,0,4449,4.94515,792.648132324219,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0190487,,,,
,46586109.265,5.01851795,842.436706542969,4.77130921700071E-5,2.91376477691348E-7,1,0.999253354069792,40.0298881530762,1.99482910206458,15.5500008817762,0.000516984329603376,6.87848277414113E-5,0.25,-2.00786810744018E-6,4.74350556170916E-5,-1.88958472727682E-6,5.0180411,5.0189948,812.600219726563,872.273193359375,52.9412628645441,18.7074274934209,1.69230885,0,0,0,4449,4.94415,842.436706542969,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01851795,,,,
,46586110.445,5.01754545,902.225646972656,4.8052367951374E-5,2.42653072759187E-7,1,0.999253354069792,40.0298881530762,1.99491435308553,15.5500008817762,0.000521716342897076,6.34029611186712E-5,0.25,-2.56833097669145E-6,4.77736091192003E-5,-2.44588683813562E-6,5.0170498,5.0180411,872.273193359375,932.178100585938,52.301109107294,18.7101318352772,1.69230885,0,0,0,4449,4.94385,902.225646972656,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01754545,,,,
,46586111.49,5.017251,954.880554199219,4.78879479907353E-5,2.54499427549751E-7,1,0.999253354069792,40.0298881530762,1.99480463224942,15.5500008817762,0.000518896818518218,6.89048301428211E-5,0.25,-2.0276071027597E-6,4.76089877509943E-5,-1.90865478727971E-6,5.0170498,5.0174522,932.178100585938,977.5830078125,52.2479583679863,18.7063767567562,1.69230885,0,0,0,4449,4.94485,954.880554199219,,,,,,,,,,,,,,,,,12.252253,,,,,,5.017251,,,,
