#File generated by ModelExp v0.7.3
#Generated at 2019-01-30 15:49:04.984705
#Fit range: 0.01 .. 1

#[[Data]] p_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	7.0	0.0	1.002512804821604
5.289761472142036	7.0	4.560391670444778	1.002512804821604
5.289761472142036	0.078	4.560391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
16.75376147214204	5.66	16.02439167044478	0.0
16.75376147214204	5.66	16.02439167044478	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
5.289761472142036	0.078	4.560391670444778	0.0
5.289761472142036	7.0	4.560391670444778	1.002512804821604
0.0	7.0	0.0	1.002512804821604
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.66	2.1	0.0
12.1	5.66	12.1	0.0

#[[Data]] m_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	7.0	0.0	1.002512804821604
5.289761472142036	7.0	4.560391670444778	1.002512804821604
5.289761472142036	0.078	4.560391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
16.75376147214204	5.66	16.02439167044478	0.0
16.75376147214204	5.66	16.02439167044478	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
5.289761472142036	0.078	4.560391670444778	0.0
5.289761472142036	7.0	4.560391670444778	1.002512804821604
0.0	7.0	0.0	1.002512804821604
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.66	2.1	0.0
12.1	5.66	12.1	0.0

#[[Data]] p_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	7.0	0.0	1.002512804821604
5.289761472142036	7.0	4.560391670444778	1.002512804821604
5.289761472142036	0.078	4.560391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
16.75376147214204	5.66	16.02439167044478	0.0
16.75376147214204	5.66	16.02439167044478	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
5.289761472142036	0.078	4.560391670444778	0.0
5.289761472142036	7.0	4.560391670444778	1.002512804821604
0.0	7.0	0.0	1.002512804821604
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.66	2.1	0.0
12.1	5.66	12.1	0.0

#[[Data]] m_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	7.0	0.0	1.002512804821604
5.289761472142036	7.0	4.560391670444778	1.002512804821604
5.289761472142036	0.078	4.560391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
16.75376147214204	5.66	16.02439167044478	0.0
16.75376147214204	5.66	16.02439167044478	0.0
6.7537614721420365	5.66	6.024391670444778	0.0
6.7537614721420365	0.078	6.024391670444778	0.0
5.289761472142036	0.078	4.560391670444778	0.0
5.289761472142036	7.0	4.560391670444778	1.002512804821604
0.0	7.0	0.0	1.002512804821604
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.66	2.1	0.0
12.1	5.66	12.1	0.0
