#File generated by ModelExp v0.3.5
#Generated at 2018-08-27 13:41:59.293240

#[[Data]] sa
#r / nm	SLD / 1e-6 A-2
0.0	6.938468608327322
4.289595820000001	6.938468608327322
4.289595820000001	0.078
5.413233598576637	0.078
5.413233598576637	5.664000000000001
14.289595819999999	5.664000000000001

#[[Data]] la
#r / nm	SLD / 1e-6 A-2
0.0	6.938468608327322
4.289595820000001	6.938468608327322
4.289595820000001	0.078
5.413233598576637	0.078
5.413233598576637	5.664000000000001
14.289595819999999	5.664000000000001
