#File generated using DRRR v.0.23
#
#Data Information
#Cutted data off on pixel detector in x: (500, 900)
#Cutted data off on pixel detector in y: (400, 1100)
#Wavelength [Ang]: 5.1836
#Horizontal Gap slit 1 [mm]: 3.0
#Horizontal Gap slit 2 [mm]: 1.0
#Pixel width [mm]: 2.143e-01
#HDF5 Path was: ES_S14_30K_730mT_ZFC
#Raw resolution in x: 1
#Raw resolution in y: 0.042
#
#Reduction Information
#Fitted specular model: Gaussian
#Fitted diffuse model: None
#Fitted noise model: Constant
#I0: 1.0
#bin factor along x: 1.0
#data transposed: False
#intensity threshold: 0.0
#left data cutoff: 500.0
#rebin factor y: 0.0
#right data cutoff: 700.0
#fit mode: leastsq
#fom: standard
#repetitions: 5
#use analytic derivative: True
#bg interspace: 0.0
#bg mode: symmetric
#bg width: 30.0
#left edge: 570.0
#right edge: 630.0
#
#qz	I	sI
-4.23112397244e-05	0.17532551	0.002032
0.000846224777346	0.16583081	0.001646
0.00169244945158	0.16652018	0.00135
0.0025386739196	0.16731484	0.001894
0.00338489807828	0.16200856	0.001583
0.00423112182453	0.038061159	0.0007405
0.00507734505523	0.095640795	0.0009306
0.00592356766726	0.12260493	0.001036
0.00676978955753	0.13717678	0.001475
0.00761601062293	0.15078847	0.001485
0.00846223076033	0.17088207	0.001689
0.00930844986663	0.18856243	0.001751
0.0101546678387	0.19490734	0.001781
0.0110008845735	0.19426058	0.001789
0.0118894107006	0.18867976	0.001367
0.012651003257	0.1725296	0.001456
0.0135818369007	0.14272851	0.00139
0.0143434265804	0.11178152	0.001107
0.0152742564811	0.076200256	0.0008806
0.0160358429129	0.048008656	0.0006593
0.0169666686171	0.024674917	0.0004435
0.0177282514298	0.011096561	0.0002522
0.0186590724837	0.004613449	0.0001775
0.0194206513061	0.0030280788	0.0001467
0.0203091575043	0.0031765705	0.0001522
0.0211553513489	0.0043432049	0.0001795
0.0220015426157	0.0048638618	0.0001776
0.0228477312017	0.0055277404	0.0002193
0.0236939170038	0.0059341964	0.0001894
0.0245400999189	0.0053396908	0.0001913
0.0253862798438	0.0044821217	0.0001428
0.0262324566755	0.003453502	0.0001228
0.0270786303108	0.0024783211	0.0001119
0.0279248006467	0.00150373	9.545e-05
0.02877096758	0.00129861293823	8.9784252845e-05	# simple sum
0.0296171310077	0.000792863917136	6.9742982619e-05	# simple sum
0.0304632908267	0.000425233419696	5.0074471374e-05	# simple sum
0.0313094469337	0.000275253364384	4.08438168216e-05	# simple sum
0.0321555992258	0.000317592057108	4.2391684468e-05	# simple sum
0.0330017475999	0.000471761566235	5.1081914554e-05	# simple sum
0.0338478919527	0.000618279011451	5.80429092574e-05	# simple sum
0.0346940321814	0.000702793273139	6.12464306367e-05	# simple sum
0.0355401681826	0.000803483547381	6.47734022742e-05	# simple sum
0.0363862998534	0.00101482263137	7.01829582825e-05	# simple sum
0.0372324270906	0.000991247821394	6.93415021017e-05	# simple sum
0.0380785497912	0.000924198522617	6.67377428866e-05	# simple sum
0.038924667852	0.000877814901398	6.40967100177e-05	# simple sum
0.03977078117	0.00074612446011	5.80476168575e-05	# simple sum
0.040616889642	0.000513641282394	4.78448057575e-05	# simple sum
0.041462993165	0.000333692376617	3.88971125596e-05	# simple sum
0.0423090916358	0.000240820709484	3.31640619091e-05	# simple sum
0.0431551849514	0.000227535826913	3.01378565138e-05	# simple sum
0.0440012730087	7.83437352199e-05	1.9133754318e-05	# simple sum
0.0448473557045	8.43661798994e-05	1.79869299907e-05	# simple sum
0.0456934329358	9.31310925508e-05	1.93329877621e-05	# simple sum
0.0465395045996	0.000113058637315	2.03059307017e-05	# simple sum
0.0474278737415	0.000228531247253	2.83458125984e-05	# simple sum
0.0481893279396	0.000270245969068	3.17166011812e-05	# simple sum
0.0490776851542	0.000359148162905	3.53423335143e-05	# simple sum
0.0499660357759	0.00039910377357	3.76441083544e-05	# simple sum
0.050727473828	0.000446283394836	3.94981628956e-05	# simple sum
0.0516581135296	0.000508037990252	4.01364385755e-05	# simple sum
0.0524195403539	0.000466904160198	3.79679208943e-05	# simple sum
0.0533501661057	0.000426752281228	3.55344696272e-05	# simple sum
0.054153882021	0.000573299853226	4.05179852109e-05	# simple sum
0.0549998923388	0.000451640443892	3.57731894592e-05	# simple sum
0.0558458959549	0.000407571754883	3.37425419825e-05	# simple sum
0.0566918927665	0.000323221876325	2.90151825303e-05	# simple sum
0.0575378826703	0.000265588675299	2.7030621311e-05	# simple sum
