#Superball Data generated at 2018-12-09 10:00:50.553522
#[[Parameters]]
#particleSize	52.6233879
#dShell	24.4418791
#dSurfactant	13.0346824
#pVal	5.249
#sldCore_saxs	5.149772479548977e-05
#sldShell_saxs	4.128061600541859e-05
#sldSurfactant_saxs	8.52e-06
#sldSolvent_saxs	8.01e-06
#sigParticleSize	0.03809988
#i0_saxs	0.02571824
#bg_saxs	0
#orderHermite	10
#orderLegendre	10
#i0Oleic	0.90053992
#rOleic	21
#x	1
#sldCore_sans	5.9900780038493805e-06
#sldShell_sans	5.938325458061192e-06
#sldSurfactant_sans	7.8e-08
#sldSolvent_sans	5.664e-06
#i0_sans	0.18020533
#bg_sans	0.01184569
#
#[[Data]] saxs
#r	sld
0.0	5.149772479548977e-05
28.181508799999996	5.149772479548977e-05
28.181508799999996	4.128061600541859e-05
52.6233879	4.128061600541859e-05
52.6233879	8.52e-06
65.65807029999999	8.52e-06
65.65807029999999	8.01e-06
165.6580703	8.01e-06
165.6580703	8.01e-06
65.65807029999999	8.01e-06
65.65807029999999	8.52e-06
52.6233879	8.52e-06
52.6233879	4.128061600541859e-05
28.181508799999996	4.128061600541859e-05
28.181508799999996	5.149772479548977e-05
0.0	5.149772479548977e-05
0.0	8.52e-06
21.0	8.52e-06
21.0	8.01e-06
121.0	8.01e-06
#
#[[Data]] sans_sa
#r	sld
0.0	5.9900780038493805e-06
28.181508799999996	5.9900780038493805e-06
28.181508799999996	5.938325458061192e-06
52.6233879	5.938325458061192e-06
52.6233879	7.8e-08
65.65807029999999	7.8e-08
65.65807029999999	5.664e-06
165.6580703	5.664e-06
165.6580703	5.664e-06
65.65807029999999	5.664e-06
65.65807029999999	7.8e-08
52.6233879	7.8e-08
52.6233879	5.938325458061192e-06
28.181508799999996	5.938325458061192e-06
28.181508799999996	5.9900780038493805e-06
0.0	5.9900780038493805e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
#
#[[Data]] sans_la
#r	sld
0.0	5.9900780038493805e-06
28.181508799999996	5.9900780038493805e-06
28.181508799999996	5.938325458061192e-06
52.6233879	5.938325458061192e-06
52.6233879	7.8e-08
65.65807029999999	7.8e-08
65.65807029999999	5.664e-06
165.6580703	5.664e-06
165.6580703	5.664e-06
65.65807029999999	5.664e-06
65.65807029999999	7.8e-08
52.6233879	7.8e-08
52.6233879	5.938325458061192e-06
28.181508799999996	5.938325458061192e-06
28.181508799999996	5.9900780038493805e-06
0.0	5.9900780038493805e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
