#Generated dipole sums of a layer.
#Number of Sites N = 1000.
#z 	 f(z)
0.1	-995.5985052877662
0.2	-120.91290962186554
0.30000000000000004	-33.40662950106338
0.4	-12.519719297425357
0.5	-5.422375414948477
0.6	-2.5366652178420006
0.7000000000000001	-1.2407125553734228
0.8	-0.6239655826797208
0.9	-0.3198929240085844
1.0	-0.16655932395252826
1.1	-0.08806759325386548
1.2000000000000002	-0.04746605694849948
1.3000000000000003	-0.026306019773553624
1.4000000000000001	-0.015217081125925014
1.5000000000000002	-0.009381757906281707
1.6	-0.006301346961059773
1.7000000000000002	-0.004671298663625034
1.8000000000000003	-0.003807130090390687
1.9000000000000001	-0.003348335538664704
2.0	-0.003104487968674019
2.1	-0.0029747729098301146
2.2	-0.0029057249317731015
2.3000000000000003	-0.002868951243862161
2.4000000000000004	-0.0028493581515149913
2.5000000000000004	-0.0028389153318245097
2.6	-0.002833347736060393
2.7	-0.0028303783893876278
2.8000000000000003	-0.0028287940790432953
2.9000000000000004	-0.0028279481980307553
3.0000000000000004	-0.0028274960470635324
3.1	-0.002827253839425642
3.2	-0.002827123570616291
3.3000000000000003	-0.002827052974394395
3.4000000000000004	-0.00282701417470127
3.5000000000000004	-0.0028269923030082578
3.6	-0.002826979428397991
3.7	-0.00282697132034003
3.8000000000000003	-0.0028269657220848093
3.9000000000000004	-0.002826961429790595
4.0	-0.002826957801253277
4.1	-0.0028269544938851338
4.2	-0.0028269513249042366
4.3	-0.0028269481968163784
4.3999999999999995	-0.002826945057631508
4.5	-0.0028269418795635604
4.6	-0.0028269386478341346
4.7	-0.0028269353545355147
4.8	-0.002826931995468643
4.9	-0.002826928568376977
5.0	-0.002826925072066319
5.1	-0.0028269215058877167
5.2	-0.002826917869506687
5.3	-0.0028269141627385377
5.4	-0.0028269103854944994
5.5	-0.0028269065377176245
5.6	-0.0028269026193823085
5.7	-0.0028268986304724394
5.8	-0.0028268945709776713
5.9	-0.002826890440905505
6.0	-0.0028268862402419243
6.1	-0.002826881968994263
6.2	-0.0028268776271559437
6.3	-0.0028268732147382
6.4	-0.00282686873172764
6.5	-0.0028268641781282744
6.6	-0.002826859553953835
6.7	-0.002826854859184866
6.8	-0.002826850093835681
6.9	-0.00282684525790506
7.0	-0.002826840351384023
7.1	-0.002826835374288121
7.2	-0.002826830326606522
7.3	-0.0028268252083475665
7.4	-0.0028268200195046764
7.5	-0.002826814760083802
7.6	-0.0028268094300819245
7.7	-0.002826804029504325
7.8	-0.002826798558344088
7.9	-0.00282679301661112
8.0	-0.0028267874043035046
8.1	-0.0028267817214163472
8.2	-0.0028267759679557296
8.3	-0.0028267701439207947
8.4	-0.0028267642493136
8.5	-0.002826758284134097
8.6	-0.0028267522483813347
8.7	-0.002826746142056129
8.8	-0.002826739965164745
8.9	-0.002826733717701639
9.0	-0.002826727399668369
9.1	-0.002826721011071256
9.2	-0.002826714551901432
9.3	-0.002826708022172931
9.4	-0.002826701421870803
9.5	-0.0028266947510075767
9.6	-0.0028266880095821102
9.700000000000001	-0.002826681197591163
9.8	-0.0028266743150417994
9.9	-0.002826667361932208
10.0	-0.0028266603382572295
10.1	-0.0028266532440283446
10.200000000000001	-0.0028266460792396725
10.3	-0.0028266388438917805
10.4	-0.0028266315379889117
10.5	-0.0028266241615326343
10.6	-0.0028266167145128973
10.700000000000001	-0.002826609196949728
10.8	-0.0028266016088294935
10.9	-0.0028265939501586138
11.0	-0.0028265862209367054
11.1	-0.002826578421164294
11.200000000000001	-0.0028265705508452085
11.3	-0.0028265626099772245
11.4	-0.0028265545985643233
11.5	-0.002826546516602092
11.6	-0.002826538364098888
11.700000000000001	-0.002826530141051567
11.8	-0.0028265218474575974
11.9	-0.0028265134833295267
12.0	-0.002826505048657309
12.1	-0.0028264965434418986
12.200000000000001	-0.0028264879676948903
12.3	-0.002826479321410124
12.4	-0.002826470604586436
12.5	-0.0028264618172312017
12.6	-0.0028264529593416948
12.700000000000001	-0.00282644403091902
12.8	-0.002826435031963375
12.9	-0.0028264259624783943
13.0	-0.0028264168224646207
13.1	-0.002826407611924769
