#Scaled file summed_nuclear20_la.dat
#Using factor: 0.8596564519696263
#q / A-1 	 I / cm-1 	 sI / cm-
0.0140473	3.91700743027	0.0287702084437
0.0150806	3.64161648588	0.0235110022019
0.0162737	3.34048742732	0.0181031613594
0.0172453	3.04995793281	0.0142169984027
0.0183835	2.83584330032	0.0129669719559
0.0193338	2.62041339346	0.0131375277959
0.0204306	2.37951186592	0.0108768892242
0.0214189	2.17492222692	0.0108586645074
0.0224886	1.9350093043	0.00900610485341
0.0234959	1.71555620524	0.00861341378615
0.0245878	1.52410211683	0.00726982233111
0.0256185	1.33977458039	0.00738107906913
0.026664	1.16105200403	0.006150996652
0.0276987	0.995774454574	0.00603179668837
0.0287421	0.843870580542	0.00514908425036
0.0298056	0.717640346448	0.00495728629936
0.0308514	0.586597755535	0.00444171593886
0.0318879	0.491104537881	0.00429600417025
0.0329413	0.391478951662	0.003763945599
0.0340178	0.317735042243	0.00377255935665
0.0350488	0.253131000221	0.00345382453395
0.0361027	0.201698614356	0.00340829712825
0.037142	0.159755976065	0.00317295757796
0.038201	0.132903747131	0.00323885024501
0.0392233	0.113680969208	0.00299132936279
0.0402967	0.103776867225	0.00303240374806
0.0413035	0.10010269555	0.0029963669496
0.0423605	0.102928386307	0.00292658003883
0.0433868	0.114588766422	0.0029014608773
0.0444662	0.129784913523	0.00289015639496
0.0454828	0.149448695206	0.00291995208758
0.0465569	0.165558657115	0.00287021236527
0.0475874	0.188884575283	0.00288952884575
0.0486531	0.208037721033	0.00291465660384
0.0496398	0.233286690684	0.00295359044455
0.0507101	0.252345274224	0.00284450004079
0.0517496	0.270747939891	0.00288436231047
0.0528166	0.286184790799	0.00292069139213
0.0538396	0.299591133168	0.00283244765734
0.0549323	0.317431583516	0.00287153623621
0.0559416	0.322859454353	0.00289246027425
0.057002	0.330555098911	0.00285375854078
0.0580232	0.334901521933	0.00280713077483
0.0591141	0.335748283538	0.00275923931389
0.0601322	0.333888846632	0.0028120308166
0.0611857	0.322955735876	0.00269823809206
0.0622011	0.314182082127	0.0027475823724
0.0632792	0.307073582926	0.00257386299658
0.0643001	0.296781775883	0.00272127688497
0.0653523	0.281322573907	0.00247734936672
0.066397	0.264417429779	0.00260773346079
0.0674465	0.247865604453	0.0024140442656
0.0684998	0.233015039245	0.0024940009122
0.0695494	0.212138282309	0.00234759282186
0.0706078	0.193095172585	0.00238360383063
0.0716538	0.180924156538	0.00228366017153
0.0727033	0.161124549136	0.0023128884909
0.073734	0.144265826457	0.00221557538053
0.0747812	0.132874518812	0.00223120393483
0.0758126	0.113672372644	0.00214098299019
0.0768748	0.10371755093	0.00214830726317
0.0779042	0.0898882575873	0.00208590480132
0.0789678	0.0792704688177	0.00209255854226
0.0799998	0.0722557581353	0.00205111450471
0.0810709	0.0656666633622	0.00203808211289
0.0820881	0.0611833830339	0.00202732781068
0.0831415	0.0579326781265	0.00200591376846
0.0841674	0.0521451270292	0.00197757089524
0.0852343	0.0533758971715	0.00197005749785
0.086247	0.052909361615	0.00197182839014
0.0873058	0.0520815124518	0.00194815345145
0.0883477	0.0559317417689	0.00190212744502
0.089421	0.0566561742609	0.00194191234561
0.0904328	0.0591069688398	0.00191929478436
0.0915037	0.0639512189123	0.00189579177696
0.0925359	0.066590106323	0.00188855346964
0.0936083	0.069404793478	0.0018848311572
0.0946286	0.0760032585064	0.00190781837073
0.0957008	0.0738703648834	0.00183922638242
