#GRASP V.7.09CD    Instrument:  ILL_d33 
#  
#***** Sanpol Worksheets I+, I- ***** 
#Subtitle:  DD67 0 A Rf- 
#Start: 08-Jun-16   23:54:30   End: 09-Jun-16   00:04:31 
#  
#Sample - (Flip off): Sum 3508, 3511, 3514, 3517, 3520, 3523, 3526,3529 , Loaded: 3508, 3511, 3514, 3517, 3520, 3523, 3526,3529 
#***** Sanpol Worksheets I+, I- ***** 
#Subtitle:  DD67 0 A Rf+ 
#Start: 09-Jun-16   00:04:31   End: 09-Jun-16   00:14:31 
#  
#Sample + (Flip on): Sum 3509, 3512, 3515, 3518, 3521, 3524,3527, 3530 , Loaded: 3509, 3512, 3515, 3518, 3521, 3524,3527, 3530 
#Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
#Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
#Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
#Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
#Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
#Data Normalisation: Exposure Time (1) seconds 
#Attenuator: 0 is In.  Attenuation factor 1 
#Attenuator: 0 is In. Up-scaling data by 1 
#Attenuator: 0 is In. Up-scaling data by 1 
#Attenuator: 0 is In. Up-scaling data by 1 
#Attenuator: 0 is In. Up-scaling data by 1 
#Attenuator: 0 is In. Up-scaling data by 1 
#Attenuator2: is Out 
#Attenuator2: Up-scaling data by 1 
#Attenuator2: Up-scaling data by 1 
#Attenuator2: Up-scaling data by 1 
#Attenuator2: Up-scaling data by 1 
#Attenuator2: Up-scaling data by 1 
#Background: Sum 2352+2353+2354 , Loaded: 2352+2353+2354 
#Cadmium: Sum 2339+2340 , Loaded: 2339+2340 
#Applying cadmium SANS data correction:  I = I - I_cd 
#  
#Transmissions:  Ts = 0.9987 +/- 0.0025947  Te = 0.81 +/- 0 
#Foreground Image Only :  I_corr = I_s 
#  
#Beam Centre1 :  Cx = 128.7054  Cy = 65.1542       Cm Translation :  Tx = 0  Ty = 0 [mm] 
#Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
#Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
#Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
#Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
#  
#***** Calibrations: ***** 
#Data: Corrected for D33 Detector Paralax 
#Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
#Data: Divided by Volume 0.1 cm3 
#Solid Angle Correction: 
#Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 1 
#Applying Default Instrument Mask 
#Applying User Defined Mask 
#Applying NanInf Mask 
#Intensity units are:  cm-1 \\ \Delta\Omega  
#  
#***** Analysis ***** 
#Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
# 
# 
#Mod_Q   	I       	Err_I   	Sigma_Q
# 
# 
0.0129944	4.86157	0.0368854	0.00273019
0.0140473	4.55648	0.0334671	0.00274442
0.0150806	4.23613	0.0273493	0.00275455
0.0162737	3.88584	0.0210586	0.00276328
0.0172453	3.54788	0.016538	0.0027688
0.0183835	3.29881	0.0150839	0.00278669
0.0193338	3.04821	0.0152823	0.0027985
0.0204306	2.76798	0.0126526	0.00280951
0.0214189	2.52999	0.0126314	0.00281765
0.0224886	2.25091	0.0104764	0.00283562
0.0234959	1.99563	0.0100196	0.00285105
0.0245878	1.77292	0.00845666	0.00286496
0.0256185	1.5585	0.00858608	0.00287603
0.026664	1.3506	0.00715518	0.00289466
0.0276987	1.15834	0.00701652	0.00291314
0.0287421	0.981637	0.0059897	0.00292907
0.0298056	0.834799	0.00576659	0.00294307
0.0308514	0.682363	0.00516685	0.00296254
0.0318879	0.57128	0.00499735	0.00298351
0.0329413	0.45539	0.00437843	0.00300205
0.0340178	0.369607	0.00438845	0.00301863
0.0350488	0.294456	0.00401768	0.00303873
0.0361027	0.234627	0.00396472	0.0030623
0.037142	0.185837	0.00369096	0.00308281
0.038201	0.154601	0.00376761	0.00310139
0.0392233	0.13224	0.00347968	0.00312184
0.0402967	0.120719	0.00352746	0.00314801
0.0413035	0.116445	0.00348554	0.00316994
0.0423605	0.119732	0.00340436	0.00319066
0.0433868	0.133296	0.00337514	0.00321148
0.0444662	0.150973	0.00336199	0.00323985
0.0454828	0.173847	0.00339665	0.00326393
0.0465569	0.192587	0.00333879	0.00328698
0.0475874	0.219721	0.00336126	0.00330846
0.0486531	0.242001	0.00339049	0.00333825
0.0496398	0.271372	0.00343578	0.00336335
0.0507101	0.293542	0.00330888	0.00338822
0.0517496	0.314949	0.00335525	0.00341033
0.0528166	0.332906	0.00339751	0.00344162
0.0538396	0.348501	0.00329486	0.00346927
0.0549323	0.369254	0.00334033	0.00349634
0.0559416	0.375568	0.00336467	0.00351936
0.057002	0.38452	0.00331965	0.00355071
0.0580232	0.389576	0.00326541	0.00357978
0.0591141	0.390561	0.0032097	0.00360841
0.0601322	0.388398	0.00327111	0.00363312
0.0611857	0.37568	0.00313874	0.00366443
0.0622011	0.365474	0.00319614	0.00369468
0.0632792	0.357205	0.00299406	0.00372444
0.0643001	0.345233	0.00316554	0.00375064
0.0653523	0.32725	0.00288179	0.00378185
0.066397	0.307585	0.00303346	0.00381423
0.0674465	0.288331	0.00280815	0.00374531
0.0684998	0.271056	0.00290116	0.00380379
0.0695494	0.246771	0.00273085	0.00386208
0.0706078	0.224619	0.00277274	0.00392085
0.0716538	0.210461	0.00265648	0.00397894
0.0727033	0.187429	0.00269048	0.00403722
0.073734	0.167818	0.00257728	0.00409445
0.0747812	0.154567	0.00259546	0.00401968
0.0758126	0.13223	0.00249051	0.00407513
0.0768748	0.12065	0.00249903	0.00413222
0.0779042	0.104563	0.00242644	0.00418756
0.0789678	0.0922118	0.00243418	0.00412062
0.0799998	0.0840519	0.00238597	0.00417447
0.0810709	0.0763871	0.00237081	0.00420874
0.0820881	0.0711719	0.0023583	0.00426155
0.0831415	0.0673905	0.00233339	0.00431624
0.0841674	0.0606581	0.00230042	0.0043695
0.0852343	0.0620898	0.00229168	0.00442489
0.086247	0.0615471	0.00229374	0.00447746
0.0873058	0.0605841	0.0022662	0.0043902
0.0883477	0.0650629	0.00221266	0.00444259
0.089421	0.0659056	0.00225894	0.00449656
