#q/A-1	 I/cm-1 	sI/cm-1 
0.0023851704	10.787600998	1.46263404916
0.0030666474	22.641596375	0.175313202179
0.0037481248	35.7325859334	0.0899323134983
0.0044296019	42.0328063567	0.0597222496815
0.0051110793	41.5286850924	0.0385130068921
0.0057925563	41.1241240279	0.0319418546791
0.0064740337	40.6862579044	0.0289236595201
0.0071555108	40.3059546747	0.0282250816883
0.0078369878	39.5619051401	0.0274288731521
0.0085184656	39.240893646	0.0267435427069
0.0091999426	38.596943172	0.0259584069606
0.0098814197	38.042329603	0.0252093146434
0.010562897	37.4111866854	0.0242453716976
0.011244375	36.9513647223	0.0222498964776
0.011925852	36.15189088	0.0209932922432
0.012607329	35.5505890216	0.0200149532845
0.013288806	34.807988539	0.0191406451003
0.013970283	34.0677504328	0.0183201902181
0.01465176	33.4348906798	0.0176449105755
0.015333238	32.6236861238	0.0169875897555
0.016014715	32.0287194109	0.0164263053175
0.016696192	31.1949001354	0.0157970485625
0.017377669	30.6124430457	0.0152852578946
0.018059146	29.7859209829	0.0147876587889
0.018740624	29.0389881571	0.0143142567552
0.0194221	28.3290432602	0.0138460426805
0.020103578	27.5884517018	0.0133950584013
0.020785056	26.8692341044	0.0129974618952
0.021466532	26.0948639712	0.0125958197633
0.02214801	25.3987398499	0.0122266672855
0.022829486	24.6187805899	0.0118162498112
0.023510964	23.942122773	0.0114726983435
0.024192442	23.2156091119	0.0111419596929
0.024873918	22.5322740288	0.0111076480227
0.025555396	21.715575523	0.0109720189483
0.026236874	21.0726106838	0.0105766341566
0.026918352	20.3105512079	0.0100371513231
0.027599826	19.6162531536	0.00974327864808
0.028281304	18.9247272022	0.00947007387871
0.028962782	18.1735224632	0.00912987290316
0.02964426	17.5367446455	0.00884901558011
0.030325738	16.8301776207	0.00856527281435
0.031007212	16.2132067693	0.00830438057964
0.03168869	15.5406343275	0.00802264446087
0.032370168	14.8988073706	0.00775494736932
0.033051646	14.2740950496	0.00751604646859
0.033733124	13.6282537066	0.00726721128646
0.034414601	12.9788652952	0.00701333668441
0.035096076	12.4037064359	0.00677937925029
0.035777554	11.8394611532	0.00655399635088
0.036459032	11.2467299957	0.00633226477591
0.037140509	10.6776627827	0.00611266855573
0.037821987	10.1379376693	0.00596768995159
0.038503462	9.60256230493	0.00588448232351
0.03918494	9.0640047733	0.00574657476822
0.039866418	8.5931203178	0.00560427838808
0.040547895	8.09743067478	0.00543774639662
0.041229373	7.6217645285	0.00526700980279
0.041910848	7.17561042152	0.00499065844393
0.042592326	6.72236597805	0.00473650077098
0.043273804	6.29006218164	0.00452041666004
0.043955281	5.87325602261	0.00431127102779
0.044636759	5.51431453013	0.0041308871676
0.045318237	5.12251123967	0.00394134668247
0.045999712	4.75867189147	0.00375900872213
0.04668119	4.43181904758	0.00359601440479
0.047362667	4.09776976412	0.00342671161412
0.048044145	3.78775924008	0.00327259763561
0.048725623	3.49248199154	0.00312634538556
0.049407098	3.20236634827	0.00297943185681
0.050088578	2.94169525355	0.00283399247786
0.050770056	2.71046812815	0.0027017864703
0.051451528	2.46149808199	0.00256367951261
0.052133006	2.25431043238	0.0024394448999
0.052814484	2.04924807261	0.00231228221957
0.053495961	1.86791141507	0.00219649972554
0.054177439	1.67935725884	0.00207649929454
0.054858917	1.51586636613	0.00196700969506
0.055540395	1.36296770798	0.00189484531849
0.056221873	1.22979170423	0.00181782111918
0.05690335	1.09423316968	0.00173058967286
0.057584828	0.979188082767	0.00165048866619
0.0582663	0.874224525639	0.00156855855924
0.058947778	0.770144479551	0.00147928752338
0.059629256	0.687598515672	0.00137387540824
0.060310733	0.601990581779	0.00127832491208
0.060992211	0.528597671399	0.0012020246548
0.061673689	0.467046798343	0.00112921653409
0.062355167	0.411370781891	0.00106194435624
0.063036644	0.359937450454	0.00100032709606
0.063718122	0.314856165292	0.000945724979779
0.0643996	0.278575407219	0.000901054989017
0.065081078	0.248741169632	0.00085878483354
0.06576255	0.219924588436	0.000817906388844
0.066444027	0.194779890093	0.000782353688933
0.067125505	0.178688721245	0.000757379015431
0.067806983	0.160953169761	0.000731574633089
0.068488461	0.152825076069	0.000707022504558
