#Generated data by combining files:
#ES_S14_30K_2mT_ZFC_reduced_in_x_ai_uu_qz_I_corrected.xy
#ES_S14_30K_2mT_ZFC_reduced_in_x_ai_dd_qz_I_corrected.xy
#q/A-1	I/a.u.	sI /a.u.
0.00507734505523	0.993113894602	0.00773662009208
0.00592356766726	0.981843345968	0.00834175482891
0.00676978955753	0.998936723188	0.007999211975
0.00761601062293	0.981655285486	0.00722491682742
0.00846223076033	0.981177209176	0.00673973458828
0.00930844986663	0.985118522988	0.00676272715543
0.0101546678387	0.938013784315	0.00561632123448
0.0110008845735	0.842151468533	0.00537629349965
0.0118470999679	0.721164293682	0.00477103558139
0.0126933139187	0.576602808401	0.00374555265118
0.0135395263229	0.436787105115	0.00316247888778
0.0143857370773	0.297866977994	0.00222914360977
0.0152319460789	0.180847554192	0.00166909013546
0.0160781532245	0.104474982194	0.000986198765354
0.016924358411	0.0509147232082	0.00071449386956
0.0177705615354	0.024070111134	0.000441941329476
0.0186167624945	0.0103166022002	0.000247506796957
0.0194629611851	0.0068133434804	0.000289978925166
0.0203091575043	0.00685891889415	0.000292081197279
0.0211553513489	0.00818032864597	0.000314298973969
0.0220015426157	0.00932782665032	0.000263374502709
0.0228477312017	0.0090678971904	0.000269042520335
0.0236939170038	0.00897913050461	0.000235297847788
0.0245400999189	0.00808057139728	0.000239992450158
0.0253862798438	0.00673184499242	0.000212282465833
0.0262324566755	0.00443986894416	0.000173801886469
0.0270786303108	0.00356405513999	0.000112272704951
0.0279248006467	0.0025635283012	0.000116644867315
0.02877096758	0.00144849646762	9.88982302297e-05
0.0296171310077	0.000787593524167	8.91848101175e-05
0.0304632908267	0.000434895068012	6.81435136726e-05
0.0313094469337	0.000324948923939	4.63395544517e-05
0.0321555992258	0.000148229834072	4.66065192932e-05
0.0330017475999	0.000254025904109	5.30016612404e-05
0.0338478919527	0.000375564818469	5.46787486756e-05
0.0346940321814	0.000730994190588	6.53757782701e-05
0.0355401681826	0.00053751626981	4.60979208475e-05
