#Loaded raw file: ES_S14_30K_730mT_FC_reduced_in_x_ai_uu_qz_I.xy
#Loaded data range: 0.005 .. inf
#Divided data by: 3.56936597457
#Performed footprint correction
#Beamwidth: 1.0
#Samplelength: 14.0
#Wavelength: 5.1386
#q / A-1 	 I / a.u. 	 sI / a.u. 
0.00507734505523	0.96859941959	0.0111999319908
0.00592356766726	0.993605134195	0.00986431447807
0.00676978955753	0.98254700203	0.00703803355418
0.00761601062293	0.996286009322	0.00774935761584
0.00846223076033	0.983408896965	0.00799803411791
0.00930844986663	1.0	0.00603546117337
0.0101969787057	0.975015396825	0.00433421315883
0.0110008845735	0.927943414692	0.00427372053164
0.0118470999679	0.867119658817	0.00396473923776
0.0126933139187	0.767686149982	0.00493492873397
0.0135395263229	0.63452146381	0.00310698296652
0.0143857370773	0.495889441682	0.00329536191025
0.0152319460789	0.352568660119	0.00261301146391
0.0160781532245	0.221820888666	0.00222224594142
0.016924358411	0.121137077466	0.00151055621049
0.0177282514298	0.0583768102851	0.000894386106446
0.0186167624945	0.0247549973972	0.000896651124782
0.0194629611851	0.00985128473901	0.000742506853869
0.0203091575043	0.00733662120643	0.00071397939781
0.0211553513489	0.00873214110116	0.000488561913312
0.0220015426157	0.0099692677743	0.000483339769623
0.0228477312017	0.0125972394259	0.000526269270957
0.0236939170038	0.0119535733644	0.000564273647626
0.0245400999189	0.0118086414232	0.00052427626383
0.0253862798438	0.0112268322349	0.000579090981663
0.0262324566755	0.00804540111871	0.000375348728079
0.0270786303108	0.00551099596447	0.000300907824716
0.0279248006467	0.00403890188689	0.00030773746121
0.02877096758	0.00274058698222	0.000351416206248
0.0296171310077	0.00155218650608	0.000272473082944
0.0304632908267	0.000863985134229	0.000273258344832
0.0313094469337	0.000447449577897	0.000213667788452
0.0321555992258	0.000257166720015	0.00014223782605
0.0330017475999	0.000314780563804	0.000107405737907
0.0338478919527	0.000335024808881	9.2836119812e-05
0.0346940321814	0.000720887400274	0.000263774474181
0.0355401681826	0.000723771075759	0.000153257459502
0.0363862998534	0.00111649462433	0.000133944157424
0.0372324270906	0.00105780343881	0.000225418062723
0.0380785497912	0.00115355132614	0.000174528078113
0.038924667852	0.00096490228439	0.000142446220579
0.03977078117	0.000784434618651	0.000100765690706
0.040616889642	0.000584770864297	0.000117293846682
0.041462993165	0.000417827977127	0.00010833796065
0.0423090916358	0.000330009928899	0.000112012635565
0.0431551849514	0.000244531632438	8.8451979562e-05
0.0440012730087	0.000118787097426	2.36341305142e-05
0.0448473557045	5.96989854991e-05	3.09140332526e-05
0.0456934329358	3.97440196371e-05	1.83821873719e-05
0.0465395045996	9.86921926551e-05	2.07428235126e-05
0.0473855705926	0.000110641759872	6.99075908848e-05
0.0482316308118	8.94168332368e-05	4.62982375206e-05
0.0490776851542	0.00021888445014	6.15143779252e-05
0.0499237335166	0.000272948104	4.28175200516e-05
0.0507697757959	0.000351949475312	6.7956312984e-05
0.0516158118891	0.000365607483548	8.72554566036e-05
0.0524618416931	0.000404688444225	5.05407176685e-05
0.0533078651047	0.000360161068764	3.59498704336e-05
0.0541961826945	0.000392558821794	6.60980000946e-05
0.0549998923388	0.000350358199082	5.94997882644e-05
0.0558458959549	0.000233722094617	4.93797166957e-05
0.0566918927665	0.000237476205314	3.74381518611e-05
0.0574955833407	9.35566151623e-05	2.83010860253e-05
0.0583838655633	0.000120209576574	4.54058621182e-05
0.0592298413424	4.81727507693e-05	1.15838621512e-05
0.0600758099045	4.72787179975e-05	1.08016431635e-05
0.0609217711465	0.000107270554878	3.08303450948e-05
0.0617677249655	0.000147702597569	3.02734117963e-05
0.0626136712582	0.000212103266202	5.08734322858e-05
0.0634596099216	0.000275838665227	3.65224776448e-05
0.0643055408527	0.000317459867933	2.4284230438e-05
0.0651514639483	0.000279441013283	2.68007287582e-05
0.0659973791054	0.000376260275245	2.68353850014e-05
0.066843286221	0.000429543394164	2.75207629244e-05
0.0676891851919	0.000405886823788	3.08495826455e-05
0.068535075915	0.000427799344051	3.70595717223e-05
0.0693809582874	0.000391682824686	2.65776474677e-05
0.0702268322059	0.0003441436795	2.79439136337e-05
0.0710726975675	0.000331787768918	4.09694470742e-05
0.0719185542691	0.000292271853452	2.54833670702e-05
0.0727644022077	0.000239359833134	1.90803486616e-05
0.0736102412801	0.000186478218843	1.72854640466e-05
0.0744560713834	0.000155751494787	2.76251858952e-05
0.0753018924143	0.000109410368488	1.45250479009e-05
0.07614770427	7.63430259518e-05	1.10732320046e-05
0.0769935068473	8.81330696814e-05	1.70089672329e-05
0.0778393000432	6.41441328175e-05	1.44413571826e-05
0.0786850837546	5.75471715851e-05	6.8794190822e-06
0.0795308578785	6.46724609178e-05	7.00267541707e-06
0.0803766223118	6.7041193035e-05	6.87828127518e-06
0.0812223769514	6.36822260232e-05	6.97925553781e-06
0.0820681216944	4.64436914237e-05	5.96957870514e-06
0.0829138564375	5.53417214617e-05	6.3100318555e-06
0.0838018670429	5.15606926597e-05	6.10275698436e-06
0.0845630100347	4.60788151443e-05	5.60325257402e-06
0.0863389777623	3.261314295e-05	4.71872424198e-06
0.0896793620261	1.64116199034e-05	3.09740749056e-06
0.093061855866	1.98442439491e-05	2.98675975019e-06
0.096444168277	1.63089512067e-05	2.61162430857e-06
0.0998262926652	1.42110717027e-05	2.22337566435e-06
0.103208222437	1.88483265164e-05	2.41208620626e-06
0.106589950999	1.55514574982e-05	2.15156174138e-06
0.109971471758	1.43297429667e-05	1.9894499795e-06
0.113352778123	1.45742162394e-05	1.89608107508e-06
0.1167338635	1.37382775206e-05	1.93602675006e-06
0.120114721299	1.48245853547e-05	1.96258474028e-06
0.123495344928	1.60345149777e-05	1.86907576448e-06
0.126875727796	1.12343540586e-05	1.58566207591e-06
0.147997255433	3.73148682274e-06	1.00932754701e-06
0.169107512505	2.96649540211e-06	7.80547110236e-07
