#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.74
#Sigma Scalefactor: 0.0
#B / T	M_scaled / emug-1	sM_scaled / emug-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
0.0275	8.41742094595	0.00675675675676	6.2288915	0.005	6.194324	0.005
0.03	8.96482702703	0.00675675675676	6.633972	0.005	6.596262	0.005
0.0326	9.48145162162	0.00675675675676	7.0162742	0.005	6.975296	0.005
0.035	9.96990675676	0.00675675675676	7.377731	0.005	7.333736	0.005
0.0375	10.435575	0.00675675675676	7.7223255	0.005	7.675188	0.005
0.04	10.8843027027	0.00675675675676	8.054384	0.005	8.004104	0.005
0.0425	11.311552027	0.00675675675676	8.3705485	0.005	8.317126	0.005
0.0451	11.7227009459	0.00675675675676	8.6747987	0.005	8.618108	0.005
0.0475	12.1124155405	0.00675675675676	8.9631875	0.005	8.90348	0.005
0.05	12.4879540541	0.00675675675676	9.241086	0.005	9.178236	0.005
0.0525	12.8461560811	0.00675675675676	9.5061555	0.005	9.440163	0.005
0.055	13.1935459459	0.00675675675676	9.763224	0.005	9.694089	0.005
0.0575	13.527102027	0.00675675675676	10.0100555	0.005	9.937778	0.005
0.06	13.8500810811	0.00675675675676	10.24906	0.005	10.17364	0.005
0.0625	14.1595574324	0.00675675675676	10.4780725	0.005	10.39951	0.005
0.065	14.4565337838	0.00675675675676	10.697835	0.005	10.61613	0.005
0.0675	14.7453614865	0.00675675675676	10.9115675	0.005	10.82672	0.005
0.07	15.0313378378	0.00675675675676	11.12319	0.005	11.0352	0.005
0.0725	15.299152027	0.00675675675676	11.3213725	0.005	11.23024	0.005
0.075	15.5640067568	0.00675675675676	11.517365	0.005	11.42309	0.005
0.0775	15.8178209459	0.00675675675676	11.7051875	0.005	11.60777	0.005
0.08	16.0543378378	0.00675675675676	11.88021	0.005	11.77965	0.005
0.0825	16.3015033784	0.00675675675676	12.0631125	0.005	11.95941	0.005
0.085	16.5373040541	0.00675675675676	12.237605	0.005	12.13076	0.005
0.0875	16.7603074324	0.00675675675676	12.4026275	0.005	12.29264	0.005
0.09	16.987527027	0.00675675675676	12.57077	0.005	12.45764	0.005
0.0925	17.1986655405	0.00675675675676	12.7270125	0.005	12.61074	0.005
0.095	17.4083716216	0.00675675675676	12.882195	0.005	12.76278	0.005
0.0975	17.611402027	0.00675675675676	13.0324375	0.005	12.90988	0.005
0.1	17.8078108108	0.00675675675676	13.17778	0.005	13.05208	0.005
0.15	20.9660405405	0.00675675675676	15.51487	0.005	15.32632	0.005
0.2	23.1738108108	0.00675675675676	17.14862	0.005	16.89722	0.005
0.25	24.8553513514	0.00675675675676	18.39296	0.005	18.07871	0.005
0.3	26.2057432432	0.00675675675676	19.39225	0.005	19.01515	0.005
0.35	27.3378648649	0.00675675675676	20.23002	0.005	19.79007	0.005
0.4001	28.3035887838	0.00675675675676	20.9446557	0.005	20.44173	0.005
0.45	29.1465945946	0.00675675675676	21.56848	0.005	21.00283	0.005
0.5	29.9048108108	0.00675675675676	22.12956	0.005	21.50106	0.005
0.5501	30.5858455405	0.00675675675676	22.6335257	0.005	21.94205	0.005
0.6001	31.2022104054	0.00675675675676	23.0896357	0.005	22.33531	0.005
0.65	31.7695135135	0.00675675675676	23.50944	0.005	22.69239	0.005
0.7	32.2928648649	0.00675675675676	23.89672	0.005	23.01682	0.005
0.7501	32.7722509459	0.00675675675676	24.2514657	0.005	23.30859	0.005
0.8002	33.2227045946	0.00675675675676	24.5848014	0.005	23.57895	0.005
0.8501	33.6524131081	0.00675675675676	24.9027857	0.005	23.83421	0.005
0.9001	34.0533590541	0.00675675675676	25.1994857	0.005	24.06806	0.005
0.9501	34.4324806757	0.00675675675676	25.4800357	0.005	24.28576	0.005
1.0002	34.7899208108	0.00675675675676	25.7445414	0.005	24.48729	0.005
1.1001	35.4621022973	0.00675675675676	26.2419557	0.005	24.85913	0.005
1.2001	36.0670752703	0.00675675675676	26.6896357	0.005	25.18111	0.005
1.3001	36.6302644595	0.00675675675676	27.1063957	0.005	25.47217	0.005
1.4001	37.1389131081	0.00675675675676	27.4827957	0.005	25.72287	0.005
1.5001	37.6139384742	0.00675675675676	27.8343144709	0.005	25.94864	0.005
1.6001	38.0477282176	0.00675675675676	28.155318881	0.005	26.12419	0.005
1.7001	38.4865122369	0.00675675675676	28.4800190553	0.005	26.28396	0.005
1.8001	38.878047468	0.00675675675676	28.7697551263	0.005	26.39422	0.005
1.9	39.2762549535	0.00675675675676	29.0644286656	0.005	26.48759	0.005
1.8006	38.8856075469	0.00675675675676	28.7753495847	0.005	26.39877	0.005
1.7005	38.4898307166	0.00675675675676	28.4824747303	0.005	26.28572	0.005
1.6007	38.0752483808	0.00675675675676	28.1756838018	0.005	26.14351	0.005
1.5005	37.6184896096	0.00675675675676	27.8376823111	0.005	25.95144	0.005
1.4005	37.1609709459	0.00675675675676	27.4991185	0.005	25.73869	0.005
1.3004	36.6530983784	0.00675675675676	27.1232928	0.005	25.48869	0.005
1.2004	36.0889362162	0.00675675675676	26.7058128	0.005	25.19691	0.005
1.1003	35.4894960811	0.00675675675676	26.2622271	0.005	24.87915	0.005
1.0004	34.8272875676	0.00675675675676	25.7721928	0.005	24.51469	0.005
0.9503	34.4612933784	0.00675675675676	25.5013571	0.005	24.30683	0.005
0.9003	34.0916582432	0.00675675675676	25.2278271	0.005	24.09615	0.005
0.8502	33.6924613514	0.00675675675676	24.9324214	0.005	23.86372	0.005
0.8002	33.2697045946	0.00675675675676	24.6195814	0.005	23.61373	0.005
0.7503	32.8219555405	0.00675675675676	24.2882471	0.005	23.34512	0.005
0.7002	32.3330694595	0.00675675675676	23.9264714	0.005	23.04632	0.005
0.6502	31.8225289189	0.00675675675676	23.5486714	0.005	22.73137	0.005
0.6002	31.2588532432	0.00675675675676	23.1315514	0.005	22.3771	0.005
0.5502	30.6439208108	0.00675675675676	22.6765014	0.005	21.9849	0.005
0.5002	29.9739343243	0.00675675675676	22.1807114	0.005	21.55196	0.005
0.4502	29.2275964865	0.00675675675676	21.6284214	0.005	21.06252	0.005
0.4002	28.38161	0.00675675675676	21.0023914	0.005	20.49934	0.005
0.3502	27.4183937838	0.00675675675676	20.2896114	0.005	19.84941	0.005
0.3002	26.2962451351	0.00675675675676	19.4592214	0.005	19.08187	0.005
0.2502	24.9396910811	0.00675675675676	18.4553714	0.005	18.14087	0.005
0.2002	23.2562316216	0.00675675675676	17.2096114	0.005	16.95796	0.005
0.1502	21.0517991892	0.00675675675676	15.5783314	0.005	15.38953	0.005
0.1001	17.895777973	0.00675675675676	13.2428757	0.005	13.11705	0.005
0.0975	17.6911452703	0.00675675675676	13.0914475	0.005	12.96889	0.005
0.095	17.485222973	0.00675675675676	12.939065	0.005	12.81965	0.005
0.0926	17.2780786486	0.00675675675676	12.7857782	0.005	12.66938	0.005
0.09	17.063472973	0.00675675675676	12.62697	0.005	12.51384	0.005
0.0875	16.8414290541	0.00675675675676	12.4626575	0.005	12.35267	0.005
0.085	16.6193851351	0.00675675675676	12.298345	0.005	12.1915	0.005
0.0825	16.3845709459	0.00675675675676	12.1245825	0.005	12.02088	0.005
0.08	16.1463783784	0.00675675675676	11.94832	0.005	11.84776	0.005
0.0775	15.9025101351	0.00675675675676	11.7678575	0.005	11.67044	0.005
0.075	15.6420472973	0.00675675675676	11.575115	0.005	11.48084	0.005
0.0725	15.3825304054	0.00675675675676	11.3830725	0.005	11.29194	0.005
0.07	15.1130405405	0.00675675675676	11.18365	0.005	11.09566	0.005
0.0675	14.8303074324	0.00675675675676	10.9744275	0.005	10.88958	0.005
0.065	14.5399256757	0.00675675675676	10.759545	0.005	10.67784	0.005
0.0625	14.2438817568	0.00675675675676	10.5404725	0.005	10.46191	0.005
0.0601	13.9361158108	0.00675675675676	10.3127257	0.005	10.23718	0.005
