#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
0.65	23.50944	0.005	22.69239	0.005	22.69239	0.005
0.7	23.89672	0.005	23.01682	0.005	23.01682	0.005
0.7501	24.2514657	0.005	23.30859	0.005	23.30859	0.005
0.8002	24.5848014	0.005	23.57895	0.005	23.57895	0.005
0.8501	24.9027857	0.005	23.83421	0.005	23.83421	0.005
0.9001	25.1994857	0.005	24.06806	0.005	24.06806	0.005
0.9501	25.4800357	0.005	24.28576	0.005	24.28576	0.005
1.0002	25.7445414	0.005	24.48729	0.005	24.48729	0.005
1.1001	26.2419557	0.005	24.85913	0.005	24.85913	0.005
1.2001	26.6896357	0.005	25.18111	0.005	25.18111	0.005
1.3001	27.1063957	0.005	25.47217	0.005	25.47217	0.005
1.4001	27.4827957	0.005	25.72287	0.005	25.72287	0.005
1.5001	27.8343144709	0.005	25.9486887709	0.005	25.94864	0.005
1.6001	28.155318881	0.005	26.143993181	0.005	26.12419	0.005
1.7001	28.4800190553	0.005	26.3429933553	0.005	26.28396	0.005
1.8001	28.7697551263	0.005	26.5070294263	0.005	26.39422	0.005
1.9	29.0644286656	0.005	26.6761286656	0.005	26.48759	0.005
1.8006	28.7753495847	0.005	26.5119953847	0.005	26.39877	0.005
1.7005	28.4824747303	0.005	26.3449462303	0.005	26.28572	0.005
1.6007	28.1756838018	0.005	26.1636039018	0.005	26.14351	0.005
1.5005	27.8376823111	0.005	25.9515538111	0.005	25.95144	0.005
1.4005	27.4991185	0.005	25.73869	0.005	25.73869	0.005
1.3004	27.1232928	0.005	25.48869	0.005	25.48869	0.005
1.2004	26.7058128	0.005	25.19691	0.005	25.19691	0.005
1.1003	26.2622271	0.005	24.87915	0.005	24.87915	0.005
1.0004	25.7721928	0.005	24.51469	0.005	24.51469	0.005
0.9503	25.5013571	0.005	24.30683	0.005	24.30683	0.005
0.9003	25.2278271	0.005	24.09615	0.005	24.09615	0.005
0.8502	24.9324214	0.005	23.86372	0.005	23.86372	0.005
0.8002	24.6195814	0.005	23.61373	0.005	23.61373	0.005
0.7503	24.2882471	0.005	23.34512	0.005	23.34512	0.005
0.7002	23.9264714	0.005	23.04632	0.005	23.04632	0.005
0.6502	23.5486714	0.005	22.73137	0.005	22.73137	0.005
0.6002	23.1315514	0.005	22.3771	0.005	22.3771	0.005
0.5502	22.6765014	0.005	21.9849	0.005	21.9849	0.005
0.5002	22.1807114	0.005	21.55196	0.005	21.55196	0.005
0.4502	21.6284214	0.005	21.06252	0.005	21.06252	0.005
0.4002	21.0023914	0.005	20.49934	0.005	20.49934	0.005
0.3502	20.2896114	0.005	19.84941	0.005	19.84941	0.005
0.3002	19.4592214	0.005	19.08187	0.005	19.08187	0.005
0.2502	18.4553714	0.005	18.14087	0.005	18.14087	0.005
0.2002	17.2096114	0.005	16.95796	0.005	16.95796	0.005
0.1502	15.5783314	0.005	15.38953	0.005	15.38953	0.005
0.1001	13.2428757	0.005	13.11705	0.005	13.11705	0.005
0.0975	13.0914475	0.005	12.96889	0.005	12.96889	0.005
0.095	12.939065	0.005	12.81965	0.005	12.81965	0.005
0.0926	12.7857782	0.005	12.66938	0.005	12.66938	0.005
0.09	12.62697	0.005	12.51384	0.005	12.51384	0.005
0.0875	12.4626575	0.005	12.35267	0.005	12.35267	0.005
0.085	12.298345	0.005	12.1915	0.005	12.1915	0.005
0.0825	12.1245825	0.005	12.02088	0.005	12.02088	0.005
0.08	11.94832	0.005	11.84776	0.005	11.84776	0.005
0.0775	11.7678575	0.005	11.67044	0.005	11.67044	0.005
0.075	11.575115	0.005	11.48084	0.005	11.48084	0.005
0.0725	11.3830725	0.005	11.29194	0.005	11.29194	0.005
0.07	11.18365	0.005	11.09566	0.005	11.09566	0.005
0.0675	10.9744275	0.005	10.88958	0.005	10.88958	0.005
0.065	10.759545	0.005	10.67784	0.005	10.67784	0.005
0.0625	10.5404725	0.005	10.46191	0.005	10.46191	0.005
0.0601	10.3127257	0.005	10.23718	0.005	10.23718	0.005
0.0576	10.0750732	0.005	10.00267	0.005	10.00267	0.005
0.0551	9.8268167	0.005	9.757556	0.005	9.757556	0.005
0.0526	9.5722922	0.005	9.506174	0.005	9.506174	0.005
0.0501	9.3033597	0.005	9.240384	0.005	9.240384	0.005
0.0476	9.0284412	0.005	8.968608	0.005	8.968608	0.005
0.0451	8.7412467	0.005	8.684556	0.005	8.684556	0.005
0.0426	8.4400202	0.005	8.386472	0.005	8.386472	0.005
0.0401	8.1271777	0.005	8.076772	0.005	8.076772	0.005
0.0376	7.7957432	0.005	7.74848	0.005	7.74848	0.005
0.0351	7.4513267	0.005	7.407206	0.005	7.407206	0.005
0.0326	7.0871992	0.005	7.046221	0.005	7.046221	0.005
0.0301	6.7066127	0.005	6.668777	0.005	6.668777	0.005
0.0276	6.3105802	0.005	6.275887	0.005	6.275887	0.005
0.0251	5.8867887	0.005	5.855238	0.005	5.855238	0.005
0.0226	5.4363242	0.005	5.407916	0.005	5.407916	0.005
0.0201	4.9633897	0.005	4.938124	0.005	4.938124	0.005
0.0176	4.4599042	0.005	4.437781	0.005	4.437781	0.005
0.0151	3.9293857	0.005	3.910405	0.005	3.910405	0.005
0.0126	3.3669052	0.005	3.351067	0.005	3.351067	0.005
