#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.13962264150943396
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kAm-1	sM_scaled / kAm-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.085	-88.2713209459	-0.0358108108108	-12.324675	0.005	-12.21783	0.005
-0.0823	-86.9015295	-0.0358108108108	-12.1334211	0.005	-12.02997	0.005
-0.0798	-85.626789973	-0.0358108108108	-11.9554386	0.005	-11.85513	0.005
-0.0773	-84.3293463919	-0.0358108108108	-11.7742861	0.005	-11.67712	0.005
-0.075	-83.0839817568	-0.0358108108108	-11.600405	0.005	-11.50613	0.005
-0.0723	-81.5733822027	-0.0358108108108	-11.3894911	0.005	-11.29861	0.005
-0.0698	-80.1072697027	-0.0358108108108	-11.1847886	0.005	-11.09705	0.005
-0.0673	-78.6139409865	-0.0358108108108	-10.9762861	0.005	-10.89169	0.005
-0.065	-77.2098628378	-0.0358108108108	-10.780245	0.005	-10.69854	0.005
-0.0625	-75.6309462838	-0.0358108108108	-10.5597925	0.005	-10.48123	0.005
-0.06	-73.9763256757	-0.0358108108108	-10.32877	0.005	-10.25335	0.005
-0.0573	-72.126232473	-0.0358108108108	-10.0704551	0.005	-9.998429	0.005
-0.055	-70.4960448649	-0.0358108108108	-9.842844	0.005	-9.773709	0.005
-0.0523	-68.5001730135	-0.0358108108108	-9.5641751	0.005	-9.498434	0.005
-0.0499	-66.7233566081	-0.0358108108108	-9.3160913	0.005	-9.253367	0.005
-0.0475	-64.7453765541	-0.0358108108108	-9.0399205	0.005	-8.980213	0.005
-0.045	-62.6783156757	-0.0358108108108	-8.751312	0.005	-8.694747	0.005
-0.0425	-60.5007139865	-0.0358108108108	-8.4472695	0.005	-8.393847	0.005
-0.04	-58.212242027	-0.0358108108108	-8.127747	0.005	-8.077467	0.005
-0.0372	-55.6496948919	-0.0358108108108	-7.7699574	0.005	-7.723197	0.005
-0.0349	-53.3507045811	-0.0358108108108	-7.4489663	0.005	-7.405097	0.005
-0.0324	-50.7426784324	-0.0358108108108	-7.0848268	0.005	-7.0441	0.005
-0.0299	-47.9841179595	-0.0358108108108	-6.6996693	0.005	-6.662085	0.005
-0.0275	-45.1032614189	-0.0358108108108	-6.2974365	0.005	-6.262869	0.005
-0.0249	-42.0320962027	-0.0358108108108	-5.8686323	0.005	-5.837333	0.005
-0.0224	-38.8032753243	-0.0358108108108	-5.4178158	0.005	-5.389659	0.005
-0.0199	-35.4034721486	-0.0358108108108	-4.9431263	0.005	-4.918112	0.005
-0.0174	-31.7798299189	-0.0358108108108	-4.4371838	0.005	-4.415312	0.005
-0.0149	-27.9223287703	-0.0358108108108	-3.8985893	0.005	-3.87986	0.005
-0.0124	-23.833368027	-0.0358108108108	-3.3276778	0.005	-3.312091	0.005
-0.0099	-19.5332667432	-0.0358108108108	-2.7272863	0.005	-2.714842	0.005
-0.0074	-14.9389581622	-0.0358108108108	-2.0858168	0.005	-2.076515	0.005
-0.0049	-10.1107190405	-0.0358108108108	-1.4116853	0.005	-1.405526	0.005
-0.0037	-7.73853644595	-0.0358108108108	-1.0804749	0.005	-1.075824	0.005
-0.0028	-5.71359337838	-0.0358108108108	-0.797747	0.005	-0.7942274	0.005
-0.0017	-3.6868655	-0.0358108108108	-0.5147699	0.005	-0.512633	0.005
-0.0007	-1.65347394595	-0.0358108108108	-0.2308624	0.005	-0.2299825	0.005
0.0	0.191122154054	0.0358108108108	0.02668498	0.005	0.02668498	0.005
0.001	2.21696708108	0.0358108108108	0.3095388	0.005	0.3082818	0.005
0.0021	4.50525067568	0.0358108108108	0.629035	0.005	0.6263953	0.005
0.003	6.31390002703	0.0358108108108	0.8815634	0.005	0.8777924	0.005
0.0041	8.55442704054	0.0358108108108	1.1943917	0.005	1.189238	0.005
0.0051	10.4947283919	0.0358108108108	1.4653017	0.005	1.458891	0.005
0.0076	15.2827376486	0.0358108108108	2.1338162	0.005	2.124263	0.005
0.0101	19.8142197432	0.0358108108108	2.7665137	0.005	2.753818	0.005
0.0125	24.1285114189	0.0358108108108	3.3688865	0.005	3.353174	0.005
0.0151	28.2259213649	0.0358108108108	3.9409777	0.005	3.921997	0.005
0.0175	32.0146034459	0.0358108108108	4.4699635	0.005	4.447966	0.005
0.02	35.6382241892	0.0358108108108	4.975903	0.005	4.950763	0.005
0.0226	39.0389276486	0.0358108108108	5.4507182	0.005	5.42231	0.005
0.0251	42.2551717703	0.0358108108108	5.8997787	0.005	5.868228	0.005
0.0276	45.3130031892	0.0358108108108	6.3267212	0.005	6.292028	0.005
0.0301	48.1795690676	0.0358108108108	6.7269587	0.005	6.689123	0.005
0.0325	50.9222102027	0.0358108108108	7.1098935	0.005	7.069041	0.005
0.0351	53.5384778514	0.0358108108108	7.4751837	0.005	7.431063	0.005
0.0376	56.023056973	0.0358108108108	7.8220872	0.005	7.774824	0.005
0.04	58.3809181081	0.0358108108108	8.151298	0.005	8.101018	0.005
0.0426	60.6323237297	0.0358108108108	8.4656452	0.005	8.412097	0.005
0.0451	62.8275586622	0.0358108108108	8.7721497	0.005	8.715459	0.005
0.0476	64.8968971081	0.0358108108108	9.0610762	0.005	9.001243	0.005
0.0501	66.8787282568	0.0358108108108	9.3377847	0.005	9.274809	0.005
0.0525	68.7837187162	0.0358108108108	9.6037645	0.005	9.537772	0.005
0.055	70.6167917568	0.0358108108108	9.859703	0.005	9.790568	0.005
0.0575	72.3870956081	0.0358108108108	10.1068775	0.005	10.0346	0.005
0.06	74.097222973	0.0358108108108	10.34565	0.005	10.27023	0.005
0.0625	75.7187543919	0.0358108108108	10.5720525	0.005	10.49349	0.005
0.065	77.3307601351	0.0358108108108	10.797125	0.005	10.71542	0.005
0.0675	78.8293172297	0.0358108108108	11.0063575	0.005	10.92151	0.005
0.07	80.3381878378	0.0358108108108	11.21703	0.005	11.12904	0.005
0.0725	81.7789462838	0.0358108108108	11.4181925	0.005	11.32706	0.005
0.075	83.1846817568	0.0358108108108	11.614465	0.005	11.52019	0.005
0.0775	84.5197266892	0.0358108108108	11.8008675	0.005	11.70345	0.005
0.08	85.8248337838	0.0358108108108	11.98309	0.005	11.88253	0.005
0.0825	87.0944881757	0.0358108108108	12.1603625	0.005	12.05666	0.005
0.085	88.3367831081	0.0358108108108	12.333815	0.005	12.22697	0.005
0.0875	89.5338131757	0.0358108108108	12.5009475	0.005	12.39096	0.005
0.09	90.6978972973	0.0358108108108	12.66348	0.005	12.55035	0.005
0.0925	91.8293935811	0.0358108108108	12.8214625	0.005	12.70519	0.005
0.095	92.9431993243	0.0358108108108	12.976975	0.005	12.85756	0.005
0.0975	94.0345875	0.0358108108108	13.1293575	0.005	13.0068	0.005
0.1	95.0855094595	0.0358108108108	13.27609	0.005	13.15039	0.005
0.15	111.804001351	0.0358108108108	15.61037	0.005	15.42182	0.005
0.2001	123.516111095	0.0358108108108	17.2456457	0.005	16.99412	0.005
0.25	132.389845946	0.0358108108108	18.48462	0.005	18.17037	0.005
0.3	139.529304054	0.0358108108108	19.48145	0.005	19.10435	0.005
0.3501	145.457323257	0.0358108108108	20.3091357	0.005	19.86906	0.005
0.4001	150.559862446	0.0358108108108	21.0215657	0.005	20.51864	0.005
0.45	155.03252027	0.0358108108108	21.64605	0.005	21.0804	0.005
0.5	158.978298649	0.0358108108108	22.19697	0.005	21.56847	0.005
0.5501	162.570307041	0.0358108108108	22.6984957	0.005	22.00702	0.005
0.6001	165.894839473	0.0358108108108	23.1626757	0.005	22.40835	0.005
0.6501	168.882320554	0.0358108108108	23.5797957	0.005	22.76262	0.005
0.7	171.624886486	0.0358108108108	23.96272	0.005	23.08282	0.005
0.7501	174.170789473	0.0358108108108	24.3181857	0.005	23.37531	0.005
0.8002	176.555758676	0.0358108108108	24.6511814	0.005	23.64533	0.005
0.8501	178.767680014	0.0358108108108	24.9600157	0.005	23.89144	0.005
0.9001	180.905298932	0.0358108108108	25.2584757	0.005	24.12705	0.005
0.9502	182.880234351	0.0358108108108	25.5342214	0.005	24.33982	0.005
1.0002	184.839300568	0.0358108108108	25.8077514	0.005	24.5505	0.005
1.1001	188.3715665	0.0358108108108	26.3009357	0.005	24.91811	0.005
1.2001	191.555290824	0.0358108108108	26.7454557	0.005	25.23693	0.005
1.3001	194.507534068	0.0358108108108	27.1576557	0.005	25.52343	0.005
1.4001	197.155671905	0.0358108108108	27.5273957	0.005	25.76747	0.005
1.5001	199.668221801	0.0358108108108	27.8782045534	0.005	25.99253	0.005
1.6001	202.007827001	0.0358108108108	28.2048664115	0.005	26.1737	0.005
1.7001	204.278422068	0.0358108108108	28.5218928925	0.005	26.32574	0.005
1.8001	206.442420982	0.0358108108108	28.8240361371	0.005	26.44827	0.005
1.9001	208.428547631	0.0358108108108	29.1013443862	0.005	26.52412	0.005
