#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.13962264150943396
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kAm-1	sM_scaled / kAm-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
0.0275	44.6123310135	0.0358108108108	6.2288915	0.005	6.194324	0.005
0.03	47.5135832432	0.0358108108108	6.633972	0.005	6.596262	0.005
0.0326	50.2516935946	0.0358108108108	7.0162742	0.005	6.975296	0.005
0.035	52.8405058108	0.0358108108108	7.377731	0.005	7.333736	0.005
0.0375	55.3085475	0.0358108108108	7.7223255	0.005	7.675188	0.005
0.04	57.6868043243	0.0358108108108	8.054384	0.005	8.004104	0.005
0.0425	59.9512257432	0.0358108108108	8.3705485	0.005	8.317126	0.005
0.0451	62.1303150135	0.0358108108108	8.6747987	0.005	8.618108	0.005
0.0475	64.1958023649	0.0358108108108	8.9631875	0.005	8.90348	0.005
0.05	66.1861564865	0.0358108108108	9.241086	0.005	9.178236	0.005
0.0525	68.0846272297	0.0358108108108	9.5061555	0.005	9.440163	0.005
0.055	69.9257935135	0.0358108108108	9.763224	0.005	9.694089	0.005
0.0575	71.6936407432	0.0358108108108	10.0100555	0.005	9.937778	0.005
0.06	73.4054297297	0.0358108108108	10.24906	0.005	10.17364	0.005
0.0625	75.0456543919	0.0358108108108	10.4780725	0.005	10.39951	0.005
0.065	76.6196290541	0.0358108108108	10.697835	0.005	10.61613	0.005
0.0675	78.1504158784	0.0358108108108	10.9115675	0.005	10.82672	0.005
0.07	79.6660905405	0.0358108108108	11.12319	0.005	11.0352	0.005
0.0725	81.0855057432	0.0358108108108	11.3213725	0.005	11.23024	0.005
0.075	82.4892358108	0.0358108108108	11.517365	0.005	11.42309	0.005
0.0775	83.8344510135	0.0358108108108	11.7051875	0.005	11.60777	0.005
0.08	85.0879905405	0.0358108108108	11.88021	0.005	11.77965	0.005
0.0825	86.3979679054	0.0358108108108	12.0631125	0.005	11.95941	0.005
0.085	87.6477114865	0.0358108108108	12.237605	0.005	12.13076	0.005
0.0875	88.8296293919	0.0358108108108	12.4026275	0.005	12.29264	0.005
0.09	90.0338932432	0.0358108108108	12.57077	0.005	12.45764	0.005
0.0925	91.1529273649	0.0358108108108	12.7270125	0.005	12.61074	0.005
0.095	92.2643695946	0.0358108108108	12.882195	0.005	12.76278	0.005
0.0975	93.3404307432	0.0358108108108	13.0324375	0.005	12.90988	0.005
0.1	94.3813972973	0.0358108108108	13.17778	0.005	13.05208	0.005
0.15	111.120014865	0.0358108108108	15.51487	0.005	15.32632	0.005
0.2	122.821197297	0.0358108108108	17.14862	0.005	16.89722	0.005
0.25	131.733362162	0.0358108108108	18.39296	0.005	18.07871	0.005
0.3	138.890439189	0.0358108108108	19.39225	0.005	19.01515	0.005
0.35	144.890683784	0.0358108108108	20.23002	0.005	19.79007	0.005
0.4001	150.009020554	0.0358108108108	20.9446557	0.005	20.44173	0.005
0.45	154.476951351	0.0358108108108	21.56848	0.005	21.00283	0.005
0.5	158.495497297	0.0358108108108	22.12956	0.005	21.50106	0.005
0.5501	162.104981365	0.0358108108108	22.6335257	0.005	21.94205	0.005
0.6001	165.371715149	0.0358108108108	23.0896357	0.005	22.33531	0.005
0.65	168.378421622	0.0358108108108	23.50944	0.005	22.69239	0.005
0.7	171.152183784	0.0358108108108	23.89672	0.005	23.01682	0.005
0.7501	173.692930014	0.0358108108108	24.2514657	0.005	23.30859	0.005
0.8002	176.080334351	0.0358108108108	24.5848014	0.005	23.57895	0.005
0.8501	178.357789473	0.0358108108108	24.9027857	0.005	23.83421	0.005
0.9001	180.482802986	0.0358108108108	25.1994857	0.005	24.06806	0.005
0.9501	182.492147581	0.0358108108108	25.4800357	0.005	24.28576	0.005
1.0002	184.386580297	0.0358108108108	25.7445414	0.005	24.48729	0.005
1.1001	187.949142176	0.0358108108108	26.2419557	0.005	24.85913	0.005
1.2001	191.155498932	0.0358108108108	26.6896357	0.005	25.18111	0.005
1.3001	194.140401635	0.0358108108108	27.1063957	0.005	25.47217	0.005
1.4001	196.836239473	0.0358108108108	27.4827957	0.005	25.72287	0.005
1.5001	199.353873913	0.0358108108108	27.8343144709	0.005	25.94864	0.005
1.6001	201.652959553	0.0358108108108	28.155318881	0.005	26.12419	0.005
1.7001	203.978514856	0.0358108108108	28.4800190553	0.005	26.28396	0.005
1.8001	206.05365158	0.0358108108108	28.7697551263	0.005	26.39422	0.005
1.9	208.164151254	0.0358108108108	29.0644286656	0.005	26.48759	0.005
1.8006	206.093719999	0.0358108108108	28.7753495847	0.005	26.39877	0.005
1.7005	203.996102798	0.0358108108108	28.4824747303	0.005	26.28572	0.005
1.6007	201.798816418	0.0358108108108	28.1756838018	0.005	26.14351	0.005
