#Loading data from DD205_3_HYST_300K.DAT
#
#Found columns:
#Comment
#Time Stamp (sec)
#Temperature (K)
#Magnetic Field (Oe)
#Moment (emu)
#M. Std. Err. (emu)
#Transport Action
#Averaging Time (sec)
#Frequency (Hz)
#Peak Amplitude (mm)
#Center Position (mm)
#Coil Signal' (mV)
#Coil Signal" (mV)
#Range (mV)
#M. Quad. Signal (emu)
#M. Raw' (emu)
#M. Raw" (emu)
#Min. Temperature (K)
#Max. Temperature (K)
#Min. Field (Oe)
#Max. Field (Oe)
#Mass (grams)
#Motor Lag (deg)
#Pressure (Torr)
#VSM Status (code)
#Motor Status (code)
#Measure Status (code)
#PPMS Status (code)
#System Temp. (K)
#System Field (Oe)
#Sample Position (deg)
#Bridge 1 Resistance (ohms)
#Bridge 1 Excitation (A)
#Bridge 2 Resistance (ohms)
#Bridge 2 Excitation (A)
#Bridge 3 Resistance (ohms)
#Bridge 3 Excitation (A)
#Bridge 4 Resistance (ohms)
#Bridge 4 Excitation (A)
#Signal 1 Vin (V)
#Signal 2 Vin (V)
#Digital Inputs (code)
#Drive 1 Iout (mA)
#Drive 1 Ipower (W)
#Drive 2 Iout (mA)
#Drive 2 Ipower (W)
#Pressure ()
#Map 20 ()
#Map 21 ()
#Map 22 ()
#Map 23 ()
#Map 24 ()
#Map 25 ()
#Map 26 ()
#Map 27 ()
#Map 28 ()
#Map 29 ()
#
#Transformed data from column 'Moment (emu)' from emu to memu by multiplication with 1000.
#Transformed data from column 'Magnetic Field (Oe)' from Oe to Tesla by division with 10000.
#Loaded 1405 datapoints.
#Loading Magnetic Field (Oe) and Moment (emu)
#Running linear fit between B=(6.006505078125 .. 8.999958203125) with LM algorithm.
#[[Fit Statistics]]
#    # function evals   = 9
#    # data points      = 237
#    # variables        = 2
#    chi-square         = 0.001
#    reduced chi-square = 0.000
#    Akaike info crit   = -3011.736
#    Bayesian info crit = -3004.800
#[[Variables]]
#    m:  -0.03159876 +/- 0.000129 (0.41%) (init= 8.254994)
#    b:   0.15912468 +/- 0.000976 (0.61%) (init=-74.42113)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(m, b)                      = -0.993 
#Running linear fit between B=(-8.999965625 .. -6.0346984375) with LM algorithm.
#[[Fit Statistics]]
#    # function evals   = 8
#    # data points      = 234
#    # variables        = 2
#    chi-square         = 0.000
#    reduced chi-square = 0.000
#    Akaike info crit   = -3136.021
#    Bayesian info crit = -3129.110
#[[Variables]]
#    m:  -0.03057150 +/- 9.21e-05 (0.30%) (init=-0.03159877)
#    b:  -0.14878967 +/- 0.000697 (0.47%) (init=-0.1591247)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(m, b)                      =  0.993 
#Mean diamagnetic slope: -0.03108840728310231 +/- 7.947034053141216e-05
#Exporting data to DD205_8_extracted.dat
#
#B / T	M / memu	T / K
8.99995078125	-0.126594328466107	300.10147095
8.996528515625	-0.125459681983929	300.1004944
8.988064453125	-0.12445304009788401	300.09977725
8.953587109375	-0.125413799150091	300.0977478
8.944221484375	-0.12350098077936102	300.0975647
8.925259375	-0.125871565115091	300.0977478
8.901203125	-0.12182311911177801	300.09809875
8.877908984375	-0.121245993148497	300.09840395
8.83213125	-0.120288180559522	300.09729
8.8204296875	-0.121326629179679	300.09713745
8.7784859375	-0.119395454717907	300.0953064
8.76383828125	-0.116206766558192	300.0950012
8.740415234375	-0.116378503752423	300.0947113
8.718932421875	-0.116291001726602	300.09515385
8.679897265625	-0.113983084190458	300.0939636
8.651573828125	-0.113727956709301	300.0935364
8.638888671875	-0.11239412349745	300.0923767
8.596887109375	-0.111491137407462	300.0906067
8.585184765625	-0.11058099135551601	300.09028625
8.54321640625	-0.109789635161351	300.0886841
8.530525390625	-0.109528834400629	300.08848575
8.490445703125	-0.11016207329334	300.0873718
8.475798828125	-0.10765294539425001	300.0865631
8.431873046875	-0.10843990161426201	300.0863953
8.420151953125	-0.10737144753439899	300.08578495
8.402580078125	-0.10600297354793	300.08537295
8.366452734375	-0.102974868876475	300.0844421
8.33908671875	-0.102983491214686	300.0841675
8.3254390625	-0.101831001933239	300.082428
8.299094140625	-0.101875286413598	300.0808258
8.272710546875	-0.10108442119962999	300.0807037
8.248285546875	-0.0994542682174338	300.081192
8.206333984375	-0.101045493594596	300.0790405
8.190703515625	-0.0986083156284439	300.07894895
8.168233984375	-0.09759474419596849	300.0779724
8.145777734375	-0.0965576944272608	300.0764618
8.12234921875	-0.0983634602903805	300.0758362
8.0998921875	-0.0971852717401567	300.0757294
8.07742890625	-0.0934992504707576	300.07543945
8.038328125	-0.09644732544674059	300.0744934
8.00804921875	-0.09351929991520831	300.0717468
7.9934265625	-0.09271994881995979	300.0714264
7.967058984375	-0.0908904589453993	300.07081605
7.942638671875	-0.0906049219829306	300.0701294
7.919208203125	-0.0898452794096307	300.0698395
7.878204296875	-0.08740827982965349	300.067627
7.84892265625	-0.0878463451688896	300.0675049
7.835244921875	-0.0892210826063267	300.06733705
7.8118046875	-0.0842171473347352	300.0667572
7.78934609375	-0.0843966373850636	300.0656738
7.764926171875	-0.08446732851048071	300.06521605
7.73953359375	-0.0833673857929727	300.06448365
7.71903203125	-0.0836229873728459	300.0634308
7.6799859375	-0.0827182326010537	300.0620728
7.6673078125	-0.08258739049546	300.06190495
7.642901171875	-0.0795610922703677	300.0617981
7.621418359375	-0.0813108381374357	300.06176755
7.583282421875	-0.0793873666237923	300.0611877
7.570584765625	-0.0787636123629951	300.0601196
7.549116015625	-0.0791973975760152	300.0593567
7.52764453125	-0.0777544074031373	300.0590668
7.50322265625	-0.0760832793264897	300.05801395
7.4592765625	-0.0757119355634654	300.0573425
7.429017578125	-0.0728728893318494	300.0559387
7.39972421875	-0.0735486945312506	300.0550537
7.388012890625	-0.07258339597870389	300.05589295
7.36459140625	-0.0724102612821002	300.0563202
7.325534375	-0.0713531441111014	300.0554199
7.293321484375	-0.0696175010210411	300.0532532
7.27959375	-0.0693251075005076	300.05348205
7.237640625	-0.0662350981985826	300.052887
7.225925390625	-0.0681452096923927	300.05290225
7.205434765625	-0.0660298951582125	300.0528412
7.182008203125	-0.065535836876096	300.0527191
7.159540625	-0.0647384546270014	300.05203245
7.138053515625	-0.0643592746373049	300.051651
7.1146140625	-0.064166504691632	300.0516815
7.069697265625	-0.0632223791341017	300.0502472
7.056993359375	-0.0611392975930825	300.05030825
7.032598046875	-0.0615702425641758	300.0497284
7.008193359375	-0.060934558477340396	300.048645
6.9857375	-0.0589079489045364	300.0482483
6.962307421875	-0.0593770788620872	300.04766845
6.939835546875	-0.058241099276576	300.04762265
6.9183453125	-0.0572550419470638	300.0472412
6.87735625	-0.0550777206401208	300.0470886
6.86271015625	-0.053240141087476496	300.0466156
6.83925625	-0.053932962566109396	300.04545595
6.816790234375	-0.053952078859177494	300.0449982
6.77383671875	-0.0524966150503908	300.04475405
6.7601546875	-0.0519082502239761	300.04393005
6.736725	-0.0499836953226421	300.0435333
6.713271875	-0.0497459813524669	300.04400635
6.668325	-0.0475754546898046	300.0424805
6.65369453125	-0.0488794399427747	300.04179385
6.629287109375	-0.0474535565003747	300.0408783
6.589238671875	-0.0444920472244218	300.0400085
6.577519140625	-0.0468329862746716	300.0400238
6.55507265625	-0.0462183245444258	300.03987125
6.5306794921875	-0.0465905871297181	300.03889465
6.5043126953125	-0.046544958871508696	300.0381622
6.4798880859375	-0.043702353505758504	300.0381622
6.4564435546875	-0.0436691760612508	300.0380554
