#File generated by ModelExp v0.3.9
#Generated at 2018-08-30 11:30:56.130455

#[[Data]] m
#r / nm	SLD / 1e-6 A-2	SLDmag / 1-6 A-2
7.8837391304347815	3.894523581306009	0.03498535769441135
8.088752508361205	3.8870310684405105	0.03491667523064676
8.293765886287627	3.872657808364146	0.03478491824448947
8.49877926421405	3.846675598420124	0.03454674418703491
8.703792642140467	3.8024177486899764	0.03414104076044129
8.90880602006689	3.731378515990633	0.0334898374142554
9.113819397993314	3.6239300773574747	0.0325048777196833
9.318832775919736	3.470787571902596	0.031101049175528264
9.523846153846154	3.2651111350578157	0.029215652289102022
9.728859531772576	3.0048167990401264	0.026829584525310958
9.933872909699	2.6944093966384965	0.023984143125104967
10.138886287625422	2.34560898993999	0.02078676970945907
10.34389966555184	1.9763102843997344	0.017401516420371764
10.548913043478262	1.6079391280173543	0.014024823635459167
10.753926421404685	1.2618485232864922	0.010852501854182283
10.958939799331109	0.9557664455531641	0.008047201455928996
11.163953177257525	0.7012895546086145	0.005715485970739386
11.368966555183949	0.503017239075548	0.003899956463995735
11.57397993311037	0.35932874144906074	0.002586441667779722
11.778993311036794	0.26428649869643356	0.0017214927002556916
11.98400668896321	0.20989969491673893	0.0012331257318681892
12.189020066889634	0.18804990804317548	0.0010483754937561287
12.394033444816056	0.19166902057824606	0.001103879953490781
12.59904682274248	0.21510685990674408	0.0013489356901980457
12.804060200668896	0.25389396984108614	0.0017429683729554193
13.00907357859532	0.3042271185988473	0.0022505249234892957
13.214086956521744	0.3624871491539074	0.0028367392315674753
13.419100334448165	0.4249890867614047	0.0034651805379521845
13.624113712374584	0.48802286868476374	0.00409861737161018
13.829127090301006	0.5481202925354145	0.004702014387907669
14.034140468227429	0.602411982578227	0.005246360353916363
14.239153846153846	0.6489281654311613	0.00571183145361724
14.44416722408027	0.6867392113338534	0.006089238036463302
14.649180602006691	0.7159016274224768	0.006379431532598736
14.854193979933115	0.7372428807126368	0.006591049508731485
15.059207357859531	0.752060881201669	0.006737406735392112
15.264220735785955	0.7618221289577038	0.0068334078810882715
15.469234113712378	0.7679222160120378	0.0068931307543877865
15.6742474916388	0.7715383901877853	0.006928368441487409
15.879260869565218	0.7735717450284189	0.0069480870603002495
16.084274247491642	0.7746561631585319	0.006958552266145665
16.289287625418062	0.7752046566213745	0.006963819965129365
16.494301003344486	0.7754677507897871	0.00696633472006999
16.699314381270902	0.7755874229469784	0.006967473321045018
16.904327759197326	0.7756390405065767	0.006967962252669491
17.10934113712375	0.7756601514391247	0.006968161376998008
17.314354515050173	0.7756683380232783	0.006968238288697952
17.51936789297659	0.7756713474908251	0.00696826645759349
17.724381270903013	0.7756723939238814	0.0069682762193449595
17.929394648829437	0.77567272955113	0.006968279342436832
18.134408026755857	0.7756727984889128	0.006968279988418296
18.339421404682277	0.7756726976625394	0.00696827907550353
