#Loaded raw file: ES_S15_30K_ZFC_7Oe_Remanence_tranformed_angs_du_masked_qz_I.xy
#Loaded data range: 0.005 .. inf
#Divided data by: 4.0033910926
#Performed footprint correction
#Beamwidth: 1.0
#Samplelength: 14.0
#Wavelength: 5.1386
#q / A-1 	 I / a.u. 	 sI / a.u. 
0.00507734505523	0.949162188389	0.0288545138556
0.00541583418006	0.977399903639	0.0276179699453
0.0057543231993	1.0	0.0244796902631
0.00609281210636	0.990991160699	0.0225103715671
0.00643130089464	0.991429167338	0.0206040325413
0.00676978955753	0.981311768656	0.0168107168271
0.00710827808845	0.960658429424	0.017215494103
0.00744676648079	0.932802377752	0.0180053238383
0.00778525472794	0.889075625062	0.0156818164986
0.00812374282332	0.822949312312	0.014703233655
0.00846223076033	0.711682061088	0.0148153778317
0.00880071853236	0.590268304471	0.012614944556
0.00913920613281	0.490183769903	0.0129679909682
0.00947769355509	0.402336195405	0.00987581881095
0.0098161807926	0.362738869769	0.00993530571136
0.0101546678387	0.341573502567	0.00905572498964
0.0104931546869	0.358216582444	0.0113151224524
0.0108316413305	0.408257364704	0.00970915781547
0.0111701277629	0.532935124711	0.0108722456712
0.0115086139776	0.660560123116	0.0112845114116
0.0118470999679	0.719455772182	0.0130653277572
0.0121855857272	0.690069923771	0.0142257560597
0.012524071249	0.570515078175	0.0120968677889
0.0128625565266	0.394576948743	0.00839817104915
0.0132010415534	0.242070817875	0.00533642013665
0.0135395263229	0.143305417952	0.00358257388486
0.0138780108284	0.0874541145873	0.0026067342996
0.0142164950634	0.0533905489694	0.00222024581703
0.0145549790212	0.0339381225949	0.00179041770911
0.0148934626952	0.0260196689685	0.00154023904234
0.0152319460789	0.0181874242484	0.00136586330644
0.0155704291656	0.013329472447	0.00133938076602
0.0159089119488	0.0102704717537	0.00113989886873
0.0162473944218	0.00983064205157	0.000986959002005
0.0165858765781	0.013620190043	0.00100469792795
0.016924358411	0.0218848918532	0.00108500523731
0.017262839914	0.0346046740168	0.00124074374872
0.0176013210805	0.0512642802097	0.00160263583194
0.0179398019037	0.0650137524524	0.00186371542146
0.0182782823773	0.0695227216928	0.00191201105048
0.0186167624945	0.0633376300902	0.00186305826183
0.0189552422487	0.04905312246	0.00156387158927
0.0192937216334	0.0328239639217	0.00118230067729
0.019632200642	0.0195016899614	0.000828070152408
0.0199706792678	0.0116954621582	0.000575223064404
0.0203091575043	0.00758713013518	0.0004425954109
0.0206476353448	0.00578911532665	0.000440526654132
0.0209861127829	0.00386621249957	0.000295774492281
0.0213245898117	0.00313455200977	0.000234531152513
0.0216630664249	0.00260028866961	0.00024665330075
0.0220015426157	0.00250475534659	0.00020508647968
0.0223400183776	0.00224492412599	0.000235024525028
0.0226784937039	0.00165248595275	0.00018898495084
0.0230169685881	0.00126164802769	0.00016576445444
0.0233554430236	0.000773809149935	0.000139059579337
0.0236939170038	0.000968134719943	0.000132462792116
0.0240323905221	0.00137249132457	0.000135736694729
0.0243708635718	0.00175784802682	0.000142698791535
0.0247093361464	0.00262854865811	0.00019338947375
0.0250478082392	0.00480458142772	0.00024427789918
0.0253862798438	0.0051154289391	0.000240430377385
0.0257247509534	0.00546526167189	0.000222779470918
0.0260632215616	0.00550189837836	0.000239308218424
0.0264016916616	0.00520379500983	0.000231264526438
0.0267401612468	0.00451387780975	0.000182306676921
0.0270786303108	0.00405673602092	0.000196506767794
0.0274170988469	0.00370335784625	0.000183716686731
0.0277555668484	0.00339849717332	0.000156010485399
0.0280940343089	0.00294082818815	0.000165388961417
0.0284325012216	0.00264926561286	0.000162792367546
0.02877096758	0.00222048003736	0.000128890397134
0.0291094333776	0.00226861422214	0.000132346138202
0.0294478986076	0.00204491826977	0.000116059902811
0.0297863632635	0.0017493295439	0.000122195562139
0.0301248273387	0.00169530918896	0.000130160451475
0.0304632908267	0.00180270842072	0.000126886237313
0.0308017537207	0.00213553139865	0.000134369574054
0.0311402160142	0.00253311290526	0.000150998693524
0.0314786777006	0.00300860359868	0.000162960885412
0.0318171387734	0.00384321050301	0.000157928759653
0.0321555992258	0.00477853094013	0.000169432972693
0.0324940590514	0.00588498573542	0.00019570439151
0.0328325182434	0.00662541532132	0.000190142429574
0.0331709767954	0.00708447276702	0.000206282140254
