#Model Independent Fit with Multiple Iterations
#Created on Mi 05 Okt 2016 07:59:10 CEST
#Performed 510 of 1000

#
#z / nm 	SLD / A-6	sSLD / A-6
-5.0	2.1399596832	0.0
-4.4966442953	2.13995444189	0.0
-3.9932885906	2.13988863397	0.0
-3.48993288591	2.1392876209	0.0
-2.98657718121	2.13529575784	0.0
-2.48322147651	2.15225006513	0.0672113377438
-1.97986577181	2.1288153586	0.119639117071
-1.47651006711	1.99159257719	0.129865634951
-0.973154362416	1.74470062825	0.110530970204
-0.469798657718	1.46432414153	0.0884629777515
0.0335570469799	1.25398136307	0.0781846345051
0.536912751678	1.19712020045	0.0689822215309
1.04026845638	1.32214266049	0.0569273038685
1.54362416107	1.59774463852	0.0526756799461
2.04697986577	1.95688480284	0.055774212969
2.55033557047	2.33249110706	0.0558568026057
3.05369127517	2.67944106637	0.0593272578157
3.55704697987	2.97593933233	0.0717792995111
4.06040268456	3.21744154552	0.0819322699264
4.56375838926	3.40542366131	0.0825524332603
5.06711409396	3.54143744379	0.0797728638401
5.57046979866	3.62081277505	0.0831512369995
6.07382550336	3.63704378405	0.0945528672716
6.57718120805	3.58331141518	0.10358409687
7.08053691275	3.45241860658	0.104427952116
7.58389261745	3.24885469327	0.098708734859
8.08724832215	2.98448121312	0.0895535883751
8.59060402685	2.6888705191	0.0797238094954
9.09395973154	2.40080445019	0.069440855049
9.59731543624	2.16117967397	0.0624203926407
10.1006711409	2.00039708731	0.0613889249689
10.6040268456	1.93437466824	0.0630251649556
11.1073825503	1.96714375469	0.0676657534758
11.610738255	2.09263828204	0.0723051389337
12.1140939597	2.29643604762	0.0812217621906
12.6174496644	2.5518467573	0.0936556361663
13.1208053691	2.8216137377	0.102646469603
13.6241610738	3.06862311471	0.105043265824
14.1275167785	3.26149535919	0.101891778986
14.6308724832	3.38245328214	0.0983244592196
15.1342281879	3.42862944145	0.0965133199456
15.6375838926	3.4090344194	0.0948632950617
16.1409395973	3.33773727432	0.090937571299
16.644295302	3.22993894673	0.080805206829
17.1476510067	3.10273938152	0.0676053606953
17.6510067114	2.96899327445	0.0577760435328
18.1543624161	2.83993369051	0.0584377252059
18.6577181208	2.72588860459	0.07068761041
19.1610738255	2.63337607406	0.0837236471613
19.6644295302	2.56795007641	0.0956695558513
20.1677852349	2.53425502669	0.1061463234
20.6711409396	2.5344983104	0.113238073696
21.1744966443	2.5676254713	0.114718589752
21.677852349	2.62974091517	0.112281005106
22.1812080537	2.71709680894	0.105883898269
22.6845637584	2.82314808498	0.0959365905072
23.1879194631	2.93827591473	0.0851988902729
23.6912751678	3.04725406893	0.073605808388
24.1946308725	3.13331731515	0.0633397504943
24.6979865772	3.17922420516	0.0554777574114
25.2013422819	3.17711766022	0.0563567459847
25.7046979866	3.13125044466	0.0688724339505
26.2080536913	3.05227819015	0.0838656506458
26.711409396	2.95464402045	0.0970208786953
27.2147651007	2.85619138984	0.103946509791
27.7181208054	2.76990513879	0.108064797092
28.2214765101	2.70541825394	0.11068192674
28.7248322148	2.66686319236	0.109395710893
29.2281879195	2.65289683639	0.104382451559
29.7315436242	2.6562021102	0.0978343379343
30.2348993289	2.66901210746	0.0895564395834
30.7382550336	2.68757851317	0.0806556245119
31.2416107383	2.71175903593	0.0743908560233
31.744966443	2.74182047852	0.0670125764634
32.2483221477	2.77767842612	0.0554826690614
32.7516778523	2.82213142936	0.0469034381781
33.255033557	2.87649966881	0.0508731333411
33.7583892617	2.93809125301	0.0661925964731
34.2617449664	3.00034821922	0.0841469408376
34.7651006711	3.05174015368	0.0927229472048
35.2684563758	3.08416076616	0.0979051301156
35.7718120805	3.09111427186	0.100990798525
36.2751677852	3.07003241159	0.101808590154
36.7785234899	3.02509204892	0.102971593213
37.2818791946	2.96596471677	0.101922619699
37.7852348993	2.90468157512	0.0980818866719
38.288590604	2.85520906167	0.0935713031055
38.7919463087	2.83110486261	0.0898420313072
39.2953020134	2.84080891384	0.0854151713484
39.7986577181	2.88357610162	0.0791847549217
40.3020134228	2.95000316137	0.0756743716803
40.8053691275	3.02705956413	0.0741585796716
