 ,Area,Mean,Min,Max,Angle,MinThr,MaxThr,Length
1,22.539,128.758,50,208,90,0,255,26.446
2,23.905,192.800,74,229,-90,0,255,28.099
3,26.638,247.000,247,247,-90,0,255,31.405
4,25.271,148.054,90,226,-90,0,255,29.752
5,23.222,147.500,88,205,-90,0,255,27.548
6,21.856,244.625,171,247,-90,0,255,25.895
7,19.124,197.250,175,221,-90,0,255,22.590
8,17.758,138.769,104,186,-90,0,255,20.937
