#Generated data by combining files:
#ES_S16_30K_ZFC_7Oe_Virgin_tranformed_angs_uu_masked_qz_I_corrected.xy
#ES_S16_30K_ZFC_7Oe_Virgin_tranformed_angs_du_masked_qz_I_corrected.xy
#q/A-1	I/a.u.	sI /a.u.
0.00503503390753	0.265425727531	0.0115215300477
0.0057543231993	0.590397664948	0.0142770558087
0.00647361198449	0.837342574109	0.0153760033816
0.00719290019978	0.956259350417	0.0152113376028
0.00791218778185	1.0	0.0145592030947
0.00863147466738	0.881347448863	0.0168612331317
0.00935076079303	0.774542229541	0.0140550011339
0.0100700460955	0.634731369371	0.012227107115
0.0107893305115	0.599603402589	0.0102419586903
0.0115086139776	0.734629138834	0.012118713414
0.0122278964306	0.717444908983	0.0143112109313
0.012947177807	0.423682386104	0.00903206915593
0.0136664580437	0.160478753019	0.004128282291
0.0143857370773	0.0536676874941	0.00206524146872
0.0151050148445	0.0682858352481	0.00235034968797
0.0158242912818	0.138485566998	0.00330935660814
0.0165435663261	0.15435776987	0.00332333936222
0.017262839914	0.0822836978037	0.00209425762024
0.0179821119822	0.0281771698114	0.00108343814212
0.0187013824673	0.0158662318379	0.000705580725281
0.0194206513061	0.0153364964784	0.000687666023297
0.0201399184351	0.0310818226534	0.00101777807685
0.0208591837912	0.053383372488	0.00142801951841
0.0215784473109	0.0487954126787	0.00128806476652
0.022297708931	0.0248509311394	0.000834700927003
0.0230169685881	0.00802873432174	0.000397799994741
0.023736226219	0.00301667356914	0.000267988373441
0.0244554817602	0.00197934781693	0.000233769734122
0.0251747351485	0.00308070004464	0.000264995377695
0.0258939863206	0.00823479804857	0.00035713305797
0.0266132352131	0.0135735274174	0.000467649373061
0.0273324817627	0.0122294581816	0.000444421791942
0.0280517259061	0.00722483562537	0.000311899423232
0.02877096758	0.0042633520451	0.000217330488417
0.0294902067211	0.00349461523654	0.000199343979454
0.030209443266	0.00312741653338	0.000177538974759
0.0309286771515	0.00386579063412	0.000183721660799
0.0316479083141	0.00513283809393	0.000225866957673
0.0323671366907	0.00466725477581	0.000203011407248
0.0330863622178	0.00267201349236	0.00014315272116
0.0338055848322	0.0013124343665	9.94120175247e-05
0.0345248044705	0.000569228679494	7.85369318527e-05
0.0352440210695	0.000579144976409	7.03586839227e-05
0.0359632345658	0.00121088622568	9.61802800245e-05
0.036682444896	0.00225555374655	0.000121809148669
0.037401651997	0.00339089846559	0.000153921190638
0.0381208558053	0.003940652717	0.000174054912918
0.0388400562577	0.00368437689221	0.00016102162735
0.0395592532908	0.00227090463225	0.000109052232367
0.0402784468413	0.00147444183928	7.94167201223e-05
0.0409976368459	0.00128644441622	8.26801095528e-05
0.0417168232414	0.000889196307075	6.78975736835e-05
0.0424360059643	0.000897027565236	6.1100740572e-05
0.0431551849514	0.000657188596088	5.84300259546e-05
0.0438743601393	0.000646521195682	5.14239927299e-05
0.0445935314648	0.000511237191053	4.5699362681e-05
0.0453126988646	0.000410759505247	4.24430181077e-05
0.0460318622752	0.000422623763546	4.24376483324e-05
0.0467510216335	0.000482961727745	4.74639627161e-05
0.047470176876	0.000869399828886	5.41947583974e-05
0.0481893279396	0.000897335256443	5.8908697123e-05
0.0489084747608	0.00127144102354	6.88053743087e-05
0.0496276172764	0.00126213510146	6.12440205615e-05
0.0503467554231	0.00124201075749	5.88894689285e-05
0.0510658891375	0.000817037793103	4.29137559518e-05
0.0517850183564	0.000462475608337	3.91054667552e-05
0.0525041430164	0.000422514290517	3.09198231528e-05
0.0532232630542	0.000265182756644	2.84581663468e-05
0.0539423784065	0.000306248919126	2.64068495931e-05
0.0546614890101	0.000275691382721	2.414425176e-05
0.0553805948015	0.000254918947935	2.5437001756e-05
0.0560996957176	0.000252914313202	2.18979779286e-05
0.0568187916949	0.000291331414093	2.44794159593e-05
0.0575378826703	0.000343623724928	2.79895062915e-05
0.0582569685803	0.00044111805801	2.9939466698e-05
0.0589760493617	0.000399771453339	2.81189660655e-05
0.0596951249512	0.00044778155564	2.88799190162e-05
0.0604141952855	0.000418395272536	2.76316039388e-05
0.0611332603012	0.000386846932211	2.56597897982e-05
0.0618523199351	0.000439840868905	2.65608283621e-05
0.0625713741239	0.000243624782959	1.79057627353e-05
0.0632904228042	0.000195954045979	1.68403361644e-05
0.0640094659128	0.000117582766453	1.48428551787e-05
0.0647285033864	0.000107505331006	1.46377739102e-05
0.0654475351616	0.000100459008807	1.37387897277e-05
0.0661665611752	0.000139503986884	1.46094817436e-05
0.0668855813638	0.000204626844552	1.55807379148e-05
0.0676045956642	0.000237851309161	1.70285333538e-05
0.0683236040131	0.00022241232041	1.61163453202e-05
0.0690426063472	0.000216957567394	1.70888360353e-05
0.0697616026031	0.00021401968585	1.51772954716e-05
0.0704805927176	0.00016847231981	1.42914898809e-05
0.0711995766274	0.000200012497145	1.42703025132e-05
0.0719185542691	0.000202188482001	1.30227494505e-05
0.0726375255796	0.000166561175573	1.21128302867e-05
0.0733564904955	8.35817247968e-05	1.0930407297e-05
0.0740754489534	8.92291407155e-05	9.44430420448e-06
0.0747944008902	6.98137705574e-05	8.02476171732e-06
0.0755133462425	7.72668013958e-05	8.70733097993e-06
0.076232284947	7.5294165556e-05	8.52575329964e-06
0.0769512169404	7.21121764437e-05	8.94149708657e-06
0.0776701421595	0.000134773761307	1.01273991354e-05
0.078389060541	0.000166361776102	1.02850032279e-05
0.0791079720215	0.000167870608571	8.6377035495e-06
0.0798268765377	0.000211909172496	2.23016035556e-05
0.0805457740265	0.000201226047635	2.16364942497e-05
0.0812646644245	0.000175046696643	1.9774306529e-05
0.0819835476683	0.000130116025477	1.74395182226e-05
0.0827024236948	0.000110459328077	1.59744080986e-05
0.0834212924407	0.000100490436374	1.49388346148e-05
0.0841401538426	7.69792506727e-05	1.28639687653e-05
0.0848590078372	4.41366241721e-05	1.10497117466e-05
0.0855778543614	3.73689631826e-05	1.08151497114e-05
0.0862966933517	1.71492981112e-05	1.04332454965e-05
0.087015524745	8.6455751819e-07	8.99873293982e-06
0.0877343484779	1.41174995049e-05	7.92723293154e-06
0.0884531644872	3.55152776835e-05	8.96649881695e-06
0.0891719727095	3.46038434118e-05	8.53572939739e-06
0.0898907730816	9.5200389246e-06	7.19333564841e-06
0.0906095655403	4.39510282661e-06	5.66868170372e-06
0.0913283500222	1.11632200253e-05	5.26058511327e-06
0.092047126464	2.76463955193e-05	6.11464084324e-06
0.0927658948026	2.89716791508e-05	5.91717796455e-06
