[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3735571520.27299,05/15/2018,6:44 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC654,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM507,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,494,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB210,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,593,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3735571467.1485,5.00196194648743,-0.647239625453949,6.09662948275928E-6,3.60175941119526E-7,1,0.999253354069792,40.0298881530762,1.99541540204546,14.5600000396371,6.52240708256627E-5,1.16842785231163E-5,0.25,-1.91511897239352E-9,6.06047606111628E-6,2.74760872269254E-8,5.00184535980225,5.00184535980225,-0.689582407474518,-0.60489684343338,54.9594277011981,19.767852486329,6.32005214691162,0,0,0,40,4.99139928817749,1,4,1,2.15621948242187,43.9882698059082,,,,,,,,,,,,,,,,
,3735571475.3005,4.99930477142334,8.63634010776877,2.57054536635679E-6,1.21779416153417E-6,1,0.999253354069792,40.0298881530762,1.9953919601684,14.5600000396371,2.25295820070195E-5,3.26242644673656E-5,0.25,2.58834064256683E-6,2.54282461718982E-6,2.58537593306203E-6,4.99921464920044,4.99921464920044,-0.120979376137257,17.3936595916748,55.0078886693904,19.7693092683913,6.31044340133667,0,0,0,40,4.99045705795288,1,6,1,2.14859008789062,44.4770278930664,,,,,,,,,,,,,,,,
,3735571476.1585,4.9997398853302,42.1087369918823,7.6468620841083E-6,2.74052207850294E-7,1,0.999253354069792,40.0298881530762,1.99533722579563,14.5600000396371,8.29733757498865E-5,8.15048966339664E-6,0.25,-6.1043679447723E-7,7.604453108942E-6,-5.69958167808617E-7,4.99939489364624,4.99939489364624,17.3936595916748,66.8238143920898,54.820297824775,19.7676789618424,6.30999422073364,0,0,0,40,4.99175357818604,1,6,1,2.13973999023438,44.4770278930664,,,,,,,,,,,,,,,,
,3735571477.238,5.00042533874512,96.777229309082,7.97586585786431E-6,2.56825040616133E-7,1,0.999253354069792,40.0298881530762,1.99529959077787,14.5600000396371,8.74246496304166E-5,3.58214788252828E-6,0.25,-1.0965428144592E-6,7.93386264748817E-6,-1.05158296057649E-6,5.00008487701416,5.00008487701416,76.7530975341797,116.801361083984,54.7859061699289,19.7692568179068,6.30866813659668,0,0,0,40,4.99234628677368,1,6,1,2.15362548828125,45.9433059692383,,,,,,,,,,,,,,,,
,3735571478.1905,5.00125241279602,141.825729370117,8.1493724606983E-6,2.12697391612296E-7,1,0.999253354069792,40.0298881530762,1.99536721063438,14.5600000396371,8.85688366878369E-5,7.89862612728239E-6,0.25,-7.24205542392552E-7,8.10455762038535E-6,-6.80604463956757E-7,5.00139808654785,5.00139808654785,116.801361083984,166.85009765625,54.8875178774289,19.7673622580516,6.30905628204346,0,0,0,40,4.99183177947998,1,6,1,2.15362548828125,44.9657897949219,,,,,,,,,,,,,,,,
,3735571479.2035,5.00100255012512,191.767242431641,8.21233745049515E-6,2.34141984922145E-7,1,0.999253354069792,40.0298881530762,1.99533861423627,14.5600000396371,8.93767776551536E-5,7.26486068300741E-6,0.25,-7.94757762301108E-7,8.167504705403E-6,-7.50420203977729E-7,5.00110673904419,5.00110673904419,171.822769165039,211.711715698242,55.3322645048712,19.7680429256454,6.30767440795898,0,0,0,40,4.99177122116089,1,6,1,2.15225219726562,44.4770278930664,,,,,,,,,,,,,,,,
,3735571480.1345,5.00089907646179,241.709762573242,8.14369322098682E-6,2.57942588235545E-7,1,0.999253354069792,40.0298881530762,1.99537826617283,14.5600000396371,8.86460111432775E-5,7.12373365082016E-6,0.25,-7.95661331438472E-7,8.09928736736703E-6,-7.51634464957227E-7,5.00089836120605,5.00089836120605,216.711700439453,266.707824707031,54.5772113552942,19.765391322767,6.30609560012817,0,0,0,40,4.99160146713257,1,6,1,2.1392822265625,44.4770278930664,,,,,,,,,,,,,,,,
,3735571481.137,5.00084543228149,291.71223449707,8.36203773499323E-6,2.40774299125621E-7,1,0.999253354069792,40.0298881530762,1.99535248884427,14.5600000396371,9.12849902572525E-5,5.84827211658499E-6,0.25,-9.54089002735944E-7,8.31712026522437E-6,-9.08053479002713E-7,5.00089979171753,5.00089979171753,266.707824707031,316.716644287109,55.1743755439866,19.7656191092826,6.30543041229248,0,0,0,40,4.99115753173828,1,6,1,2.1527099609375,43.9882698059082,,,,,,,,,,,,,,,,
,3735571482.133,5.00061249732971,339.211532592773,8.24104450309799E-6,2.72246195105169E-7,1,0.999253354069792,40.0298881530762,1.99536102595643,14.5600000396371,9.02034007715022E-5,4.43374242155447E-6,0.25,-1.06462319858888E-6,8.19739433616186E-6,-1.01850208022197E-6,5.00079107284546,5.00079107284546,316.716644287109,361.706420898438,54.9844398138135,19.7683154202955,6.30453824996948,0,0,0,40,4.99019336700439,1,6,1,2.15347290039062,44.4770278930664,,,,,,,,,,,,,,,,
,3735571483.1305,5.00006628036499,391.652908325195,8.31274377065975E-6,2.60980453044854E-7,1,0.999253354069792,40.0298881530762,1.99534009883227,14.5600000396371,9.14739914808078E-5,1.76173189161219E-6,0.25,-1.32728739848406E-6,8.26995813655603E-6,-1.27924765431664E-6,5.00043392181396,5.00043392181396,366.721496582031,416.584320068359,54.6561558357366,19.7678275465585,6.30336713790894,0,0,0,40,4.99014902114868,1,6,1,2.15469360351562,44.4770278930664,,,,,,,,,,,,,,,,
