#Data reduced with Dominiques SARed v. 1.0
#wavelength: 5.1386
#q/A-1 	 Icorr/a.u. 	 sIcorr /a.u. 	Ispec/a.u. 	 sIspec/a.u. 	 Ibg/a.u. 	 sIbg/a.u. 	 2th/°
0.0	0.0021711246923	0.000175308855108	0.00256522891655	0.000125904377513	0.000394104224251	0.000121988861796	0.0
0.000384135926537	0.00758497217339	0.000416789918794	0.00890552011289	0.000234363218198	0.0013205479395	0.000344655942012	0.018
0.000768271843595	0.0103084602664	0.000530775306429	0.0121337864353	0.00027316235516	0.00182532616887	0.000455087632922	0.036
0.0011524077417	0.00840086475052	0.000438635917737	0.00987466995371	0.000245789722499	0.00147380520319	0.000363302739658	0.054
0.00153654361136	0.00770835225694	0.000321340852718	0.00862737487985	0.000228679830411	0.000919022622916	0.000225755351627	0.072
0.00192067944312	0.0121668919497	0.000305104845565	0.0126976339333	0.000276213393183	0.000530741983572	0.000129596019282	0.09
0.00230481522748	0.0215815203009	0.00037012868979	0.0219110825538	0.000361906267101	0.000329562252921	7.75828643343e-05	0.108
0.00268895095498	0.0331467004521	0.00045028558686	0.0334197720721	0.00044594496725	0.000273071620005	6.23714351193e-05	0.126
0.00307308661613	0.0444213496435	0.000517506608016	0.0446782024947	0.000514316269616	0.0002568528512	5.73747692617e-05	0.144
0.00345722220145	0.0539285307857	0.00056804526374	0.0542135636589	0.000564961772754	0.000285032873261	5.91068268807e-05	0.162
0.00384135770147	0.0606057819504	0.000600206063913	0.0609131192501	0.00059704801227	0.00030733729974	6.14897568992e-05	0.18
0.0042254931067	0.0665217325122	0.00062684258859	0.0668457654459	0.000623479706956	0.000324032933696	6.48435492884e-05	0.198
0.00460962840768	0.0727086580467	0.000652967712117	0.0730368449766	0.000649633666265	0.000328186929844	6.59009311217e-05	0.216
0.00499376359492	0.0786165487201	0.000676474957572	0.0789422800191	0.000673184874901	0.000325731299049	6.66370199434e-05	0.234
0.00537789865894	0.0844688304741	0.000699216016347	0.0848217586367	0.000695445076054	0.00035292816256	7.25202296445e-05	0.252
0.00576203359027	0.0905283816614	0.00072208071042	0.090927418334	0.000717641102416	0.000399036672583	7.99487366043e-05	0.27
