#Loaded raw file: ES_S14_300K_4mT_refl_uu.xy
#Loaded data range: 0.005 .. inf
#Divided data by: 1.37878480415
#Performed footprint correction
#Beamwidth: 0.5
#Samplelength: 14.0
#Wavelength: 5.1386
#q / A-1 	 I / a.u. 	 sI / a.u. 
0.00537789865894	1.0	0.0118339457628
0.00576203359027	0.99704116144	0.011388725661
0.00614616837943	0.993693233824	0.0109807154398
0.00653030301693	0.999761826762	0.0106475730736
0.00691443749331	0.996596724684	0.0102960533333
0.00729857179908	0.990112263852	0.00996209449123
0.00768270592476	0.987785790665	0.00967040719394
0.00806683986089	0.983266527064	0.00939254132481
0.00845097359797	0.98686064119	0.00916940993691
0.00883510712653	0.988799927387	0.00895023932758
0.00921924043709	0.976853180458	0.00867938846567
0.00960337352018	0.965741845583	0.00843069766832
0.00998750636631	0.932420235504	0.00810959762359
0.010371638966	0.869117813593	0.00766834556087
0.0107557713098	0.790907870969	0.00716726537436
0.0111399033882	0.703519725058	0.0066330707842
0.0115240351917	0.61753925172	0.00609315442497
0.0119081667109	0.536867745208	0.00557339999585
0.0122922979363	0.465489144866	0.00510299395773
0.0126764288584	0.398722666278	0.00463908032285
0.0130605594677	0.334123761162	0.00417286803148
0.0134446897547	0.277164984799	0.00373662646152
0.01382881971	0.227538114983	0.00332470203652
0.0142129493241	0.18119218634	0.00291788464511
0.0145970785875	0.140670265652	0.0025335954221
0.0149812074907	0.106311214953	0.00216991746584
0.0153653360243	0.0789974777251	0.00184654662881
0.0157494641788	0.0598110481272	0.00158743191131
0.0161335919446	0.0454051093631	0.00136464991319
0.0165177193124	0.0338040124683	0.00116201305134
0.0169018462726	0.0243658859076	0.000973000776093
0.0172859728158	0.0174943789987	0.000812064538764
0.0176700989325	0.0138929792004	0.000714834547263
0.0180542246132	0.0112394638874	0.000636608909595
0.0184383498484	0.00875466889514	0.000554851195205
0.0188224746286	0.00780364166919	0.000517758656103
0.0192065989445	0.00774185317359	0.000508846225467
0.0195907227864	0.00837729438534	0.000522164086602
0.0199748461449	0.00926395521661	0.000540342528487
0.0203589690106	0.0094583823363	0.000539000009428
0.020743091374	0.00952734540214	0.000533286707049
0.0211272132255	0.0098645387371	0.000533777596924
0.0215113345557	0.00982006946043	0.000526263988219
0.0218954553552	0.0100457655487	0.000526696894913
0.0222795756144	0.0103866720138	0.000529435065631
0.0226636953239	0.0101891081409	0.000519041081893
0.0230478144742	0.00981332573106	0.000504200397706
0.0234319330558	0.00961395898168	0.000494304869466
0.0238160510593	0.00928057268102	0.000480330101419
0.0242001684751	0.0082777220931	0.000448903364458
0.0245842852938	0.00728759257367	0.000418244762502
0.0249684015059	0.00639751372795	0.000388435772489
0.0253525171019	0.00552266920329	0.000356818419957
0.0257366320724	0.00511457756119	0.000339754922177
0.0261207464079	0.00457367654019	0.000318968620279
0.0265048600988	0.0036855693763	0.000284428632157
0.0268889731358	0.00287137022111	0.000248595612645
0.0272730855093	0.00235429614297	0.000223094818399
0.0276571972099	0.00212796671492	0.000210217060609
0.028041308228	0.00176676938392	0.000190527836971
0.0284254185543	0.00140433736109	0.000168541357669
0.0288095281792	0.00105941744905	0.000145817878
0.0291936370933	0.00078790122659	0.000126885790869
0.029577745287	0.000750373808675	0.000122438555887
0.0299618527509	0.000648733920823	0.000113365729902
0.0303459594756	0.00056912928415	0.000105037291628
0.0307300654515	0.000578497969654	0.000103083179622
0.0311141706692	0.000670982810252	0.000109468153032
0.0314982751191	0.000792950444876	0.000120831916068
0.0318823787919	0.000846848212974	0.000124232047887
0.032266481678	0.000947125436331	0.000128729470224
0.0326505837679	0.00112282612798	0.00013880187877
0.0330346850522	0.00115597543208	0.000139127346642
0.0334187855215	0.00112762159609	0.000136134727748
0.0338028851661	0.00129052896903	0.00014373287559
0.0341869839767	0.00136960373651	0.000146182061455
0.0345710819438	0.00134157147149	0.000143286110958
0.0349551790579	0.00143178164724	0.000147679197758
0.0353392753095	0.00147692127045	0.000149514689691
0.0357233706891	0.00153044450461	0.000150631293607
0.0361074651873	0.0014854020039	0.000146478832202
0.0364915587945	0.00139377520018	0.0001400892346
0.0368756515014	0.00136519993188	0.000138166273856
0.0372597432984	0.00129391168053	0.000134281908837
0.0376438341761	0.00111037941167	0.000123955910396
0.0380279241249	0.000959433763448	0.000115257779131
0.0384120131354	0.000861756567294	0.000108539711999
0.0387961011982	0.000748980417389	9.98526088599e-05
0.0391801883037	0.000674605304181	9.51813407997e-05
0.0395642744424	0.000642336498024	9.35282510488e-05
0.039948359605	0.000578764421067	8.78685178055e-05
0.0403324437819	0.000406016514219	7.44642498442e-05
0.0407165269636	0.000260885498357	6.05653980276e-05
0.0411006091406	0.000191290902182	5.18833937841e-05
0.0414846903036	0.000146499555388	4.5694903728e-05
0.0418687704429	9.8157197822e-05	4.0175719097e-05
0.0422528495492	8.25492739767e-05	3.82045489603e-05
0.0426369276129	8.40646323178e-05	3.66503213554e-05
0.0430210046247	0.000111471627209	3.85773070587e-05
0.0434050805749	0.000128324694203	3.99817998203e-05
0.0437891554541	0.000144667638724	4.24679712712e-05
0.0441732292529	0.000213817177898	5.10113977645e-05
0.0445573019617	0.000300732082871	5.92181321558e-05
0.0449413735712	0.000286246702896	5.63354338429e-05
0.0453254440717	0.000299582340667	5.64947948766e-05
0.0457095134539	0.000442712388201	6.79748145177e-05
0.0460935817083	0.000478493207769	7.0658922662e-05
0.0464776488253	0.000460939578413	6.91731791621e-05
0.0468617147956	0.000528275555973	7.398423163e-05
0.0472457796096	0.000628504192573	8.0099869891e-05
0.0476298432578	0.000687693604325	8.23343996549e-05
0.0480139057309	0.00068389914251	8.14119535809e-05
0.0483979670192	0.000627118148328	7.77593601415e-05
0.0487820271134	0.000629876554418	7.81825221289e-05
0.0491660860039	0.000672786098106	8.07272312207e-05
0.0495501436813	0.000694389419985	8.13652708639e-05
0.049934200136	0.000668973862772	7.88964660658e-05
0.0503182553588	0.000610657113669	7.5050394676e-05
0.0507023093399	0.000596053201354	7.44019421189e-05
0.05108636207	0.000573832753482	7.28050695601e-05
0.0514704135397	0.000526043612492	6.91026922351e-05
0.0518544637393	0.000491528658961	6.60936204013e-05
0.0522385126595	0.000423061306105	6.0968899835e-05
0.0526225602907	0.000355689882782	5.56277466859e-05
0.0530066066236	0.000313417780782	5.24204395101e-05
0.0533906516485	0.000260555631135	4.82591657747e-05
0.0537746953561	0.000215770933759	4.43949280478e-05
0.0541587377369	0.000182368769303	4.04693750473e-05
0.0545427787813	0.000158592629844	3.64102266663e-05
0.05492681848	0.000167908957683	3.72435343508e-05
0.0553108568234	0.00017633280006	3.8701416968e-05
0.055694893802	0.000153817102283	3.63293123589e-05
0.0560789294064	0.000154899667868	3.64464827098e-05
0.0564629636272	0.00017075813861	3.95658827363e-05
0.0568469964547	0.00020072551849	4.23912323283e-05
0.0572310278797	0.000211116064112	4.1912065903e-05
0.0576150578925	0.000224198542464	4.26995539944e-05
0.0579990864837	0.000249623408402	4.40123967486e-05
0.0583831136438	0.000306488142317	4.78653506527e-05
0.0587671393634	0.000419612433145	5.57303120443e-05
0.059151163633	0.00048959007471	5.94625970191e-05
0.0595351864431	0.000541605982545	6.20849249893e-05
0.0599192077842	0.000617027119346	6.61659525516e-05
0.0603032276469	0.00060577265797	6.5297498926e-05
0.0606872460216	0.000582813102268	6.33856424669e-05
0.0610712628989	0.000611087385124	6.47543828085e-05
0.0614552782694	0.00061938591956	6.55705259964e-05
0.0618392921235	0.00069885757214	6.92648000954e-05
0.0622233044518	0.000755039926062	7.14819048236e-05
0.0626073152448	0.000755360131437	7.10596687475e-05
0.0629913244931	0.000734821167165	6.95214220841e-05
0.063375332187	0.000674291445893	6.64911306053e-05
0.0637593383173	0.000676454814991	6.63787235379e-05
0.0641433428743	0.000653815973369	6.50985459754e-05
0.0645273458487	0.000643447262933	6.44104492153e-05
0.0649113472309	0.000678764886449	6.57168744918e-05
0.0652953470116	0.000660319914543	6.44233231622e-05
0.0656793451811	0.000591804340876	6.11057091079e-05
0.06606334173	0.000538154375208	5.82480060731e-05
0.0664473366489	0.000517160777791	5.62777269567e-05
0.0668313299283	0.000533500427983	5.65761097167e-05
0.0672153215586	0.000504828173075	5.51552586136e-05
0.0675993115305	0.000439555944196	5.18302452142e-05
0.0679832998345	0.000403368194577	4.93232275568e-05
0.068367286461	0.000397264318913	4.83692652228e-05
0.0687512714007	0.000379097819766	4.72104718612e-05
0.0691352546439	0.000327620531871	4.39725304592e-05
0.0695192361813	0.000313185971276	4.25595651599e-05
0.0699032160034	0.000316942206661	4.26472946045e-05
0.0702871941008	0.000269324919852	3.96905289875e-05
0.0706711704638	0.000211868031921	3.57272346181e-05
0.0710551450831	0.000209060122104	3.48393037075e-05
0.0714391179492	0.000207485743254	3.41726582222e-05
0.0718230890526	0.000161524772215	3.00709280004e-05
0.0722070583838	0.000116606429257	2.57224733793e-05
0.0725910259334	0.000124923801518	2.66008066039e-05
0.0729749916919	0.000136812444216	2.76261972655e-05
0.0733589556498	0.000132556129978	2.68890523579e-05
0.0737429177977	0.000130706196019	2.68931915416e-05
0.074126878126	0.000141430930412	2.80736672359e-05
0.0745108366253	0.000130869949608	2.70416920409e-05
0.0748947932861	0.000103004286822	2.39032274283e-05
0.0752787480989	0.000115557129364	2.44105907851e-05
0.0756627010544	0.000122879343988	2.53805329489e-05
0.0760466521429	9.39669639485e-05	2.2652160126e-05
0.0764306013551	8.93568221038e-05	2.16218791739e-05
0.0768145486814	0.000101811955832	2.25824500085e-05
0.0771984941124	9.953593817e-05	2.23321828725e-05
0.0775824376385	0.000101031091369	2.26378064414e-05
0.0779663792505	0.000123755057475	2.52432287465e-05
0.0783503189386	0.000117993119788	2.50088110251e-05
0.0787342566936	9.32259285665e-05	2.23957591758e-05
0.0791181925059	7.5650062523e-05	1.99557865535e-05
0.079502126366	6.12332618022e-05	1.75436819214e-05
0.0798860582644	6.91114476366e-05	1.81166424815e-05
0.0802699881918	6.50917222073e-05	1.79591106076e-05
0.0806539161386	6.23149633997e-05	1.78750835645e-05
0.0810378420953	6.45845478549e-05	1.78245879425e-05
0.0814217660525	5.16149318955e-05	1.61274329714e-05
0.0818056880007	4.27430041446e-05	1.49694405904e-05
0.0821896079304	4.07249992404e-05	1.52550866143e-05
