#Generated data by combining files:
#ES_S14_300K_4mT_Remanence_refl_uu_corrected.xy
#ES_S14_300K_4mT_Remanence_refl_du_corrected.xy
#q/A-1	I/a.u.	sI /a.u.
0.00512180863042	0.997913056199	0.00633714160411
0.00546326198882	0.992580584797	0.00610563356224
0.00580471524071	0.989193522851	0.00590146980894
0.00614616837943	0.985266346609	0.00571425017608
0.00648762139833	0.986814551104	0.00555179083296
0.00682907429075	0.99184677396	0.00540777318515
0.00717052705003	0.98470940252	0.00524581742368
0.00751197966952	0.987006176493	0.00511208931936
0.00785343214256	0.986253218439	0.00498175530834
0.0081948844625	0.9799103977	0.00484785815863
0.00853633662267	0.981178086524	0.00473614006539
0.00887778861642	0.978467207625	0.00462781427451
0.00921924043709	0.977470194267	0.00452887353122
0.00956069207803	0.964706492119	0.0044079508865
0.00990214353258	0.939026278645	0.00426107310475
0.0102435947941	0.899119151387	0.00408375409768
0.0105850458559	0.834407782756	0.0038561179658
0.0109264967113	0.766018505457	0.0036240033983
0.0112679473537	0.694095719809	0.00339062255118
0.0116093977765	0.62390533585	0.00316046008122
0.0119508479729	0.5617057602	0.00294956586685
0.0122922979363	0.4970133433	0.00273069309219
0.0126337476601	0.433787831165	0.00250786265431
0.0129751971376	0.375022336851	0.00229454890973
0.0133166463621	0.317958629536	0.00208015357118
0.013658095327	0.265453698312	0.0018726441574
0.0139995440256	0.219092587293	0.00167918344079
0.0143409924513	0.179407662556	0.00150000632884
0.0146824405975	0.14462635652	0.00132820564307
0.0150238884573	0.114706500614	0.0011678134792
0.0153653360243	0.0914462009536	0.00102972808037
0.0157067832917	0.0716891017931	0.000899487186518
0.016048230253	0.0552173187368	0.000779426721154
0.0163896769013	0.0417778209236	0.000669767648076
0.0167311232301	0.031081082748	0.000570968072266
0.0170725692328	0.0234761206208	0.000491015979492
0.0174140149026	0.0184263698549	0.000430519675891
0.0177554602329	0.0148329766111	0.000381013699554
0.018096905217	0.0121464597122	0.000340006343151
0.0184383498484	0.0102272897823	0.000308260863513
0.0187797941202	0.00927259701353	0.000290222064404
0.019121238026	0.00897075557605	0.000281507525784
0.019462681559	0.00893194359876	0.000277586174796
0.0198041247125	0.0090760187719	0.000276860133639
0.02014556748	0.00944160513195	0.000278378255873
0.0204870098547	0.00972529296638	0.000278515284183
0.02082845183	0.00987219720894	0.000277502219172
0.0211698933992	0.0100226739071	0.000276692617399
0.0215113345557	0.0102780199231	0.000277073184818
0.0218527752929	0.0104642784211	0.000276780627486
0.022194215604	0.0103190143342	0.000271947404337
0.0225356554824	0.010170129448	0.000266992249051
0.0228770949215	0.00992421851077	0.000260935252769
0.0232185339146	0.00956161668541	0.000253651025028
0.023559972455	0.00927703125677	0.000247824702721
0.0239014105361	0.00893223925873	0.000240903709453
0.0242428481513	0.00838259561956	0.000231265252542
0.0245842852938	0.00769812197034	0.000220086653718
0.024925721957	0.00693337367248	0.000207310128949
0.0252671581343	0.00631233928582	0.000195951989142
0.025608593819	0.0057297416225	0.000185076823258
0.0259500290044	0.00505551941011	0.000172435767467
0.026291463684	0.00455478936443	0.00016225600782
0.0266328978509	0.00392272119478	0.000149338099563
0.0269743314987	0.00329100206261	0.000135966253853
0.0273157646206	0.00287574851701	0.000126089597215
0.0276571972099	0.00237334903836	0.000113705970954
0.02799862926	0.00187897482475	0.000100620078479
0.0283400607643	0.00159022258227	9.19183859089e-05
0.0286814917161	0.00135164781881	8.44361891421e-05
0.0290229221087	0.0010973532226	7.56335562173e-05
0.0293643519355	0.000896723940088	6.79664120604e-05
0.0297057811899	0.000739765592406	6.18547360217e-05
0.0300472098651	0.000658299382098	5.83817639195e-05
0.0303886379545	0.000665939476988	5.78037918193e-05
0.0307300654515	0.000643083724629	5.64763251178e-05
0.0310714923494	0.000635692151663	5.56541059302e-05
0.0314129186415	0.000730042718056	5.83032083934e-05
0.0317543443212	0.000800012591462	6.04142655947e-05
0.0320957693819	0.000860188778161	6.23186978685e-05
