# GRASP V.7.05    Instrument:  ILL_d33

# ***** Sample, Backgrounds and Transmissions Data: *****
# Subtitle:  KWI338 Vpol Col7.8 Det 8 RF+
# Start: 10-Sep-15   13:27:27   End: 10-Sep-15   13:47:27

# Foreground:  23565 , Loaded: 23564,23565
# Background:  23559 , Loaded: 23558+23559
# Cadmium: No Cadmium Subtraction
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1

# Beam Centre1 :  Cx = 127.9334  Cy = 65.436       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Transmissions:  Ts = 0.99488 +/- 0.0017198  Te = 0.8812 +/- 0.0014755
# Transmissions Thickness Correction is:  on
# Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 3
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.00489276	1.70288	0.213255	0.0014888
0.00548741	2.15484	0.177068	0.00148988
0.00554221	1.18522	0.317952	0.00148996
0.00614176	1.15055	0.130775	0.00149496
0.0067871	0.922756	0.115957	0.00150255
0.0074379	0.71599	0.0928132	0.00150766
0.00808662	0.69491	0.0808438	0.00151129
0.00873153	0.661588	0.0772834	0.001514
0.00937656	0.684636	0.0770775	0.00152429
0.0100217	0.463701	0.0698671	0.00153268
0.0106669	0.541992	0.0688331	0.00153912
0.0113226	0.517348	0.0605172	0.0015443
0.0119662	0.481586	0.0576726	0.00155202
0.0126111	0.530968	0.0571098	0.00156365
0.0132561	0.485029	0.0545617	0.001573
0.0139012	0.539816	0.055506	0.00158067
0.0145518	0.522633	0.0512622	0.00158713
0.0152006	0.451744	0.0453046	0.00160023
0.0158454	0.435238	0.0445803	0.00161243
0.0164903	0.518949	0.0446753	0.00162271
0.0171352	0.433022	0.044414	0.00163148
0.0177802	0.403131	0.0434795	0.00164179
0.0184302	0.445363	0.0406983	0.00165689
0.0190793	0.410707	0.036756	0.00166981
0.0197241	0.470829	0.0378423	0.00168095
0.0203689	0.401835	0.036132	0.00169071
0.0210137	0.36862	0.0351452	0.00170599
0.0216586	0.313479	0.0342427	0.00172131
0.0222404	0.364107	0.102709	0.00173353
0.0223181	0.422617	0.0375773	0.00173507
0.0228889	0.441492	0.0813718	0.00174567
0.0229738	0.332493	0.0356947	0.00174715
0.0235388	0.309949	0.0596418	0.00175763
0.0236255	0.349354	0.0365512	0.00176017
0.0241841	0.364228	0.0589289	0.00177551
0.02427	0.31046	0.0352533	0.00177773
0.024835	0.398672	0.0552641	0.00179151
0.0249216	0.338267	0.0371018	0.00179351
0.0254837	0.237464	0.0467565	0.00180575
0.0255692	0.280213	0.0359164	0.00180751
0.0261319	0.346752	0.0478795	0.00181853
0.0262242	0.311666	0.0338001	0.00182025
0.0267809	0.251335	0.0424962	0.00183516
0.0268709	0.336062	0.0354244	0.00183778
0.0274294	0.272593	0.0402071	0.00185319
0.0275178	0.326128	0.0359067	0.00185551
0.028085	0.263763	0.0365696	0.0018696
0.0281687	0.299404	0.0392839	0.00187157
0.0287405	0.281141	0.0319118	0.00188442
0.028825	0.283321	0.046222	0.00188623
0.02939	0.263355	0.0298806	0.00189867
0.0294801	0.290906	0.0462128	0.00190157
0.0300441	0.220824	0.0272308	0.00191879
0.0301421	0.265238	0.0496997	0.00192164
0.0306934	0.216773	0.025619	0.00193689
0.0307962	0.304865	0.0574316	0.0019396
0.031338	0.228751	0.0255715	0.00195325
0.0314398	0.169948	0.0526353	0.0019557
0.0319879	0.232375	0.024449	0.00196834
0.0320945	0.307254	0.0747844	0.00197069
0.0326325	0.232371	0.0253493	0.00198665
0.0327379	0.259184	0.0682185	0.00199
0.0332844	0.236777	0.023799	0.00200662
