#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-11_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 12:01:31.842602
#Finished Fit at 2019-01-15 12:01:31.852320
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 4644
#    # variables        = 0
#    chi-square         = 176013.915
#    reduced chi-square = 37.9013598
#    Akaike info crit   = 16880.8796
#    Bayesian info crit = 16880.8796
#[[Variables]]
#    Ms:     191.2 (fixed)
#    mu:     13680 (fixed)
#    chi:    3.8 (fixed)
#    sigMu:  0 (fixed)
#    T:      300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.6684636719	-235.1988701353	2.7515469865	-223.42005588918437
-8.6591304687	-235.3660538847	2.8028499882	-223.38381355407756
-8.6549421875	-231.8985501159	2.8318365503	-223.3675492377248
-8.6466359375	-230.9230048548	3.1024748955	-223.3352926488383
-8.6436878906	-231.4182432068	3.0627148218	-223.32384384868357
-8.6349027344	-234.9583741851	2.8259474239	-223.2897255187126
-8.6327019531	-233.549718221	2.108795246	-223.28117825573202
-8.6238925781	-233.2890639715	2.9202968981	-223.24696398938593
-8.6224632813	-229.5735203993	3.1859816012	-223.2414126767185
-8.6139351562	-234.030324184	2.2018544893	-223.208289065349
-8.6069695312	-232.6170918391	1.988290533	-223.18123321896252
-8.6039105469	-231.9973116903	2.4226303461	-223.16935122710146
-8.5959816406	-235.4389887594	1.9356639343	-223.13855217608997
-8.5954671875	-233.2301749688	2.8435159135	-223.13655379133758
-8.5849859375	-235.8663784066	2.6038106925	-223.09583841096054
-8.5841941406	-234.4563821866	2.2642026726	-223.09276251506117
-8.5740089844	-231.193246299	2.5007397655	-223.05319510234654
-8.57345625	-233.1888494361	2.4348436285	-223.05104777463765
-8.5637054687	-235.1524073816	2.2763796461	-223.01316579457162
-8.559509375	-232.9693237524	2.6859611127	-222.99686330546265
-8.5532316406	-236.3729851818	2.3713684319	-222.9724726576469
-8.5475378906	-234.7117958736	2.8086243933	-222.9503502627543
-8.540984375	-233.4654234694	2.4937546527	-222.924886547538
-8.5375488281	-231.5249185166	3.1204829762	-222.91153737044834
-8.52755	-232.1230448964	2.172578861	-222.872684528791
-8.5249855469	-232.3668829708	2.67025092	-222.86271940796325
-8.517284375	-233.4599909746	1.9743465648	-222.83279288975774
-8.5144949219	-233.9189745956	2.5733462054	-222.82195286495536
-8.5045457031	-231.8806589154	2.9780638251	-222.78328816874102
-8.5017394531	-232.7778802855	2.3554331237	-222.77238214516518
-8.4922628906	-230.3791606837	3.2884792285	-222.73555187888277
-8.4920628906	-235.2906888027	2.6122324774	-222.73477456749177
-8.4815878906	-234.2307769654	2.8313148374	-222.69406174222777
-8.4800355469	-235.5722221052	2.4567581026	-222.6880281100965
-8.4707875	-231.2695408336	1.9527004914	-222.6520818814763
-8.4697613281	-230.399293744	2.9117427127	-222.64809314628712
-8.4587492188	-233.903797567	3.0197831736	-222.60528766007877
-8.4572820312	-234.1164901494	1.9744994184	-222.59958432440908
-8.4485394531	-236.0075510845	2.3039471173	-222.56559875221868
-8.4465027344	-234.7651422996	2.411777359	-222.55768106079566
-8.4363039063	-229.1444864761	3.4511340318	-222.51803208566352
-8.4320105469	-234.0840995457	2.5019730868	-222.5013405706129
-8.4268179688	-231.5088475565	1.8707641179	-222.48115260365992
-8.4215246094	-233.9144647066	1.9165487801	-222.46057223506963
-8.4128042969	-228.6445821496	3.7220000656	-222.4266667328709
-8.4110289062	-230.4711586575	1.8218930115	-222.41976362986588
-8.4013277344	-229.8390076627	3.268414295	-222.38204220677702
-8.3990882813	-234.1595240065	1.9950040821	-222.37333417768727
-8.3903097656	-235.5519163323	1.9994232855	-222.33919823002566
-8.3873210937	-232.6394182872	3.2275192401	-222.32757617323495
-8.37729375	-233.8236899108	2.3344763092	-222.28858143172914
-8.3768359375	-236.257532664	2.0645643427	-222.2868010209732
-8.3660546875	-232.150588346	2.9350751545	-222.24487197079497
-8.3646132812	-233.628810062	2.284820089	-222.2392660512871
-8.3560671875	-234.8938494793	2.1876322284	-222.20602765990458
-8.3491398438	-232.2018276078	2.3077746346	-222.17908393942056
-8.3438472656	-233.777828882	2.4904468209	-222.1584979026731
-8.3386402344	-233.320311098	2.249562642	-222.13824402244668
-8.3293152344	-231.5178520381	2.8473451941	-222.10197094740687
-8.3261546875	-233.297672222	2.7070445129	-222.08967639224747
-8.3198539062	-233.3856152003	1.7716788238	-222.06516565279725
