#Generated data by combining files:
#ES_S16_300K_4mT_Virgin_tranformed_angs_uu_masked_qz_I_corrected.xy
#ES_S16_300K_4mT_Virgin_tranformed_angs_du_masked_qz_I_corrected.xy
#q/A-1	I/a.u.	sI /a.u.
0.00512180863042	0.997920855712	0.0134135904349
0.00554862531203	0.99657044496	0.0145891236938
0.00597544182463	0.996502404519	0.0166309106461
0.0064022581552	0.968532199847	0.0156530119186
0.00682907429075	0.925329870809	0.0158119060385
0.00725589021827	0.866914194611	0.0177681040431
0.00768270592476	0.749053693846	0.0157735998612
0.00810952139723	0.629028702681	0.0103368388268
0.00853633662267	0.566766348066	0.0147263780126
0.00896315158807	0.583175049584	0.0127075450711
0.00938996628044	0.682348386858	0.0144834590601
0.00981678068678	0.738459583553	0.0158531182725
0.0102435947941	0.677761098519	0.0136518856803
0.0106704085893	0.507214208137	0.00881247649734
0.0110972220596	0.312722771987	0.00577248337201
0.0115240351917	0.163272663376	0.00413757306514
0.0119508479729	0.0798312380722	0.00302459292139
0.01237766039	0.0384907421092	0.00219069950132
0.01280447243	0.0266446503818	0.00221900385422
0.01323128408	0.0364581576946	0.00200173645583
0.013658095327	0.0616701188984	0.00195977201864
0.0140849061579	0.0804458095786	0.0020809404216
0.0145117165598	0.0753351866557	0.00208361741564
0.0149385265196	0.0583478235169	0.00207285240523
0.0153653360243	0.0332093512504	0.00148322252926
0.015792145061	0.0230364982794	0.00111003724265
0.0162189536167	0.0153578681514	0.000703433649452
0.0166457616782	0.0144532872581	0.000657610558004
0.0170725692328	0.0159370722583	0.000703748965897
0.0174993762672	0.0204569873607	0.000752740618758
0.0179261827686	0.0360626562866	0.0013329340412
0.018352988724	0.0492202423101	0.00101992177518
0.0187797941202	0.0570919626482	0.00171754287444
0.0192065989445	0.0532017151996	0.00168048965271
0.0196334031836	0.0377253275911	0.00131614608588
0.0200602068247	0.0196575359982	0.000729386171258
0.0204870098547	0.0095395380659	0.000432123400196
0.0209138122606	0.00448357640424	0.000267196670369
0.0213406140295	0.00217399996232	0.00015201325919
0.0217674151483	0.00134629078463	0.000112886904202
0.022194215604	0.00179125128634	9.74660226395e-05
0.0226210153836	0.0021477956242	0.000139171789048
0.0230478144742	0.00382107704469	0.000182656494384
0.0234746128627	0.00697965683389	0.000304595907599
0.0239014105361	0.00872956007086	0.000330121873626
0.0243282074815	0.00939955604822	0.000343167944099
0.0247550036857	0.00804823770376	0.0002802461278
0.0251817991359	0.00609734839538	0.000228815379119
0.025608593819	0.00415546387552	0.000181119860489
0.026035387722	0.00358811092741	0.000163012769368
0.0264621808319	0.00311807411944	0.000147621720945
0.0268889731358	0.00294548016199	0.000145705319536
0.0273157646205	0.00278955948139	0.000127258201527
0.0277425552732	0.00345278731675	0.000154243436117
0.0281693450808	0.00435162205311	0.000186028460047
0.0285961340303	0.00489605059572	0.000190797771032
0.0290229221087	0.00581968438433	0.000231618742781
0.0294497093031	0.00584032212815	0.000224248886112
0.0298764956003	0.00469511890327	0.000172539614438
0.0303032809874	0.00339582753994	0.000135250676031
0.0307300654515	0.002230144137	0.000105295021999
0.0311568489795	0.00161030332949	8.56184358867e-05
0.0315836315583	0.000963151516649	6.56830616283e-05
0.0320104131751	0.000768622265855	5.25934632316e-05
0.0324371938168	0.00084399706867	4.14162753066e-05
0.0328639734704	0.000985581141347	6.53034659472e-05
0.0332907521229	0.00116405596952	7.57285324025e-05
0.0337175297613	0.00144344147103	7.51266238006e-05
0.0341443063726	0.00191904551786	9.07619422591e-05
0.0345710819438	0.00265198252474	0.000127560989362
0.0349978564619	0.00311283924358	0.000138663487868
0.0354246299139	0.00281652849333	0.000102175378418
0.0358514022869	0.00258574067097	9.73452395448e-05
0.0362781735677	0.00229255760355	9.59660188795e-05
0.0367049437434	0.00188330195011	8.52652359937e-05
0.0371317128011	0.00154662742015	6.71480266593e-05
0.0375584807276	0.00134231864565	6.71573768939e-05
0.0379852475101	0.00130558052967	7.00162100663e-05
0.0384120131354	0.00121010851926	6.6234826708e-05
0.0388387775907	0.000955899223887	5.18775612268e-05
0.0392655408628	0.00101994337444	5.51342902955e-05
0.0396923029389	0.00111137590898	5.77960071288e-05
0.0401190638058	0.00114293515499	5.89593264243e-05
0.0405458234507	0.00109226425694	5.93830696957e-05
0.0409725818605	0.000885409306474	4.82830161839e-05
0.0413993390221	0.000707568551672	4.09125115711e-05
