#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd147_stabledry_2-Hys-00.VHD
#Save data to file: dd147_stabledry_2.xye
#Extraction performed at: Fri Oct 14 13:35:57 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14997.0	1.0
#15246.0	1.000145
#15496.0	1.000446
#15746.0	1.000592
#15995.0	1.000892
#16246.0	1.001261
#16495.0	1.001631
#16745.0	1.002
#16995.0	1.002448
#17245.0	1.002965
#17495.0	1.003491
#17745.0	1.004009
#17994.0	1.004605
#18244.0	1.005202
#18494.0	1.006025
#18744.0	1.006702
#18994.0	1.007597

#Substracted file: dd147_stabledry_2.xye
#Using Slope: -1.301
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
-0.7001	-9.0654921	0.005	-8.154662	0.005	-8.154662	0.005
-0.65	-9.020456	0.005	-8.174806	0.005	-8.174806	0.005
-0.6	-8.976439	0.005	-8.195839	0.005	-8.195839	0.005
-0.55	-8.925185	0.005	-8.209635	0.005	-8.209635	0.005
-0.5	-8.873322	0.005	-8.222822	0.005	-8.222822	0.005
-0.45	-8.806176	0.005	-8.220726	0.005	-8.220726	0.005
-0.4	-8.741196	0.005	-8.220796	0.005	-8.220796	0.005
-0.35	-8.655042	0.005	-8.199692	0.005	-8.199692	0.005
-0.3	-8.551755	0.005	-8.161455	0.005	-8.161455	0.005
-0.25	-8.42022	0.005	-8.09497	0.005	-8.09497	0.005
-0.2	-8.231533	0.005	-7.971333	0.005	-7.971333	0.005
-0.15	-7.939178	0.005	-7.744028	0.005	-7.744028	0.005
-0.1	-7.408194	0.005	-7.278094	0.005	-7.278094	0.005
-0.0975	-7.3676755	0.005	-7.240828	0.005	-7.240828	0.005
-0.0949	-7.3268639	0.005	-7.203399	0.005	-7.203399	0.005
-0.0925	-7.2839575	0.005	-7.163615	0.005	-7.163615	0.005
-0.09	-7.241754	0.005	-7.124664	0.005	-7.124664	0.005
-0.0875	-7.1967965	0.005	-7.082959	0.005	-7.082959	0.005
-0.0849	-7.1496259	0.005	-7.039171	0.005	-7.039171	0.005
-0.0824	-7.0991414	0.005	-6.991939	0.005	-6.991939	0.005
-0.0799	-7.0468769	0.005	-6.942927	0.005	-6.942927	0.005
-0.0774	-6.9917674	0.005	-6.89107	0.005	-6.89107	0.005
-0.0749	-6.9379219	0.005	-6.840477	0.005	-6.840477	0.005
-0.0724	-6.8778574	0.005	-6.783665	0.005	-6.783665	0.005
-0.07	-6.817408	0.005	-6.726338	0.005	-6.726338	0.005
-0.0675	-6.7515115	0.005	-6.663694	0.005	-6.663694	0.005
-0.0649	-6.6832019	0.005	-6.598767	0.005	-6.598767	0.005
-0.0624	-6.6123284	0.005	-6.531146	0.005	-6.531146	0.005
-0.0599	-6.5352589	0.005	-6.457329	0.005	-6.457329	0.005
-0.0574	-6.4541844	0.005	-6.379507	0.005	-6.379507	0.005
-0.0549	-6.3693509	0.005	-6.297926	0.005	-6.297926	0.005
-0.0524	-6.2803134	0.005	-6.212141	0.005	-6.212141	0.005
-0.0499	-6.1858059	0.005	-6.120886	0.005	-6.120886	0.005
-0.0474	-6.0872474	0.005	-6.02558	0.005	-6.02558	0.005
-0.0449	-5.9780769	0.005	-5.919662	0.005	-5.919662	0.005
-0.0424	-5.8658354	0.005	-5.810673	0.005	-5.810673	0.005
-0.0399	-5.7396399	0.005	-5.68773	0.005	-5.68773	0.005
-0.0374	-5.6088194	0.005	-5.560162	0.005	-5.560162	0.005
-0.0349	-5.4656959	0.005	-5.420291	0.005	-5.420291	0.005
-0.0324	-5.3118384	0.005	-5.269686	0.005	-5.269686	0.005
-0.0299	-5.1459429	0.005	-5.107043	0.005	-5.107043	0.005
-0.0274	-4.9594514	0.005	-4.923804	0.005	-4.923804	0.005
-0.0249	-4.7600479	0.005	-4.727653	0.005	-4.727653	0.005
-0.0224	-4.5368224	0.005	-4.50768	0.005	-4.50768	0.005
-0.0199	-4.2889899	0.005	-4.2631	0.005	-4.2631	0.005
