#Superball Data generated at 2018-12-22 10:47:57.585834
#[[Parameters]]
#particleSize	51.2811596
#dShell	33.9719453
#dSurfactant	15.7276837
#pVal	4.23071623
#sldCore_saxs	5.1451070536055545e-05
#sldShell_saxs	4.1238386067031683e-05
#sldSurfactant_saxs	8.52e-06
#sldSolvent_saxs	8.01e-06
#sigParticleSize	0.06135415
#sigD	0.18103609
#i0_saxs	0.02987349
#bg_saxs	0
#orderHermite	5
#orderLegendre	10
#i0Oleic	0.6977241
#rOleic	21
#x	0.81987729
#sldCore_sans	6.174476861786602e-06
#sldShell_sans	6.1052373864411105e-06
#sldSurfactant_sans	7.8e-08
#sldSolvent_sans	5.664e-06
#i0_sans	0.1312476
#bg_sans	0.01351404
#
#[[Data]] saxs
#r	sld
0.0	5.1451070536055545e-05
17.3092143	5.1451070536055545e-05
17.3092143	4.1238386067031683e-05
51.2811596	4.1238386067031683e-05
51.2811596	8.52e-06
67.0088433	8.52e-06
67.0088433	8.01e-06
167.0088433	8.01e-06
167.0088433	8.01e-06
67.0088433	8.01e-06
67.0088433	8.52e-06
51.2811596	8.52e-06
51.2811596	4.1238386067031683e-05
17.3092143	4.1238386067031683e-05
17.3092143	5.1451070536055545e-05
0.0	5.1451070536055545e-05
0.0	8.52e-06
21.0	8.52e-06
21.0	8.01e-06
121.0	8.01e-06
#
#[[Data]] sans_sa
#r	sld
0.0	6.174476861786602e-06
17.3092143	6.174476861786602e-06
17.3092143	6.1052373864411105e-06
51.2811596	6.1052373864411105e-06
51.2811596	7.8e-08
67.0088433	7.8e-08
67.0088433	5.664e-06
167.0088433	5.664e-06
167.0088433	5.664e-06
67.0088433	5.664e-06
67.0088433	7.8e-08
51.2811596	7.8e-08
51.2811596	6.1052373864411105e-06
17.3092143	6.1052373864411105e-06
17.3092143	6.174476861786602e-06
0.0	6.174476861786602e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
#
#[[Data]] sans_la
#r	sld
0.0	6.174476861786602e-06
17.3092143	6.174476861786602e-06
17.3092143	6.1052373864411105e-06
51.2811596	6.1052373864411105e-06
51.2811596	7.8e-08
67.0088433	7.8e-08
67.0088433	5.664e-06
167.0088433	5.664e-06
167.0088433	5.664e-06
67.0088433	5.664e-06
67.0088433	7.8e-08
51.2811596	7.8e-08
51.2811596	6.1052373864411105e-06
17.3092143	6.1052373864411105e-06
17.3092143	6.174476861786602e-06
0.0	6.174476861786602e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
