#Superball Data generated at 2018-12-10 10:02:17.264548
#[[Parameters]]
#particleSize	52.9878499
#dShell	24.1304716
#dSurfactant	14.918451
#pVal	3.66514859
#sldCore_saxs	5.148149582574356e-05
#sldShell_saxs	4.128061600541859e-05
#sldSurfactant_saxs	8.52e-06
#sldSolvent_saxs	8.01e-06
#sigParticleSize	0.04937659
#sigD	0.25
#i0_saxs	0.0253428
#bg_saxs	0
#orderHermite	5
#orderLegendre	10
#i0Oleic	0.83961716
#rOleic	21
#x	1
#sldCore_sans	6.05422227541197e-06
#sldShell_sans	5.938325458061192e-06
#sldSurfactant_sans	7.8e-08
#sldSolvent_sans	5.664e-06
#i0_sans	0.13487697
#bg_sans	0.01325155
#
#[[Data]] saxs
#r	sld
0.0	5.148149582574356e-05
28.8573783	5.148149582574356e-05
28.8573783	4.128061600541859e-05
52.9878499	4.128061600541859e-05
52.9878499	8.52e-06
67.9063009	8.52e-06
67.9063009	8.01e-06
167.90630090000002	8.01e-06
167.90630090000002	8.01e-06
67.9063009	8.01e-06
67.9063009	8.52e-06
52.9878499	8.52e-06
52.9878499	4.128061600541859e-05
28.8573783	4.128061600541859e-05
28.8573783	5.148149582574356e-05
0.0	5.148149582574356e-05
0.0	8.52e-06
21.0	8.52e-06
21.0	8.01e-06
121.0	8.01e-06
#
#[[Data]] sans_sa
#r	sld
0.0	6.05422227541197e-06
28.8573783	6.05422227541197e-06
28.8573783	5.938325458061192e-06
52.9878499	5.938325458061192e-06
52.9878499	7.8e-08
67.9063009	7.8e-08
67.9063009	5.664e-06
167.90630090000002	5.664e-06
167.90630090000002	5.664e-06
67.9063009	5.664e-06
67.9063009	7.8e-08
52.9878499	7.8e-08
52.9878499	5.938325458061192e-06
28.8573783	5.938325458061192e-06
28.8573783	6.05422227541197e-06
0.0	6.05422227541197e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
#
#[[Data]] sans_la
#r	sld
0.0	6.05422227541197e-06
28.8573783	6.05422227541197e-06
28.8573783	5.938325458061192e-06
52.9878499	5.938325458061192e-06
52.9878499	7.8e-08
67.9063009	7.8e-08
67.9063009	5.664e-06
167.90630090000002	5.664e-06
167.90630090000002	5.664e-06
67.9063009	5.664e-06
67.9063009	7.8e-08
52.9878499	7.8e-08
52.9878499	5.938325458061192e-06
28.8573783	5.938325458061192e-06
28.8573783	6.05422227541197e-06
0.0	6.05422227541197e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
