#Superball Data generated at 2018-12-09 14:18:09.771595
#[[Parameters]]
#particleSize	52.491342
#dShell	24.6237064
#dSurfactant	14.9310321
#pVal	5.17098293
#sldCore_saxs	5.1506444695472325e-05
#sldShell_saxs	4.128061600541859e-05
#sldSurfactant_saxs	8.52e-06
#sldSolvent_saxs	8.01e-06
#sigParticleSize	0.04294987
#i0_saxs	0.02594517
#bg_saxs	0
#orderHermite	10
#orderLegendre	10
#i0Oleic	0.95905052
#rOleic	21
#x	1
#sldCore_sans	5.955612992131101e-06
#sldShell_sans	5.938325458061192e-06
#sldSurfactant_sans	7.8e-08
#sldSolvent_sans	5.664e-06
#i0_sans	0.13075052
#bg_sans	0.01315095
#
#[[Data]] saxs
#r	sld
0.0	5.1506444695472325e-05
27.867635600000003	5.1506444695472325e-05
27.867635600000003	4.128061600541859e-05
52.491342	4.128061600541859e-05
52.491342	8.52e-06
67.4223741	8.52e-06
67.4223741	8.01e-06
167.4223741	8.01e-06
167.4223741	8.01e-06
67.4223741	8.01e-06
67.4223741	8.52e-06
52.491342	8.52e-06
52.491342	4.128061600541859e-05
27.867635600000003	4.128061600541859e-05
27.867635600000003	5.1506444695472325e-05
0.0	5.1506444695472325e-05
0.0	8.52e-06
21.0	8.52e-06
21.0	8.01e-06
121.0	8.01e-06
#
#[[Data]] sans_sa
#r	sld
0.0	5.955612992131101e-06
27.867635600000003	5.955612992131101e-06
27.867635600000003	5.938325458061192e-06
52.491342	5.938325458061192e-06
52.491342	7.8e-08
67.4223741	7.8e-08
67.4223741	5.664e-06
167.4223741	5.664e-06
167.4223741	5.664e-06
67.4223741	5.664e-06
67.4223741	7.8e-08
52.491342	7.8e-08
52.491342	5.938325458061192e-06
27.867635600000003	5.938325458061192e-06
27.867635600000003	5.955612992131101e-06
0.0	5.955612992131101e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
#
#[[Data]] sans_la
#r	sld
0.0	5.955612992131101e-06
27.867635600000003	5.955612992131101e-06
27.867635600000003	5.938325458061192e-06
52.491342	5.938325458061192e-06
52.491342	7.8e-08
67.4223741	7.8e-08
67.4223741	5.664e-06
167.4223741	5.664e-06
167.4223741	5.664e-06
67.4223741	5.664e-06
67.4223741	7.8e-08
52.491342	7.8e-08
52.491342	5.938325458061192e-06
27.867635600000003	5.938325458061192e-06
27.867635600000003	5.955612992131101e-06
0.0	5.955612992131101e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
