#File generated by ModelExp v0.6.0
#Generated at 2018-12-13 18:51:34.981811
#Fit range: 0.05 .. 1

#[[Data]] 0
#r / nm	SLD / 1e-6 A-2
0.0	52.07
0.0	52.07
0.0	38.559999999999995
3.5237194651185746	38.559999999999995
3.5237194651185746	8.52
4.918719465118575	8.52
4.918719465118575	7.55
14.918719465118574	7.55
14.918719465118574	7.55
4.918719465118575	7.55
4.918719465118575	8.52
3.5237194651185746	8.52
3.5237194651185746	38.559999999999995
0.0	38.559999999999995
0.0	52.07
0.0	52.07
0.0	52.07
0.0	52.07
0.0	38.559999999999995
1.0	38.559999999999995
1.0	8.52
2.3950000000000005	8.52
2.3950000000000005	7.55
12.395	7.55
