#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: DD67-Hys-00.VHD
#Save data to file: DD67.xye
#Extraction performed at: Fri Nov 18 16:38:45 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14999.0	1.0
#15247.0	1.000145
#15498.0	1.000209
#15748.0	1.000417
#15998.0	1.000699
#16248.0	1.001107
#16497.0	1.001462
#16747.0	1.001735
#16997.0	1.002153
#17247.0	1.002709
#17497.0	1.003192
#17747.0	1.003685
#17996.0	1.004307
#18246.0	1.004801
#18495.0	1.005497
#18746.0	1.006341
#18995.0	1.007251

#Substracted file: DD67.xye
#Using Slope: -1.4515
#Rescaled file: DD67_BGLinSub.xy
#Rescale Factor: 0.12335
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kA\,m^{-1}	sM_scaled / kA\,m^{-1}	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
0.7499	46.9265411431	0.0405350628293	5.78838885	0.005	4.699909	0.005
0.7999	48.5588475882	0.0405350628293	5.98973385	0.005	4.828679	0.005
0.8498	49.7581897041	0.0405350628293	6.1376727	0.005	4.904188	0.005
0.8998	51.0321418727	0.0405350628293	6.2948147	0.005	4.988755	0.005
0.9499	52.4201122821	0.0405350628293	6.46602085	0.005	5.087241	0.005
0.9999	53.6745670855	0.0405350628293	6.62075785	0.005	5.169403	0.005
1.0998	55.8725634374	0.0405350628293	6.8918807	0.005	5.295521	0.005
1.1998	58.3579464937	0.0405350628293	7.1984527	0.005	5.456943	0.005
1.2997	60.6919298743	0.0405350628293	7.48634955	0.005	5.599835	0.005
1.3998	62.7102691528	0.0405350628293	7.7353117	0.005	5.703502	0.005
1.4998	64.6844483178	0.0405350628293	7.9788267	0.005	5.801867	0.005
1.5998	66.5257611137	0.0405350628293	8.20595263337	0.005	5.879733	0.005
1.6997	68.0949863925	0.0405350628293	8.39951657152	0.005	5.919657	0.005
1.7997	70.1933702387	0.0405350628293	8.65835221894	0.005	6.020147	0.005
1.8996	72.0417954922	0.0405350628293	8.88635547396	0.005	6.084964	0.005
1.8001	70.2828548572	0.0405350628293	8.66939014664	0.005	6.030512	0.005
1.7	68.7427619505	0.0405350628293	8.4794196866	0.005	5.998914	0.005
1.6001	66.5045456282	0.0405350628293	8.20333570324	0.005	5.876654	0.005
1.5	64.4591761313	0.0405350628293	7.9510393758	0.005	5.773786	0.005
1.4001	62.8330048642	0.0405350628293	7.75045115	0.005	5.718206	0.005
1.3	60.7040778273	0.0405350628293	7.487848	0.005	5.600898	0.005
1.2	58.6948925821	0.0405350628293	7.240015	0.005	5.498215	0.005
1.1	56.386453182	0.0405350628293	6.955269	0.005	5.358619	0.005
1.0	54.1475881638	0.0405350628293	6.679105	0.005	5.227605	0.005
0.95	52.2369922983	0.0405350628293	6.443433	0.005	5.064508	0.005
0.9	51.4692744224	0.0405350628293	6.348735	0.005	5.042385	0.005
0.85	49.8558329955	0.0405350628293	6.149717	0.005	4.915942	0.005
0.8	48.5203080665	0.0405350628293	5.98498	0.005	4.82378	0.005
0.75	47.0405269558	0.0405350628293	5.802449	0.005	4.713824	0.005
0.7	45.5289987839	0.0405350628293	5.616002	0.005	4.599952	0.005
0.65	43.7937819214	0.0405350628293	5.401963	0.005	4.458488	0.005
0.6	41.9645723551	0.0405350628293	5.17633	0.005	4.30543	0.005
0.55	40.4715768139	0.0405350628293	4.992169	0.005	4.193844	0.005
0.5	38.4028212404	0.0405350628293	4.736988	0.005	4.011238	0.005
0.45	36.4260478314	0.0405350628293	4.493153	0.005	3.839978	0.005
0.4	34.2811917308	0.0405350628293	4.228585	0.005	3.647985	0.005
0.35	31.8689582489	0.0405350628293	3.931036	0.005	3.423011	0.005
0.3	29.1508958249	0.0405350628293	3.595763	0.005	3.160313	0.005
0.25	26.224499392	0.0405350628293	3.234792	0.005	2.871917	0.005
0.2001	22.736750304	0.0405350628293	2.80457815	0.005	2.514133	0.005
0.15	18.6351601135	0.0405350628293	2.298647	0.005	2.080922	0.005
0.1	13.6591811917	0.0405350628293	1.68486	0.005	1.53971	0.005
0.0974	13.3844029185	0.0405350628293	1.6509661	0.005	1.50959	0.005
0.0949	13.1524714228	0.0405350628293	1.62235735	0.005	1.48461	0.005
0.0924	12.815983786	0.0405350628293	1.5808516	0.005	1.446733	0.005
0.0899	12.4728889339	0.0405350628293	1.53853085	0.005	1.408041	0.005
0.0874	12.2508885286	0.0405350628293	1.5111471	0.005	1.384286	0.005
0.0849	11.9680044589	0.0405350628293	1.47625335	0.005	1.353021	0.005
0.0824	11.7162432104	0.0405350628293	1.4451986	0.005	1.325595	0.005
0.0799	11.3096055938	0.0405350628293	1.39503985	0.005	1.279065	0.005
0.0774	11.0399602756	0.0405350628293	1.3617791	0.005	1.249433	0.005
0.0749	10.7114175111	0.0405350628293	1.32125335	0.005	1.212536	0.005
0.0724	10.4662877989	0.0405350628293	1.2910166	0.005	1.185928	0.005
0.0699	10.0708865018	0.0405350628293	1.24224385	0.005	1.140784	0.005
0.0674	9.78535954601	0.0405350628293	1.2070241	0.005	1.109193	0.005
0.0649	9.4846157276	0.0405350628293	1.16992735	0.005	1.075725	0.005
0.0624	9.13753222537	0.0405350628293	1.1271146	0.005	1.036541	0.005
0.0599	8.82290109445	0.0405350628293	1.08830485	0.005	1.00136	0.005
0.0574	8.48112119984	0.0405350628293	1.0461463	0.005	0.9628302	0.005
0.0549	8.13935184435	0.0405350628293	1.00398905	0.005	0.9243017	0.005
0.0524	7.83728577219	0.0405350628293	0.9667292	0.005	0.8906706	0.005
0.0499	7.46241224159	0.0405350628293	0.92048855	0.005	0.8480587	0.005
0.0474	7.12591892987	0.0405350628293	0.8789821	0.005	0.810181	0.005
0.0449	6.80002229428	0.0405350628293	0.83878275	0.005	0.7736104	0.005
0.0424	6.44898013782	0.0405350628293	0.7954817	0.005	0.7339381	0.005
0.0399	6.08006688285	0.0405350628293	0.74997625	0.005	0.6920614	0.005
0.0374	5.6932914471	0.0405350628293	0.7022675	0.005	0.6479814	0.005
0.0349	5.37070733685	0.0405350628293	0.66247675	0.005	0.6118194	0.005
0.0324	5.0070968788	0.0405350628293	0.6176254	0.005	0.5705968	0.005
0.0299	4.66068301581	0.0405350628293	0.57489525	0.005	0.5314954	0.005
0.0274	4.28581759222	0.0405350628293	0.5286556	0.005	0.4888845	0.005
0.0249	3.91095379003	0.0405350628293	0.48241615	0.005	0.4462738	0.005
0.0224	3.55262180786	0.0405350628293	0.4382159	0.005	0.4057023	0.005
0.0199	3.17113862991	0.0405350628293	0.39115995	0.005	0.3622751	0.005
0.0174	2.79693554925	0.0405350628293	0.345002	0.005	0.3197459	0.005
0.0149	2.39957073368	0.0405350628293	0.29598705	0.005	0.2743597	0.005
0.0124	2.02867693555	0.0405350628293	0.2502373	0.005	0.2322387	0.005
0.0099	1.66174584516	0.0405350628293	0.20497635	0.005	0.1906065	0.005
0.0074	1.27364572355	0.0405350628293	0.1571042	0.005	0.1463631	0.005
0.0049	0.889512363194	0.0405350628293	0.10972135	0.005	0.102609	0.005
0.0039	0.722231293069	0.0405350628293	0.08908723	0.005	0.08342638	0.005
0.0029	0.560901256587	0.0405350628293	0.06918717	0.005	0.06497782	0.005
0.002	0.41927758411	0.0405350628293	0.05171789	0.005	0.04881489	0.005
0.0009	0.244198621808	0.0405350628293	0.0301219	0.005	0.02881555	0.005
0.0	0.09198710985	0.0405350628293	0.01134661	0.005	0.01134661	0.005
-0.0008	-0.10007742197	-0.0405350628293	-0.01234455	0.005	-0.01118335	0.005
-0.0019	-0.266554438589	-0.0405350628293	-0.03287949	0.005	-0.03012164	0.005
-0.0028	-0.419426591001	-0.0405350628293	-0.05173627	0.005	-0.04767207	0.005
-0.0039	-0.585241264694	-0.0405350628293	-0.07218951	0.005	-0.06652866	0.005
-0.0048	-0.730834941224	-0.0405350628293	-0.09014849	0.005	-0.08318129	0.005
-0.0073	-1.14739400081	-0.0405350628293	-0.14153105	0.005	-0.1309351	0.005
-0.0098	-1.51630320227	-0.0405350628293	-0.187036	0.005	-0.1728113	0.005
-0.0123	-1.91896838265	-0.0405350628293	-0.23670475	0.005	-0.2188513	0.005
-0.0149	-2.29567126064	-0.0405350628293	-0.28317105	0.005	-0.2615437	0.005
-0.0173	-2.67134454803	-0.0405350628293	-0.32951035	0.005	-0.3043994	0.005
-0.0199	-3.06128455614	-0.0405350628293	-0.37760945	0.005	-0.3487246	0.005
-0.0223	-3.45085488448	-0.0405350628293	-0.42566295	0.005	-0.3932945	0.005
-0.0249	-3.81102675314	-0.0405350628293	-0.47009015	0.005	-0.4339478	0.005
-0.0274	-4.19250993109	-0.0405350628293	-0.5171461	0.005	-0.477375	0.005
-0.0299	-4.58524077827	-0.0405350628293	-0.56558945	0.005	-0.5221896	0.005
-0.0323	-4.95959019051	-0.0405350628293	-0.61176545	0.005	-0.564882	0.005
-0.0349	-5.32305431698	-0.0405350628293	-0.65659875	0.005	-0.6059414	0.005
-0.0373	-5.65043007702	-0.0405350628293	-0.69698055	0.005	-0.6428396	0.005
-0.0399	-6.02513944062	-0.0405350628293	-0.74320095	0.005	-0.6852861	0.005
-0.0424	-6.3794852047	-0.0405350628293	-0.7869095	0.005	-0.7253659	0.005
-0.0449	-6.72986177544	-0.0405350628293	-0.83012845	0.005	-0.7649561	0.005
-0.0474	-7.05575841103	-0.0405350628293	-0.8703278	0.005	-0.8015267	0.005
-0.0499	-7.44852979327	-0.0405350628293	-0.91877615	0.005	-0.8463463	0.005
-0.0524	-7.76184920957	-0.0405350628293	-0.9574241	0.005	-0.8813655	0.005
-0.0549	-8.12611714633	-0.0405350628293	-1.00235655	0.005	-0.9226692	0.005
-0.0573	-8.42502594244	-0.0405350628293	-1.03922695	0.005	-0.956056	0.005
-0.0599	-8.7163579246	-0.0405350628293	-1.07516275	0.005	-0.9882179	0.005
-0.0624	-9.13223834617	-0.0405350628293	-1.1264616	0.005	-1.035888	0.005
-0.0649	-9.40386988245	-0.0405350628293	-1.15996735	0.005	-1.065765	0.005
-0.0674	-9.71587434131	-0.0405350628293	-1.1984531	0.005	-1.100622	0.005
-0.0699	-10.0417580057	-0.0405350628293	-1.23865085	0.005	-1.137191	0.005
-0.0724	-10.3544272396	-0.0405350628293	-1.2772186	0.005	-1.17213	0.005
-0.0749	-10.7147251723	-0.0405350628293	-1.32166135	0.005	-1.212944	0.005
-0.0774	-10.9910020268	-0.0405350628293	-1.3557401	0.005	-1.243394	0.005
-0.0799	-11.312913255	-0.0405350628293	-1.39544785	0.005	-1.279473	0.005
-0.0824	-11.5402075395	-0.0405350628293	-1.4234846	0.005	-1.303881	0.005
-0.0849	-11.8886043778	-0.0405350628293	-1.46645935	0.005	-1.343227	0.005
-0.0874	-12.1953149574	-0.0405350628293	-1.5042921	0.005	-1.377431	0.005
-0.0899	-12.4378179976	-0.0405350628293	-1.53420485	0.005	-1.403715	0.005
-0.0924	-12.6909250101	-0.0405350628293	-1.5654256	0.005	-1.431307	0.005
