#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: DD67-Hys-00.VHD
#Save data to file: DD67.xye
#Extraction performed at: Fri Nov 18 16:38:45 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14999.0	1.0
#15247.0	1.000145
#15498.0	1.000209
#15748.0	1.000417
#15998.0	1.000699
#16248.0	1.001107
#16497.0	1.001462
#16747.0	1.001735
#16997.0	1.002153
#17247.0	1.002709
#17497.0	1.003192
#17747.0	1.003685
#17996.0	1.004307
#18246.0	1.004801
#18495.0	1.005497
#18746.0	1.006341
#18995.0	1.007251

#Substracted file: DD67.xye
#Using Slope: -1.4515
#Rescaled file: DD67_BGLinSub.xy
#Rescale Factor: 0.12335
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kA\,m^{-1}	sM_scaled / kA\,m^{-1}	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.0624	-9.23946169437	-0.0405350628293	-1.1396876	0.005	-1.049114	0.005
-0.0599	-8.81892055128	-0.0405350628293	-1.08781385	0.005	-1.000869	0.005
-0.0574	-8.54266558573	-0.0405350628293	-1.0537378	0.005	-0.9704217	0.005
-0.0549	-8.18301621403	-0.0405350628293	-1.00937505	0.005	-0.9296877	0.005
-0.0524	-7.85513903527	-0.0405350628293	-0.9689314	0.005	-0.8928728	0.005
-0.0499	-7.5067438184	-0.0405350628293	-0.92595685	0.005	-0.853527	0.005
-0.0474	-7.14907498987	-0.0405350628293	-0.8818384	0.005	-0.8130373	0.005
-0.0449	-6.84634252128	-0.0405350628293	-0.84449635	0.005	-0.779324	0.005
-0.0424	-6.46155735711	-0.0405350628293	-0.7970331	0.005	-0.7354895	0.005
-0.0399	-6.10123267126	-0.0405350628293	-0.75258705	0.005	-0.6946722	0.005
-0.0374	-5.74953303608	-0.0405350628293	-0.7092049	0.005	-0.6549188	0.005
-0.0349	-5.41900891771	-0.0405350628293	-0.66843475	0.005	-0.6177774	0.005
-0.0324	-5.04613376571	-0.0405350628293	-0.6224406	0.005	-0.575412	0.005
-0.0299	-4.69708107013	-0.0405350628293	-0.57938495	0.005	-0.5359851	0.005
-0.0274	-4.30699635184	-0.0405350628293	-0.531268	0.005	-0.4914969	0.005
-0.0249	-3.94536724767	-0.0405350628293	-0.48666105	0.005	-0.4505187	0.005
-0.0224	-3.56982732063	-0.0405350628293	-0.4403382	0.005	-0.4078246	0.005
-0.0199	-3.17908107013	-0.0405350628293	-0.39213965	0.005	-0.3632548	0.005
-0.0174	-2.82936278881	-0.0405350628293	-0.3490019	0.005	-0.3237458	0.005
-0.0149	-2.4359695987	-0.0405350628293	-0.30047685	0.005	-0.2788495	0.005
-0.0124	-2.05647101743	-0.0405350628293	-0.2536657	0.005	-0.2356671	0.005
-0.0099	-1.67961532225	-0.0405350628293	-0.20718055	0.005	-0.1928107	0.005
-0.0074	-1.29416214025	-0.0405350628293	-0.1596349	0.005	-0.1488938	0.005
-0.0049	-0.892822456425	-0.0405350628293	-0.11012965	0.005	-0.1030173	0.005
-0.004	-0.76046453182	-0.0405350628293	-0.0938033	0.005	-0.0879973	0.005
-0.003	-0.591194649372	-0.0405350628293	-0.07292386	0.005	-0.06856936	0.005
-0.002	-0.426556951763	-0.0405350628293	-0.0526158	0.005	-0.0497128	0.005
-0.001	-0.277140575598	-0.0405350628293	-0.03418529	0.005	-0.03273379	0.005
0.0	-0.117134900689	-0.0405350628293	-0.01444859	0.005	-0.01444859	0.005
0.0009	0.0628711633563	0.0405350628293	0.007755158	0.005	0.006448808	0.005
0.0019	0.235450587758	0.0405350628293	0.02904283	0.005	0.02628498	0.005
0.0029	0.39810304013	0.0405350628293	0.04910601	0.005	0.04489666	0.005
0.0039	0.574653749493	0.0405350628293	0.07088354	0.005	0.06522269	0.005
0.0049	0.72208406972	0.0405350628293	0.08906907	0.005	0.08195672	0.005
0.0074	1.12342440211	0.0405350628293	0.1385744	0.005	0.1278333	0.005
0.0099	1.52211147142	0.0405350628293	0.18775245	0.005	0.1733826	0.005
0.0124	1.90624888529	0.0405350628293	0.2351358	0.005	0.2171372	0.005
0.0149	2.31022983381	0.0405350628293	0.28496685	0.005	0.2633395	0.005
0.0174	2.67450668829	0.0405350628293	0.3299004	0.005	0.3046443	0.005
0.0199	3.05664977706	0.0405350628293	0.37703775	0.005	0.3481529	0.005
0.0224	3.46394325091	0.0405350628293	0.4272774	0.005	0.3947638	0.005
0.0249	3.83220308066	0.0405350628293	0.47270225	0.005	0.4365599	0.005
0.0274	4.21765545197	0.0405350628293	0.5202478	0.005	0.4804767	0.005
0.0299	4.57729995946	0.0405350628293	0.56460995	0.005	0.5212101	0.005
0.0324	4.97533360357	0.0405350628293	0.6137074	0.005	0.5666788	0.005
0.0349	5.32637657073	0.0405350628293	0.65700855	0.005	0.6063512	0.005
0.0374	5.68270368869	0.0405350628293	0.7009615	0.005	0.6466754	0.005
0.0399	6.02579610863	0.0405350628293	0.74328195	0.005	0.6853671	0.005
0.0424	6.38145764086	0.0405350628293	0.7871528	0.005	0.7256092	0.005
0.0449	6.77024037292	0.0405350628293	0.83510915	0.005	0.7699368	0.005
0.0474	7.12988974463	0.0405350628293	0.8794719	0.005	0.8106708	0.005
0.0499	7.4313250912	0.0405350628293	0.91665395	0.005	0.8442241	0.005
0.0524	7.74463558979	0.0405350628293	0.9553008	0.005	0.8792422	0.005
0.0549	8.13935184435	0.0405350628293	1.00398905	0.005	0.9243017	0.005
0.0574	8.46987596271	0.0405350628293	1.0447592	0.005	0.9614431	0.005
0.0599	8.76730563437	0.0405350628293	1.08144715	0.005	0.9945023	0.005
0.0624	9.0581321443	0.0405350628293	1.1173206	0.005	1.026747	0.005
0.0648	9.44239319011	0.0405350628293	1.1647192	0.005	1.070662	0.005
0.0673	9.73520024321	0.0405350628293	1.20083695	0.005	1.103151	0.005
0.0698	9.97507661127	0.0405350628293	1.2304257	0.005	1.129111	0.005
0.0724	10.3901548439	0.0405350628293	1.2816256	0.005	1.176537	0.005
0.0749	10.6651021484	0.0405350628293	1.31554035	0.005	1.206823	0.005
0.0774	10.9545934333	0.0405350628293	1.3512491	0.005	1.238903	0.005
0.0799	11.2599825699	0.0405350628293	1.38891885	0.005	1.272944	0.005
0.0823	11.5529262262	0.0405350628293	1.42505345	0.005	1.305595	0.005
0.0849	11.8217701662	0.0405350628293	1.45821535	0.005	1.334983	0.005
0.0874	12.1569201459	0.0405350628293	1.4995561	0.005	1.372695	0.005
0.0899	12.4649521686	0.0405350628293	1.53755185	0.005	1.407062	0.005
0.0924	12.7240097284	0.0405350628293	1.5695066	0.005	1.435388	0.005
0.0949	12.9962817187	0.0405350628293	1.60309135	0.005	1.465344	0.005
0.0974	13.3599116336	0.0405350628293	1.6479451	0.005	1.506569	0.005
0.0999	13.5541049858	0.0405350628293	1.67189885	0.005	1.526894	0.005
0.1499	18.4493623835	0.0405350628293	2.27572885	0.005	2.058149	0.005
0.1999	22.4465168221	0.0405350628293	2.76877785	0.005	2.478623	0.005
0.2498	25.9164061613	0.0405350628293	3.1967887	0.005	2.834204	0.005
0.2998	28.8944361573	0.0405350628293	3.5641287	0.005	3.128969	0.005
0.3499	31.48131212	0.0405350628293	3.88321985	0.005	3.37534	0.005
0.3999	33.9888192136	0.0405350628293	4.19252085	0.005	3.612066	0.005
0.4498	36.2304556141	0.0405350628293	4.4690267	0.005	3.816142	0.005
0.4998	37.948469396	0.0405350628293	4.6809437	0.005	3.955484	0.005
0.5499	39.8860466153	0.0405350628293	4.91994385	0.005	4.121764	0.005
0.5998	41.9073019862	0.0405350628293	5.1692657	0.005	4.298656	0.005
0.6498	43.4691422781	0.0405350628293	5.3619187	0.005	4.418734	0.005
0.6998	45.0521580867	0.0405350628293	5.5571837	0.005	4.541424	0.005
0.7499	46.7336185651	0.0405350628293	5.76459185	0.005	4.676112	0.005
0.7999	48.3603311715	0.0405350628293	5.96524685	0.005	4.804192	0.005
0.8498	49.6364223754	0.0405350628293	6.1226527	0.005	4.889168	0.005
0.8998	50.7919148764	0.0405350628293	6.2651827	0.005	4.959123	0.005
0.9499	52.2325079043	0.0405350628293	6.44287985	0.005	5.0641	0.005
0.9999	53.3721349818	0.0405350628293	6.58345285	0.005	5.132098	0.005
1.0998	55.811014998	0.0405350628293	6.8842887	0.005	5.287929	0.005
1.1998	58.2848293474	0.0405350628293	7.1894337	0.005	5.447924	0.005
1.2997	60.22464167	0.0405350628293	7.42870955	0.005	5.542195	0.005
1.3998	62.7996246453	0.0405350628293	7.7463337	0.005	5.714524	0.005
1.4997	64.404633563	0.0405350628293	7.94431155	0.005	5.767497	0.005
1.5998	65.9688986892	0.0405350628293	8.13726365331	0.005	5.811092	0.005
1.6996	67.8298065501	0.0405350628293	8.36680663796	0.005	5.887172	0.005
1.7997	69.875622674	0.0405350628293	8.61915805684	0.005	5.981121	0.005
1.8997	71.3276892794	0.0405350628293	8.79827047262	0.005	5.997369	0.005
