#File generated by ModelExp v0.2.9
#Generated at 2018-07-19 18:51:47.001942

#[[Data]] saxs_model1
#r / nm	SLD / 1e-6 A-2
0.0	41.469
3.5270899834720075	41.469
3.5270899834720075	8.514000000000001
5.484529562723104	8.514000000000001
5.484529562723104	7.554
15.484529562723106	7.554


#[[Data]] saxs_model2
#r / nm	SLD / 1e-6 A-2
0.0	41.469
1.088	41.469
1.088	8.514000000000001
3.045439579251096	8.514000000000001
3.045439579251096	7.554
13.045439579251095	7.554

#[[Data]] saxs_model3
#r / nm	SLD / 1e-6 A-2
0.0	8.514000000000001
1.957439579251096	8.514000000000001
1.957439579251096	7.554
11.957439579251096	7.554


#[[Data]] sans_sa_model1
#r / nm	SLD / 1e-6 A-2
0.0	6.941000000000001
3.5270899834720075	6.941000000000001
3.5270899834720075	2.5772256000000002
5.484529562723104	2.5772256000000002
5.484529562723104	5.664000000000001
15.484529562723106	5.664000000000001

#[[Data]] sans_sa_model2
#r / nm	SLD / 1e-6 A-2
0.0	6.941000000000001
1.088	6.941000000000001
1.088	2.5772256000000002
3.045439579251096	2.5772256000000002
3.045439579251096	5.664000000000001
13.045439579251095	5.664000000000001

#[[Data]] sans_sa_model3
#r / nm	SLD / 1e-6 A-2
0.0	0.078
1.957439579251096	0.078
1.957439579251096	5.664000000000001
11.957439579251096	5.664000000000001
