#File generated by ModelExp v0.4.0
#Read datafile: ../../experimental_data/AH11.xye
#Started Fit at 2018-10-29 23:05:02.160455
#Finished Fit at 2018-10-29 23:05:02.674671
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 19
#    # data points      = 98
#    # variables        = 5
#    chi-square         = 6621.40372
#    reduced chi-square = 71.1978895
#    Akaike info crit   = 422.883329
#    Bayesian info crit = 435.808166
#[[Variables]]
#    a:              90.0669397 +/- 0.00000000 (0.00%) (init = 90)
#    sldCore:        4.1749e-05 (fixed)
#    sldSolvent:     6.461e-06 (fixed)
#    sigA:           0.10694704 +/- 0.00000000 (0.00%) (init = 0.10675)
#    i0:             0.04286474 +/- 0.00000000 (0.00%) (init = 0.0428)
#    bg:             0 (fixed)
#    orderHermite:   15.0000000 +/- 0.00000000 (0.00%) (init = 15)
#    orderLegendre:  15.0000000 +/- 0.00000000 (0.00%) (init = 15)

#[[Data]] 0
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.013369647792895773	30.80652	0.07459181682169455	30.354132627510975
0.015798632898359533	29.312265	0.04716710840364552	28.67270845609895
0.01822761800382329	27.08825	0.03343871644179729	26.81953866826386
0.020656603109287047	24.979633	0.02939579153072692	24.836689557619884
0.023085588214750808	22.72847	0.02652974470912255	22.767247493310023
0.02551457332021457	20.644352	0.024053346455213186	20.65386651525898
0.02794355842567833	18.524305	0.021768166702536968	18.537412738363646
0.030372543531142084	16.416037	0.01965894189408485	16.45576159994439
0.03280152863660584	14.392772	0.01771449608370029	14.442792852150825
0.035230513742069605	12.553432	0.015967333927033135	12.527615166301269
0.03765949884753336	10.7857	0.014318442239226003	10.734038223082454
0.04008848395299712	9.133841	0.012776664318806875	9.080296158861156
0.04251746905846088	7.6686535	0.011713129757059097	7.579013104705531
0.04494645416392464	6.3076773	0.010712074793998628	6.237390044155197
0.04737543926938839	5.1127334	0.009598088651323198	5.057582908163373
0.049804424374852156	4.09482	0.008523049416691313	4.037235099581748
0.05223340948031592	3.2144973	0.007481841150574757	3.17012366290319
0.05466239458577968	2.4901388	0.006523716762731881	2.4468770528207657
0.05709137969124343	1.8832152	0.005618731040414553	1.855723693126102
0.05952036479670719	1.4018819	0.004614180356075586	1.383233896617924
0.06194934990217095	1.0202427	0.003800173661666373	1.0150227759248298
0.06437833500763471	0.73242575	0.003147080444348645	0.7363879966822812
0.06680732011309846	0.523861	0.0026199752563886665	0.5328630782586873
0.06923630521856224	0.37541083	0.002200294825303066	0.39067393055024885
0.07166529032402598	0.28076667	0.0018891522016883982	0.29709298545276264
0.07409427542948975	0.22339673	0.0016783317710164156	0.24069127887059
0.07652326053495351	0.18965119	0.001541869513857193	0.21149390083176073
0.07895224564041725	0.17703946	0.00146970638252562	0.20104819588834147
0.08138123074588102	0.17717189	0.0014439587652414307	0.20241689900223697
0.0838102158513448	0.18635158	0.001448973388358439	0.2101100552925194
0.08623920095680854	0.1962302	0.0014548536815961093	0.21997018772184548
0.0886681860622723	0.20577608	0.0014598572934422305	0.2290248896712742
0.09109717116773607	0.20811419	0.0014465168235611547	0.23532000716598445
0.09352615627319981	0.2094128	0.0014308747908436765	0.23774503089083612
0.09595514137866357	0.20954281	0.0014092919880233001	0.2358604324540448
0.09838412648412734	0.20387985	0.001375006116032081	0.22973462972732045
0.10081311158959111	0.19388093	0.0013278089849134227	0.21979620584367668
0.10324209669505485	0.18264593	0.0012787652701247373	0.20670505922342863
0.10567108180051861	0.16696179	0.0012190462952265146	0.19124441925671526
0.10810006690598238	0.15173386	0.0011576934524217648	0.17423418355068737
0.11052905201144612	0.13476315	0.001091541495879883	0.15646484823400003
0.11295803711690988	0.11944717	0.0010294911186683223	0.13865041790925559
0.11538702222237365	0.10372328	0.0009674533002630106	0.12139808170561785
0.11781600732783742	0.09041265	0.0009143524509511753	0.10519209723871467
