#Extracted Yoneda between qz = 0.008 .. 0.013 A-1
#q/A-1	I/a.u.	sI/a.u.
-0.0658429098667	0.005	0.00117851130198
-0.0653223885095	0.00333333333333	0.000962250448649
-0.0648018185411	0.00388888888889	0.0010393492741
-0.0642812003429	0.00555555555556	0.0012422599875
-0.0637605342964	0.00472222222222	0.00114530711823
-0.0632398207834	0.00611111111111	0.00130289326662
-0.0627190601859	0.00555555555556	0.0012422599875
-0.0621982528859	0.00472222222222	0.00114530711823
-0.0616773992658	0.0075	0.00144337567297
-0.0611564997081	0.00666666666667	0.00136082763488
-0.0606355545954	0.00611111111111	0.00130289326662
-0.0601145643104	0.00527777777778	0.00121080526209
-0.0595935292361	0.00611111111111	0.00130289326662
-0.0590724497558	0.00638888888889	0.00133217542314
-0.0585513262527	0.00805555555556	0.00149587911309
-0.0580301591102	0.00777777777778	0.00146986183948
-0.0575089487119	0.00805555555556	0.00149587911309
-0.0569876954418	0.00805555555556	0.00149587911309
-0.0564663996837	0.01	0.00166666666667
-0.0559450618216	0.0105555555556	0.00171233722305
-0.05542368224	0.0102777777778	0.00168965625842
-0.0549022613232	0.01	0.00166666666667
-0.0543807994557	0.00916666666667	0.00159571184626
-0.0538592970223	0.0102777777778	0.00168965625842
-0.0533377544079	0.0102777777778	0.00168965625842
-0.0528161719975	0.0119444444444	0.00182151070119
-0.0522945501762	0.0108333333333	0.00173472166622
-0.0517728893294	0.0133333333333	0.0019245008973
-0.0512511898426	0.0144444444444	0.00200308404192
-0.0507294521012	0.0183333333333	0.00225667733462
-0.0502076764912	0.0183333333333	0.00225667733462
-0.0496858633983	0.0166666666667	0.00215165741456
-0.0491640132087	0.0152777777778	0.0020600551353
-0.0486421263084	0.0202777777778	0.0023733343737
-0.0481202030837	0.0205555555556	0.0023895347964
-0.0475982439212	0.0175	0.00220479275922
-0.0470762492074	0.0180555555556	0.00223951604119
-0.0465542193289	0.0180555555556	0.00223951604119
-0.0460321546727	0.0166666666667	0.00215165741456
-0.0455100556256	0.0172222222222	0.00218722440945
-0.0449879225749	0.0155555555556	0.00207869854821
-0.0444657559076	0.015	0.00204124145232
-0.0439435560112	0.0144444444444	0.00200308404192
-0.043421323273	0.0138888888889	0.0019641855033
-0.0428990580808	0.0108333333333	0.00173472166622
-0.0423767608222	0.00833333333333	0.00152145154863
