#Scaled file ./dd67_rfp_la.dat
#Using factor: 0.75
#q / A-1 	 I / cm-1 	 sI / cm-1 	 dI / cm-1
0.0167293	2.4438825	0.06161535	0.00276453
0.0183211	2.26893	0.053715975	0.00278442
0.0188202	2.248065	0.09162524999999999	0.00279101
0.0203951	1.8821999999999999	0.043936875	0.00280773
0.0209119	1.7531624999999997	0.0813705	0.00281219
0.0224636	1.521135	0.03591165	0.00283384
0.0229979	1.3915950000000001	0.071964225	0.0028424
0.0245274	1.142205	0.030455025000000004	0.00286283
0.025052	1.0362525	0.07670475	0.00286872
0.0265904	0.85173	0.0249096	0.00289191
0.0271445	0.7965	0.06926227500000001	0.00290228
0.0286507	0.6074205	0.02055075	0.00292637
0.0292366	0.5639655	0.06184275	0.00293441
0.0307094	0.44235675	0.018093599999999998	0.00295816
0.0313311	0.40448549999999994	0.0538293	0.00297132
0.0327678	0.28660949999999996	0.015	0.0029978
0.0341815	0.20275200000000002	0.029059724999999998	0.00301957
0.0349199	0.2034975	0.0144897	0.00303441
0.0362678	0.164253	0.025064925000000002	0.00306444
0.0369999	0.1148595	0.013402274999999998	0.00307883
0.0383765	0.130008	0.021086475	0.00310289
0.0391023	0.09039975	0.013047224999999999	0.00311752
0.0404423	0.10942725	0.019383749999999998	0.00315009
0.0411745	0.08016825	0.01237725	0.00316598
0.0425919	0.09827849999999999	0.0187977	0.00319357
0.0432463	0.111591	0.0125358	0.00320644
0.0446425	0.09134175	0.017986125	0.00324301
0.0453196	0.15338925	0.013087875	0.00325899
0.0467151	0.174516	0.017864625000000002	0.00328888
0.0473802	0.17220075	0.013615725000000002	0.00330185
0.0487453	0.19297275	0.0182532	0.00333955
0.0494265	0.23240625	0.01385055	0.00335693
0.0508196	0.23359950000000002	0.0175842	0.00338938
0.0515078	0.2710845	0.01444665	0.00340406
0.0528722	0.27187875	0.017533725	0.0034421
0.0535449	0.27479325	0.014930549999999999	0.00346041
0.0549237	0.29683424999999997	0.017252325	0.00349492
0.0556056	0.27616799999999997	0.014628450000000001	0.00351064
0.0570191	0.283917	0.015752475	0.00355018
0.0576898	0.28986225	0.0149769	0.00356946
0.059131	0.28086525	0.013902750000000002	0.00360765
0.0597893	0.31512975	0.017632125	0.00362378
0.0612018	0.26228700000000005	0.012796425	0.00366394
0.0618873	0.2580105	0.017558325	0.00368453
0.0632693	0.2522895	0.012027975	0.00372305
0.0639875	0.25571175	0.0172446	0.00374163
0.065322	0.2591145	0.011662724999999999	0.00377994
0.0660817	0.20857124999999999	0.017687475	0.00380371
0.0673732	0.2134335	0.010896824999999999	0.00374124
0.0681277	0.22272975	0.018570675	0.00378313
0.0694373	0.17839424999999998	0.0099978	0.00385586
0.0702946	0.1492365	0.01741935	0.00390346
0.0715003	0.1658985	0.00983445	0.00397042
0.0725985	0.11881275	0.014395725000000002	0.0040314
0.0736364	0.10887825	0.009450375	0.00408903
0.0747457	0.12365625	0.013815975000000001	0.00401778
0.075714	0.1004085	0.0092031	0.00406983
0.0768436	0.09546824999999999	0.013007475	0.00413054
0.0777911	0.068724075	0.008846925	0.00418147
0.0789339	0.046215149999999997	0.011519625	0.00411884
0.0798529	0.055088475	0.00877935	0.0041668
0.0810181	0.04995315	0.01102695	0.00420601
0.0819403	0.069474075	0.0088509	0.00425388
0.0831307	0.049515674999999995	0.010863225	0.00431568
0.0840104	0.040648125	0.00844515	0.00436135
0.0851871	0.039430875000000004	0.010438574999999999	0.00442244
0.0860648	0.044047125	0.00839775	0.004468
0.0872413	0.059601299999999996	0.01063695	0.00438695
0.0881069	0.049917375	0.008607375	0.00443048
0.0893175	0.051496425	0.010238625000000001	0.00449135
0.0901697	0.0496209	0.008377575	0.00453421
0.0914204	0.06905497499999999	0.009791625	0.0045971
0.0922681	0.062477625	0.008752574999999999	0.00463973
0.0935616	0.061431975	0.008916	0.00470477
0.0943817	0.054535799999999995	0.00941385	0.00461396
0.0956286	0.07087927499999999	0.008663174999999999	0.00467492
0.0964611	0.0865605	0.0101673	0.00471562
0.0976955	0.087036	0.00844305	0.00477597
0.0985562	0.07030035000000001	0.010209824999999999	0.00481804
0.0997591	0.074918025	0.008001225	0.00487685
0.100646	0.10475399999999999	0.011394000000000001	0.00492018
0.101811	0.079926	0.0077292	0.00497713
0.102826	0.08796975	0.010485525	0.00502676
0.10391	0.073965225	0.0078534	0.0049301
0.10499	0.087669	0.00973485	0.00498133
0.106005	0.072628425	0.008074575	0.00502951
0.107088	0.06472905000000001	0.009070950000000001	0.0050809
0.1081	0.07364385	0.007994475000000001	0.00512889
0.109212	0.087036	0.009255900000000001	0.00518167
0.110181	0.074281875	0.0080211	0.00522765
0.111297	0.06259875	0.008874825	0.00528061
0.112248	0.073088325	0.008088675	0.00532571
0.113363	0.074023425	0.008709375	0.00537862
0.114326	0.05851455	0.007749300000000001	0.00542429
0.115463	0.0615618	0.00857355	0.00547828
0.116377	0.063394425	0.007824975	0.00552161
0.117512	0.04664955	0.008435025	0.00543628
0.118438	0.0547548	0.007568325000000001	0.00547913
0.119584	0.059874075	0.008308425	0.00553211
0.120498	0.052062075	0.007546425000000001	0.00557443
0.121734	0.048047775	0.007510649999999999	0.00563158
0.122639	0.0363555	0.007898775	0.00567347
0.123827	0.0422145	0.0071398650000000004	0.00572842
0.124736	0.0328623	0.008285625	0.00577049
0.125879	0.05032005	0.006980107500000001	0.00578549
0.126847	0.04470945	0.00847815	0.00582994
0.127956	0.0350193	0.0066023850000000005	0.00588093
0.128924	0.04385715	0.008946675	0.0059254
0.130143	0.044349975	0.009724650000000001	0.00582219
0.131023	0.0411741	0.011744475	0.00586154
0.131861	0.04128105	0.0209316	0.00589903
