#Loaded datafile ../../AH11_HYST_100OE_10K.DAT
#Rescaled data with factor 0.11252542287218859
#B/T	M/kAm-1	sM/kAm-1
1.9790905714035e-05	106.23197738719597	4.521366117567892e-05
0.0007953867435455319	106.20804816187999	3.359250072549853e-05
0.00633865413665772	106.40861063353262	3.149115182996858e-05
0.0137784797668457	107.10455191026098	3.372571891584514e-05
0.0172395904541016	107.56428642048363	3.281361390468173e-05
0.0224627822875977	107.92137339279117	3.449803316423348e-05
0.027460929870605496	108.36290948497604	3.7893371186485924e-05
0.0331785400390625	108.82996391572833	3.3786606490226785e-05
0.0386665130615234	109.25806308036768	4.088605247906856e-05
0.043895611572265604	110.14039021774664	4.250282553386068e-05
0.049864176940918	110.61409526144953	4.41242800195539e-05
0.0555926300048828	111.05281461049677	4.299094764244982e-05
0.0610758514404297	111.52245737234512	4.1992006968725395e-05
0.0671064819335938	111.96414994771519	4.489026162636415e-05
0.0723324493408203	112.39431215386065	4.253888618676259e-05
0.077043701171875	112.83662667552403	4.105690150842935e-05
0.0822629058837891	113.30553426642446	4.246304909858723e-05
0.0874826843261719	113.73154736877416	4.05141010408254e-05
0.0930152862548828	114.19502847783338	3.928919262882258e-05
0.0987664337158203	115.06782057045571	3.4728255296913835e-05
0.104455386352539	115.50951203493803	4.1607853995130204e-05
0.11019453735351599	115.9455758091758	3.691566195981592e-05
0.1196578125	116.42632736213422	4.065829664033951e-05
0.122878173828125	116.84858421276411	3.7713060880175795e-05
0.12887979125976598	117.72618691288626	4.078245904110443e-05
0.134838262939453	118.15649946260625	4.2242565314384646e-05
0.140855358886719	118.60149991308496	4.1567475887878756e-05
0.146852600097656	119.07818679795602	5.036981084919702e-05
0.152060498046875	119.5121913749582	4.6115245012632905e-05
0.161016918945313	120.3992630263446	4.996223607826669e-05
0.164296520996094	120.80351471315076	4.6402598495006064e-05
0.16977507934570302	121.25549715043564	5.337078030064353e-05
0.175005145263672	121.70090865321777	4.435525256928235e-05
0.180520928955078	122.13530792654923	4.576455368197274e-05
0.185522155761719	122.60086535843698	4.50920223251157e-05
0.190769158935547	123.01482406973577	4.359998895529982e-05
0.19672536010742198	123.48228197930614	3.7255751858498794e-05
0.202176208496094	123.90609140654047	4.244942545234381e-05
0.207439770507813	124.38484004524273	4.027677507523497e-05
0.2176556640625	125.23229351331737	4.713633534225996e-05
0.220883471679687	125.71751026096983	4.106165801514495e-05
0.226101806640625	126.13798012905592	4.8650277174991384e-05
0.231582836914062	126.56420980158612	4.400567365673485e-05
0.236580688476562	126.99975308111192	4.235466800499364e-05
0.24579791259765602	127.42704225287478	5.3761185449730065e-05
0.24929923095703102	128.2958170079218	3.5771343114513676e-05
0.25503565673828105	128.7944375737178	4.5535732647209255e-05
0.26001748046875	129.21225896654346	5.017656937420065e-05
0.265264672851562	129.6657473185434	4.833160700950677e-05
