#File generated by ModelExp v0.3.1
#Generated at 2018-07-20 16:43:33.549429

#[[Data]] p_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.941000000000001	0.0	0.3259326126120011
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
1.088	6.941000000000001	1.088	0.3259326126120011
1.088	2.5772256000000002	1.088	0.0
3.045439579251096	2.5772256000000002	3.045439579251096	0.0
3.045439579251096	5.664000000000001	3.045439579251096	0.0
13.045439579251095	5.664000000000001	13.045439579251095	0.0
13.045439579251095	5.664000000000001	13.045439579251095	0.0
3.045439579251096	5.664000000000001	3.045439579251096	0.0
3.045439579251096	2.5772256000000002	3.045439579251096	0.0
1.088	2.5772256000000002	1.088	0.0
1.088	6.941000000000001	1.088	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
0.0	0.078	0.0	0.0
1.957439579251096	0.078	1.957439579251096	0.0
1.957439579251096	5.664000000000001	1.957439579251096	0.0
11.957439579251096	5.664000000000001	11.957439579251096	0.0

#[[Data]] p_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.941000000000001	0.0	0.3259326126120011
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
1.088	6.941000000000001	1.088	0.3259326126120011
1.088	2.5772256000000002	1.088	0.0
3.045439579251096	2.5772256000000002	3.045439579251096	0.0
3.045439579251096	5.664000000000001	3.045439579251096	0.0
13.045439579251095	5.664000000000001	13.045439579251095	0.0
13.045439579251095	5.664000000000001	13.045439579251095	0.0
3.045439579251096	5.664000000000001	3.045439579251096	0.0
3.045439579251096	2.5772256000000002	3.045439579251096	0.0
1.088	2.5772256000000002	1.088	0.0
1.088	6.941000000000001	1.088	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
0.0	0.078	0.0	0.0
1.957439579251096	0.078	1.957439579251096	0.0
1.957439579251096	5.664000000000001	1.957439579251096	0.0
11.957439579251096	5.664000000000001	11.957439579251096	0.0

#[[Data]] m_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.941000000000001	0.0	0.3259326126120011
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
1.088	6.941000000000001	1.088	0.3259326126120011
1.088	2.5772256000000002	1.088	0.0
3.045439579251096	2.5772256000000002	3.045439579251096	0.0
3.045439579251096	5.664000000000001	3.045439579251096	0.0
13.045439579251095	5.664000000000001	13.045439579251095	0.0
13.045439579251095	5.664000000000001	13.045439579251095	0.0
3.045439579251096	5.664000000000001	3.045439579251096	0.0
3.045439579251096	2.5772256000000002	3.045439579251096	0.0
1.088	2.5772256000000002	1.088	0.0
1.088	6.941000000000001	1.088	0.3259326126120011
0.0	6.941000000000001	0.0	0.3259326126120011
0.0	0.078	0.0	0.0
1.957439579251096	0.078	1.957439579251096	0.0
1.957439579251096	5.664000000000001	1.957439579251096	0.0
11.957439579251096	5.664000000000001	11.957439579251096	0.0

#[[Data]] m_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.941000000000001	0.0	0.3259326126120011
3.5270899834720075	6.941000000000001	3.5270899834720075	0.3259326126120011
3.5270899834720075	2.5772256000000002	3.5270899834720075	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
15.484529562723106	5.664000000000001	15.484529562723106	0.0
5.484529562723104	5.664000000000001	5.484529562723104	0.0
5.484529562723104	2.5772256000000002	5.484529562723104	0.0
