#File generated by ModelExp v0.3.0
#Read datafile: PMK18_20muL_4cmTeflonPara_BGLinSub_rescale.xye
#Started Fit at 2018-07-19 20:27:20.656888
#Finished Fit at 2018-07-19 20:27:20.693604
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 17
#    # data points      = 352
#    # variables        = 3
#    chi-square         = 11508.1859
#    reduced chi-square = 32.9747448
#    Akaike info crit   = 1233.48831
#    Bayesian info crit = 1245.07921
#[[Variables]]
#    Ms:     180.300000 +/- 0.26222575 (0.15%) (init = 183)
#    mu:     12750.0000 +/- 33.3665109 (0.26%) (init = 12400)
#    chi:    13.8000000 +/- 0.22724307 (1.65%) (init = 12.2)
#    sigMu:  0 (fixed)
#    T:      298.25 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.907
#    C(Ms, mu)  = -0.834
#    C(mu, chi) =  0.718

#0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-0.0974	-117.83780057768708	-0.1868600281328621	-118.52614688648498
-0.0949	-116.3286163751574	-0.18685914793146013	-117.00225730051652
-0.0948	-116.2341150955274	-0.186859113199351	-116.94008393010417
-0.0924	-114.44757791441342	-0.1868582906122242	-115.41901599393483
-0.0924	-114.54006503018876	-0.1868582906122242	-115.41901599393483
-0.0899	-113.07333147958668	-0.1868574561754692	-113.77388165853473
-0.0898	-113.08054734304375	-0.18685742327395896	-113.70675238813216
-0.0874	-111.34404662577751	-0.1868566446215017	-112.06426100215764
-0.0873	-111.68055398992642	-0.18685661263530925	-111.99449770435999
-0.0849	-109.7011951856202	-0.18685585595061988	-110.28751851526641
-0.0848	-109.64312822432595	-0.18685582487975688	-110.21501504975699
-0.0824	-107.73211646436442	-0.18685509016311344	-108.44098813404918
-0.0823	-108.02617317658574	-0.1868550600075914	-108.3656374095141
-0.0799	-106.2820492788677	-0.18685434725926375	-106.52198696220456
-0.0798	-105.92346458623393	-0.18685431801909372	-106.44368153023908
-0.0774	-103.85606552141593	-0.1868536272393438	-104.52783120512946
-0.0773	-104.13495060979692	-0.1868535989145365	-104.44646394565761
-0.0749	-101.89752472607877	-0.18685293010361806	-102.4558544559457
-0.0749	-102.18593505317135	-0.18685293010361806	-102.4558544559457
-0.0724	-99.66892155267763	-0.18685225585234272	-100.30342845167772
-0.0723	-99.73073284084087	-0.18685222935829182	-100.21562150176557
-0.0699	-97.58295406449444	-0.18685160448576552	-98.06798638896238
-0.0699	-98.04890228534404	-0.18685160448576552	-98.06798638896238
-0.0674	-95.10839121592834	-0.18685097600412576	-95.7470488510183
-0.0674	-95.69881401562547	-0.18685097600412573	-95.7470488510183
-0.0649	-93.06491174820437	-0.18685037040765437	-93.33825235045232
-0.0648	-93.14641625253472	-0.18685034665981015	-93.24004110773005
-0.0623	-90.7751773939156	-0.18684976486414984	-90.73752250924441
-0.0623	-91.02408918307907	-0.18684976486414984	-90.73752250924441
-0.0598	-88.20199899038741	-0.18684920595410287	-88.14281544906444
-0.0598	-88.25666915215682	-0.18684920595410281	-88.14281544906444
-0.0573	-85.58786467619667	-0.18684866992987467	-85.45410986621077
-0.0573	-85.66529227372656	-0.1868486699298747	-85.45410986621077
-0.0548	-82.82795572013134	-0.1868481567916622	-82.66985137700675
-0.0548	-82.79764984098233	-0.1868481567916622	-82.66985137700675
-0.0523	-80.26090575578988	-0.18684766653965404	-79.78878066023132
-0.0523	-79.99226338192769	-0.186847666539654	-79.78878066023132
-0.0498	-76.92582036093098	-0.18684719917403028	-76.80997391521593
-0.0498	-77.30522306253383	-0.18684719917403028	-76.80997391521593
-0.0473	-74.01266305666579	-0.18684675469496265	-73.73288379887451
