#File generated by ModelExp v0.7.1
#Generated at 2019-01-08 10:59:11.873669

#[[Data]] p
#r / nm	SLD / 1e-6 A-2	SLDmag / 1-6 A-2
-8.110257876384336	2.079039227748722	0.0
-7.99103937510164	2.079050808429941	0.0
-7.871820873818945	2.0790655546406676	0.0
-7.752602372536248	2.0790842576618846	0.0
-7.633383871253552	2.0791078861361627	0.0
-7.514165369970856	2.0791376205183	0.0
-7.3949468686881605	2.079174892926311	0.0
-7.275728367405463	2.0792214329419036	0.0
-7.156509866122766	2.0792793198970454	0.0
-7.037291364840071	2.079351042150833	0.0
-6.9180728635573745	2.0794395638042733	0.0
-6.798854362274679	2.0795483992154833	0.0
-6.679635860991982	2.0796816955597213	0.0
-6.5604173597092865	2.0798443235231825	0.0
-6.44119885842659	2.0800419760227102	0.0
-6.321980357143894	2.0802812746018176	0.0
-6.202761855861198	2.080569882864231	0.0
-6.083543354578501	2.080916625967772	1.678647990884319e-17
-5.964324853295805	2.08133161481388	1.678647990884319e-17
-5.845106352013109	2.081826373132977	3.357295981768638e-17
-5.725887850730413	2.0824139651870115	8.393239954421595e-17
-5.606669349447716	2.0831091212940147	1.5107831917958871e-16
-5.48745084816502	2.0839283578342354	3.0215663835917743e-16
-5.3682323468823245	2.0848900878350882	5.707403169006685e-16
-5.249013845599628	2.086014717667439	1.1079076739836507e-15
-5.129795344316932	2.08732472483651	2.098309988605399e-15
-5.010576843034236	2.0888447113374546	3.961609258486993e-15
-4.891358341751539	2.090601426591953	7.436410599617534e-15
-4.772139840468843	2.092623753613485	1.3882418884613318e-14
-4.652921339186147	2.0949426517927163	2.571688722034777e-14
-4.5337028379034505	2.0975910495788503	4.7354659822846644e-14
-4.414484336620754	2.1006036803862047	8.66350228095397e-14
-4.295265835338059	2.1040168553048857	1.5745718154494914e-13
-4.1760473340553625	2.1078681666651145	2.842622507763506e-13
-4.056828832772666	2.112196117217918	5.098389677913854e-13
-3.93761033148997	2.117039670666785	9.084339332268669e-13
-3.818391830207274	2.1224377205254465	1.6080608428676336e-12
-3.6991733289245774	2.12842847578839	2.827850405443724e-12
-3.579954827641881	2.135048763676302	4.94041211549173e-12
-3.460736326359185	2.1423332517417144	8.574701802236192e-12
-3.341517825076489	2.1503135938632516	1.4785195774110905e-11
-3.2222993237937927	2.1590175070816215	2.532728980814343e-11
-3.103080822511097	2.168467788787182	4.3102795540255837e-11
-2.9838623212284006	2.178681286397266	7.287497736346186e-11
-2.864643819945704	2.1896678342913964	1.2240776688688044e-10
-2.7454253186630075	2.2014291753256794	2.042673047460328e-10
-2.6262068173803117	2.213957886639229	3.3864883417893126e-10
-2.5069883160976154	2.22723633160677	5.577798114926489e-10
-2.387769814814919	2.2412356615926243	9.127254639614822e-10
-2.2685513135322233	2.255914892534256	1.483827781301385e-09
-2.149332812249527	2.271220082246098	2.3965946407223225e-09
-2.030114310966831	2.287083634613052	3.845699235816187e-09
-1.9108958096841349	2.3034237564769247	6.130948265619718e-09
-1.7916773084014381	2.320144091963286	9.710768712334526e-09
-1.6724588071187427	2.337133557224577	1.5281123802788313e-08
-1.5532403058360458	2.3542663960833745	2.3891030328194686e-08
-1.434021804553349	2.3714024738662465	3.7110313777168356e-08
-1.3148033032706536	2.3883878228673923	5.7271278771409654e-08
-1.1955848019879567	2.405055448440614	8.781406408182051e-08
-1.0763663007052613	2.421226399781437	1.3377616653116437e-07
-0.9571477994225646	2.4367111041442566	2.024806466010011e-07
-0.8379292981398692	2.451310957678782	3.0449567447682654e-07
-0.7187107968571723	2.4648201604193374	4.5496125756196496e-07
-0.5994922955744769	2.477027777385762	6.754082191935113e-07
-0.48027379429178013	2.487720002429444	9.962308441784844e-07
-0.3610552930090833	2.4966825965575516	1.4600191397216152e-06
-0.2418367917263879	2.503703468163294	2.1260103646802733e-06
-0.12261829044369107	2.5085753590388435	3.075983133540951e-06
-0.003399789160995681	2.511098597390701	4.421991417432543e-06
0.11581871212170114	2.511083877429542	6.31641999525413e-06
0.23503721340439654	2.5083550245503012	8.964936404541746e-06
0.3542557146870934	2.5027517056972908	1.2643015189115159e-05
0.4734742159697888	2.4941320462229943	1.7716814855684567e-05
0.5926927172524856	2.482375117348755	2.4669291398514592e-05
0.7119112185351824	2.4673832621196277	3.413252755107741e-05
0.8311297198178778	2.4490842323598576	4.692733495210389e-05
0.9503482211005746	2.4274331143725507	6.411123577024158e-05
1.06956672238327	2.402414026730632	8.703593738480466e-05
1.1887852236659668	2.374041579176685	0.00011741536282938561
1.3080037249486622	2.3423620870536044	0.00015740517372755234
1.427222226231359	2.3074545404732163	0.00020969450352179217
1.546440727514056	2.2694313312398786	0.0002776102894731717
1.6656592287967513	2.2284387430420276	0.0003652341366275817
1.784877730079448	2.18465721130967	0.0004775310538338362
1.9040962313621435	2.1383013581806063	0.0006204886648302122
2.0233147326448404	2.0896198050885992	0.0008012646182295001
2.142533233927536	2.0388947605706673	0.0010283389109654773
2.2617517352102325	1.9864413741218747	0.0013116667246771503
2.3809702364929293	1.9326068386032942	0.0016628261916977612
2.5001887377756247	1.8777692143062692	0.002095154309609953
2.6194072390583214	1.8223359379437967	0.0026238630782311305
2.738625740341017	1.7667419703902776	0.0032661269213008284
2.857844241623714	1.7114475288706126	0.0040411316686652
2.9770627429064094	1.6569353435454053	0.004970074911502533
3.096281244189106	1.6037073761165697	0.006076107502012092
3.2154997454718015	1.5522809402079125	0.00738420644261658
3.3347182467544982	1.5031841707483826	0.00892097047635522
3.453936748037195	1.4569508030701948	0.01071433140499413
3.5731552493198904	1.414114242286442	0.012793176548111006
3.692373750602587	1.3752009296961931	0.015186880799423602
3.8115922518852825	1.3407230449842555	0.01792475037505867
3.9308107531679797	1.3111706198465887	0.02103538447267426
4.050029254450675	1.2870031788867689	0.024545965511700366
4.169247755733371	1.2686410652315843	0.028481493199330077
4.288466257016067	1.2564566489487232	0.032863982122314825
4.407684758298764	1.2507656533838745	0.03771164663303022
4.526903259581461	1.2518188652135942	0.04303810020085475
4.6461217608641565	1.2597945156406805	0.04885159886530757
4.765340262146852	1.2747916303098188	0.0551543597116489
4.884558763429548	1.2968246422290695	0.06194198519629143
5.003777264712245	1.3258195439391853	0.06920302254811682
5.122995765994942	1.3616118218842481	0.07691868431405084
5.242214267277639	1.4039463678342337	0.08506275144694284
5.3614327685603325	1.4524795006971412	0.09360167429203833
5.48065126984303	1.5067831594916363	0.10249487965121098
5.599869771125727	1.5663512478442199	0.11169528411309268
5.719088272408423	1.6306080260319296	0.12115000542259391
5.838306773691118	1.6989183626790636	0.13080125526134725
5.957525274973814	1.7705995792884845	0.14058738887644864
6.076743776256511	1.8449345512848707	0.1504440799723764
6.195962277539207	1.921185673190339	0.160305583572617
6.3151807788219045	1.9986092562616917	0.17010604549618358
6.434399280104598	2.076469906772272	0.17978081491957212
6.553617781387295	2.1540544333847707	0.1892677163359179
6.6728362826699925	2.2306848527908016	0.19850823908951018
6.792054783952689	2.305730102830423	0.20744860644422033
6.911273285235383	2.378616129358802	0.21604069161511288
7.03049178651808	2.4488340839378853	0.2242427550336231
7.149710287800777	2.5159464499989044	0.23201998493472406
7.268928789083473	2.579591000988727	0.23934483171014845
7.38814729036617	2.6394825805649154	0.24619713490978773
7.507365791648864	2.6954127776762635	0.2525640498530344
7.626584292931561	2.747247644322525	0.2584397881343829
7.745802794214258	2.794923667562784	0.26382519254010955
7.8650212954969545	2.8384422574155552	0.2687271717856783
7.984239796779649	2.8778630470974274	0.27315802388098953
8.103458298062346	2.913296321000016	0.27713467877439985
8.222676799345042	2.9448948892744413	0.28067789125186016
8.341895300627739	2.9728457170938722	0.28381141399354354
8.461113801910436	2.997361593509193	0.2865611784046793
8.58033230319313	3.0186730917227695	0.28895450757815944
8.699550804475827	3.037021032310511	0.29101938178242587
8.818769305758524	3.052649616257579	0.2927837724781309
8.937987807041221	3.0658003483892355	0.2942750563218389
9.057206308323915	3.076706826382321	0.29551951616125516
9.176424809606612	3.085590428172695	0.29654193187437566
9.295643310889307	3.0926568929140412	0.29736526022010673
9.414861812172004	3.0980937588837745	0.29801039976698745
9.534080313454702	3.1020685965630324	0.29849603451719336
9.653298814737395	3.104727956763876	0.29883854806641724
9.772517316020092	3.1061969419509823	0.2990519990174798
9.89173581730279	3.1065793032865012	0.29914814784464766
10.010954318585487	3.105957965645854	0.29913652541018104
10.130172819868182	3.1043958869787858	0.2990245337723751
10.249391321150878	3.1019371659169286	0.29881757069552684
10.368609822433573	3.0986083214453246	0.2985191702768237
10.48782832371627	3.094419679807227	0.29813115324878625
10.607046824998967	3.089366815747306	0.29765378171444334
10.726265326281661	3.0834320069991037	0.29708591425488706
10.845483827564358	3.0765856720170075	0.2964251584588873
10.964702328847055	3.068787770920806	0.2956680189204716
11.083920830129752	3.0599891581855023	0.29481003960563057
11.203139331412448	3.0501328826229024	0.29384594018920446
11.322357832695143	3.0391554356264305	0.2927697465040082
11.441576333977839	3.0269879525363916	0.2915749156314595
11.560794835260536	3.0135573744446256	0.2902544564080179
11.680013336543233	2.998787578955019	0.2888010462406179
11.799231837825927	2.9826004885363018	0.28720714513561535
11.918450339108624	2.9649171643427814	0.28546510776925405
12.037668840391321	2.945658891934119	0.2835672942828827
12.156887341674018	2.9247482633831168	0.28150618029171476
12.276105842956714	2.9021102579924314	0.27927446636890424
12.395324344239409	2.877673321399108	0.2768651870222736
12.514542845522104	2.8513704403626603	0.2742718189323764
12.633761346804802	2.823140208119913	0.2714883879788903
12.752979848087499	2.792927872941634	0.26850957435690537
12.872198349370194	2.7606863605181076	0.2653308148830995
12.991416850652888	2.7263772590933963	0.2619484014200579
13.110635351935588	2.689971754908012	0.25835957420976896
13.229853853218282	2.6514515045310025	0.25456260880800863
13.349072354500981	2.610809430088272	0.2505568952522045
13.468290855783675	2.5680504232373367	0.2463430080777621
13.58750935706637	2.523191944002612	0.241922765822035
13.706727858349069	2.4762645012645645	0.23729927872061118
13.825946359631763	2.427312002775522	0.23247698340587014
13.945164860914463	2.376391964031746	0.22746166356058145
14.064383362197157	2.3235755671341938	0.2222604556565441
14.18360186347985	2.2689475628795086	0.21688183911597556
14.30282036476255	2.212606011692059	0.2113356104669771
14.422038866045245	2.1546618615835955	0.2056328413185968
14.541257367327939	2.0952383640506196	0.19978582024997965
14.660475868610638	2.0344703316278028	0.19380797898556465
14.779694369893331	1.972503243642063	0.18771380350767425
14.898912871176032	1.9094922094887763	0.18151873103244054
15.018131372458726	1.8456008014116634	0.17523903403815816
15.13734987374142	1.7809997712452852	0.16889169278030847
15.25656837502412	1.7158656678128423	0.162494257948622
15.375786876306814	1.6503793736052799	0.156064705313013
15.495005377589512	1.5847245809521322	0.14962128436220679
15.614223878872206	1.5190862290896174	0.1431823630573923
15.733442380154901	1.4536489243061326	0.1367662709001727
15.8526608814376	1.388595365680442	0.13039114254754774
15.971879382720294	1.3241047988138144	0.12407476419569358
16.091097884002995	1.2603515193977004	0.11783442489923239
16.210316385285687	1.1975034474673982	0.11168677489488929
16.329534886568382	1.1357207917942087	0.10564769286037294
16.44875338785108	1.0751548221001936	0.09973216386453712
16.567971889133776	1.0159467646842701	0.09395416955770952
16.68719039041647	0.9582268346789341	0.08832659191670694
16.80640889169917	0.9021134155713586	0.08286113160324494
16.925627392981863	0.8477123938836936	0.07756824172336789
17.04484589426456	0.7951166540802592	0.07245707749563927
17.164064395547257	0.744405735920025	0.06753546205365116
17.283282896829952	0.6956456536654326	0.06280986833029226
17.40250139811265	0.6488888738554791	0.05828541670330572
17.521719899395343	0.6041744458083564	0.05396588782954411
17.64093840067804	0.5615282766881313	0.04985374986407994
17.760156901960737	0.5209635408945734	0.04595019905425579
17.879375403243433	0.4824812117504894	0.04225521252136964
17.998593904526132	0.44607070199365334	0.03876761189664408
18.117812405808827	0.41171059844812513	0.0354851363651613
18.23703090709152	0.3793694754603386	0.032404523592366556
18.356249408374218	0.34900677123857354	0.029521596962526667
18.475467909656913	0.32057371112058425	0.0268313575462456
18.594686410939612	0.2940142619966356	0.024328079233144045
18.713904912222308	0.2692661026100507	0.022005405513765484
18.833123413505	0.246261595214945	0.01985644646874808
18.952341914787702	0.2249287450572194	0.01787387461996942
19.071560416070394	0.2051921353223419	0.016050018414006096
19.19077891735309	0.1869738265225656	0.014376952238971084
19.30999741863579	0.1701942107366312	0.012846582017610558
19.429215919918484	0.15477281262638767	0.01145072556849463
19.548434421201183	0.14062903069866803	0.010181187079414336
19.667652922483875	0.12768281382063595	0.00902982518910341
19.78687142376657	0.11585526949946018	0.007988614321853736
19.90608992504927	0.10506920187318516	0.007049699061580322
20.025308426331964	0.09524957870366592	0.006205441484913743
20.144526927614663	0.08632392789383059	0.005448461494909349
20.26374542889736	0.07822266515431792	0.004771670306378202
20.38296393018005	0.07087935540722261	0.004168297329529255
20.50218243146275	0.0642309113306764	0.003631910779893708
20.621400932745445	0.05821773311445311	0.003156432409105595
20.740619434028144	0.052783794015298875	0.002736146803165831
20.85983793531084	0.04787667667573351	0.002365705732772992
20.97905643659353	0.04344756540962432	0.0020401280649117596
21.098274937876234	0.03945119977172482	0.0017547957571361784
21.217493439158925	0.03584579472885511	0.0015054464570390359
21.33671194044162	0.03259293265055965	0.0012881632205644549
21.45593044172432	0.02965743215124905	0.0010993618454809063
21.575148943007015	0.027007198558390764	0.0009357762919050078
21.694367444289714	0.024613060466702003	0.0007944426316659421
21.813585945572406	0.0224485964805526	0.0006726819338922085
21.9328044468551	0.020489955859002082	0.0005680824567815108
22.0520229481378	0.018715676372369247	0.0004784814762734018
22.171241449420496	0.017106502266871722	0.0004019470423625518
22.290459950703195	0.015645204824436418	0.0003367599140125119
22.40967845198589	0.014316407606436946	0.0002813958848691459
22.528896953268582	0.013106418089767076	0.0002345086748957788
22.64811545455128	0.012003067046751385	0.00019491352819898413
22.767333955833976	0.010995556690987845	0.00016157162508321395
22.886552457116675	0.010074318312219525	0.00013357538704814498
23.00577095839937	0.009230879856393703	0.00011013472719422496
23.124989459682062	0.00845774367295205	9.056427540061709e-05
23.244207960964765	0.007748274449875066	7.427158767268458e-05
23.363426462247457	0.007096597187191576	6.074633213810411e-05
23.482644963530156	0.0064975049200704255	4.955043015738326e-05
23.60186346481285	0.005946375791216589	4.030911972191475e-05
23.721081966095547	0.005439098986882122	3.270289951700324e-05
23.840300467378245	0.004972008988746842	2.6460305489265694e-05
23.959518968660937	0.004541827552664259	2.1351467226232485e-05
24.078737469943633	0.004145612802099119	1.7182388670191188e-05
24.19795597122633	0.0037807148163542686	1.3789896405695284e-05
24.317174472509027	0.003444737098878048	1.103719872564341e-05
24.436392973791726	0.0031355033266938243	8.809999685574684e-06
24.55561147507442	0.002851028806045922	7.013114170858432e-06
24.674829976357113	0.0025894960897698987	5.567532450811221e-06
24.794048477639812	0.002349234246834803	4.407885605502801e-06
24.913266978922508	0.0021287013124678	3.4802664314318253e-06
25.032485480205207	0.0019264694868557123	2.740363843783282e-06
25.151703981487902	0.0017412126905643132	2.151872284290585e-06
25.270922482770594	0.00157169612453734	1.6851411273599932e-06
25.390140984053296	0.0014167675211498526	1.3160324870579408e-06
25.509359485335988	0.0012753498096590068	1.0249591046264438e-06
25.628577986618687	0.001146434954170335	7.960771063908494e-07
25.747796487901383	0.001029078754535964	6.166113294177338e-07
25.867014989184078	0.0009223964303510572	4.7629361140417173e-07
25.986233490466777	0.0008255588351886159	3.6689690535138985e-07
26.10545199174947	0.0007377891725646777	2.8185032786595367e-07
26.224670493032164	0.0006583601067359458	2.1592226740529882e-07
26.343888994314863	0.0005865911805528177	1.6496048370575041e-07
26.46310749559756	0.0005218464692327412	1.2567973073520202e-07
26.582325996880257	0.0004635324133332117	9.548884524014767e-08
26.701544498162953	0.00041109578651525233	7.235047528381995e-08
26.820762999445645	0.0003640217640930553	5.4667695780595814e-08
26.939981500728344	0.0003218320670705641	4.1192683627085125e-08
27.05920000201104	0.0002840831635251908	3.095342140010588e-08
27.178418503293738	0.000250364515032748	2.3195077541596974e-08
27.297637004576433	0.0002202968604507562	1.733328767407726e-08
27.416855505859125	0.00019353053301586116	1.291705106354487e-08
27.536074007141828	0.00016974380947266254	9.599365098926678e-09

#[[Data]] m
#r / nm	SLD / 1e-6 A-2	SLDmag / 1-6 A-2
-8.110257876384336	2.079039227748722	0.0
-7.99103937510164	2.079050808429941	0.0
-7.871820873818945	2.0790655546406676	0.0
-7.752602372536248	2.0790842576618846	0.0
-7.633383871253552	2.0791078861361627	0.0
-7.514165369970856	2.0791376205183	0.0
-7.3949468686881605	2.079174892926311	0.0
-7.275728367405463	2.0792214329419036	0.0
-7.156509866122766	2.0792793198970454	0.0
-7.037291364840071	2.079351042150833	0.0
-6.9180728635573745	2.0794395638042733	0.0
-6.798854362274679	2.0795483992154833	0.0
-6.679635860991982	2.0796816955597213	0.0
-6.5604173597092865	2.0798443235231825	0.0
-6.44119885842659	2.0800419760227102	0.0
-6.321980357143894	2.0802812746018176	0.0
-6.202761855861198	2.080569882864231	0.0
-6.083543354578501	2.080916625967772	1.678647990884319e-17
-5.964324853295805	2.08133161481388	1.678647990884319e-17
-5.845106352013109	2.081826373132977	3.357295981768638e-17
-5.725887850730413	2.0824139651870115	8.393239954421595e-17
-5.606669349447716	2.0831091212940147	1.5107831917958871e-16
-5.48745084816502	2.0839283578342354	3.0215663835917743e-16
-5.3682323468823245	2.0848900878350882	5.707403169006685e-16
-5.249013845599628	2.086014717667439	1.1079076739836507e-15
-5.129795344316932	2.08732472483651	2.098309988605399e-15
-5.010576843034236	2.0888447113374546	3.961609258486993e-15
-4.891358341751539	2.090601426591953	7.436410599617534e-15
-4.772139840468843	2.092623753613485	1.3882418884613318e-14
-4.652921339186147	2.0949426517927163	2.571688722034777e-14
-4.5337028379034505	2.0975910495788503	4.7354659822846644e-14
-4.414484336620754	2.1006036803862047	8.66350228095397e-14
-4.295265835338059	2.1040168553048857	1.5745718154494914e-13
-4.1760473340553625	2.1078681666651145	2.842622507763506e-13
-4.056828832772666	2.112196117217918	5.098389677913854e-13
-3.93761033148997	2.117039670666785	9.084339332268669e-13
-3.818391830207274	2.1224377205254465	1.6080608428676336e-12
-3.6991733289245774	2.12842847578839	2.827850405443724e-12
-3.579954827641881	2.135048763676302	4.94041211549173e-12
-3.460736326359185	2.1423332517417144	8.574701802236192e-12
-3.341517825076489	2.1503135938632516	1.4785195774110905e-11
-3.2222993237937927	2.1590175070816215	2.532728980814343e-11
-3.103080822511097	2.168467788787182	4.3102795540255837e-11
-2.9838623212284006	2.178681286397266	7.287497736346186e-11
-2.864643819945704	2.1896678342913964	1.2240776688688044e-10
-2.7454253186630075	2.2014291753256794	2.042673047460328e-10
-2.6262068173803117	2.213957886639229	3.3864883417893126e-10
-2.5069883160976154	2.22723633160677	5.577798114926489e-10
-2.387769814814919	2.2412356615926243	9.127254639614822e-10
-2.2685513135322233	2.255914892534256	1.483827781301385e-09
-2.149332812249527	2.271220082246098	2.3965946407223225e-09
-2.030114310966831	2.287083634613052	3.845699235816187e-09
-1.9108958096841349	2.3034237564769247	6.130948265619718e-09
-1.7916773084014381	2.320144091963286	9.710768712334526e-09
-1.6724588071187427	2.337133557224577	1.5281123802788313e-08
-1.5532403058360458	2.3542663960833745	2.3891030328194686e-08
-1.434021804553349	2.3714024738662465	3.7110313777168356e-08
-1.3148033032706536	2.3883878228673923	5.7271278771409654e-08
-1.1955848019879567	2.405055448440614	8.781406408182051e-08
-1.0763663007052613	2.421226399781437	1.3377616653116437e-07
-0.9571477994225646	2.4367111041442566	2.024806466010011e-07
-0.8379292981398692	2.451310957678782	3.0449567447682654e-07
-0.7187107968571723	2.4648201604193374	4.5496125756196496e-07
-0.5994922955744769	2.477027777385762	6.754082191935113e-07
-0.48027379429178013	2.487720002429444	9.962308441784844e-07
-0.3610552930090833	2.4966825965575516	1.4600191397216152e-06
-0.2418367917263879	2.503703468163294	2.1260103646802733e-06
-0.12261829044369107	2.5085753590388435	3.075983133540951e-06
-0.003399789160995681	2.511098597390701	4.421991417432543e-06
0.11581871212170114	2.511083877429542	6.31641999525413e-06
0.23503721340439654	2.5083550245503012	8.964936404541746e-06
0.3542557146870934	2.5027517056972908	1.2643015189115159e-05
0.4734742159697888	2.4941320462229943	1.7716814855684567e-05
0.5926927172524856	2.482375117348755	2.4669291398514592e-05
0.7119112185351824	2.4673832621196277	3.413252755107741e-05
0.8311297198178778	2.4490842323598576	4.692733495210389e-05
0.9503482211005746	2.4274331143725507	6.411123577024158e-05
1.06956672238327	2.402414026730632	8.703593738480466e-05
1.1887852236659668	2.374041579176685	0.00011741536282938561
1.3080037249486622	2.3423620870536044	0.00015740517372755234
1.427222226231359	2.3074545404732163	0.00020969450352179217
1.546440727514056	2.2694313312398786	0.0002776102894731717
1.6656592287967513	2.2284387430420276	0.0003652341366275817
1.784877730079448	2.18465721130967	0.0004775310538338362
1.9040962313621435	2.1383013581806063	0.0006204886648302122
2.0233147326448404	2.0896198050885992	0.0008012646182295001
2.142533233927536	2.0388947605706673	0.0010283389109654773
2.2617517352102325	1.9864413741218747	0.0013116667246771503
2.3809702364929293	1.9326068386032942	0.0016628261916977612
2.5001887377756247	1.8777692143062692	0.002095154309609953
2.6194072390583214	1.8223359379437967	0.0026238630782311305
2.738625740341017	1.7667419703902776	0.0032661269213008284
2.857844241623714	1.7114475288706126	0.0040411316686652
2.9770627429064094	1.6569353435454053	0.004970074911502533
3.096281244189106	1.6037073761165697	0.006076107502012092
3.2154997454718015	1.5522809402079125	0.00738420644261658
3.3347182467544982	1.5031841707483826	0.00892097047635522
3.453936748037195	1.4569508030701948	0.01071433140499413
3.5731552493198904	1.414114242286442	0.012793176548111006
3.692373750602587	1.3752009296961931	0.015186880799423602
3.8115922518852825	1.3407230449842555	0.01792475037505867
3.9308107531679797	1.3111706198465887	0.02103538447267426
4.050029254450675	1.2870031788867689	0.024545965511700366
4.169247755733371	1.2686410652315843	0.028481493199330077
4.288466257016067	1.2564566489487232	0.032863982122314825
4.407684758298764	1.2507656533838745	0.03771164663303022
4.526903259581461	1.2518188652135942	0.04303810020085475
4.6461217608641565	1.2597945156406805	0.04885159886530757
4.765340262146852	1.2747916303098188	0.0551543597116489
4.884558763429548	1.2968246422290695	0.06194198519629143
5.003777264712245	1.3258195439391853	0.06920302254811682
5.122995765994942	1.3616118218842481	0.07691868431405084
5.242214267277639	1.4039463678342337	0.08506275144694284
5.3614327685603325	1.4524795006971412	0.09360167429203833
5.48065126984303	1.5067831594916363	0.10249487965121098
5.599869771125727	1.5663512478442199	0.11169528411309268
5.719088272408423	1.6306080260319296	0.12115000542259391
5.838306773691118	1.6989183626790636	0.13080125526134725
5.957525274973814	1.7705995792884845	0.14058738887644864
6.076743776256511	1.8449345512848707	0.1504440799723764
6.195962277539207	1.921185673190339	0.160305583572617
6.3151807788219045	1.9986092562616917	0.17010604549618358
6.434399280104598	2.076469906772272	0.17978081491957212
6.553617781387295	2.1540544333847707	0.1892677163359179
6.6728362826699925	2.2306848527908016	0.19850823908951018
6.792054783952689	2.305730102830423	0.20744860644422033
6.911273285235383	2.378616129358802	0.21604069161511288
7.03049178651808	2.4488340839378853	0.2242427550336231
7.149710287800777	2.5159464499989044	0.23201998493472406
7.268928789083473	2.579591000988727	0.23934483171014845
7.38814729036617	2.6394825805649154	0.24619713490978773
7.507365791648864	2.6954127776762635	0.2525640498530344
7.626584292931561	2.747247644322525	0.2584397881343829
7.745802794214258	2.794923667562784	0.26382519254010955
7.8650212954969545	2.8384422574155552	0.2687271717856783
7.984239796779649	2.8778630470974274	0.27315802388098953
8.103458298062346	2.913296321000016	0.27713467877439985
8.222676799345042	2.9448948892744413	0.28067789125186016
8.341895300627739	2.9728457170938722	0.28381141399354354
8.461113801910436	2.997361593509193	0.2865611784046793
8.58033230319313	3.0186730917227695	0.28895450757815944
8.699550804475827	3.037021032310511	0.29101938178242587
8.818769305758524	3.052649616257579	0.2927837724781309
8.937987807041221	3.0658003483892355	0.2942750563218389
9.057206308323915	3.076706826382321	0.29551951616125516
