#Rescaled data using rescaling tool version 1.0 
#Rescaled file: YF045_final.dat
#Scale Factor: 0.01
#Sigma Scale Factor: 0.0
#B /   T 	M / kAm-1 	sM / kAm-1 	sM_statistic / kAm-1
-0.0699	-157.913358648	0.25	0.25
-0.0724	-159.618725696	0.25	0.25
-0.0749	-161.682592743	0.25	0.25
-0.0774	-163.793559791	0.25	0.25
-0.0799	-165.325526838	0.25	0.25
-0.0824	-167.267393886	0.25	0.25
-0.0849	-168.730360933	0.25	0.25
-0.0874	-170.111827981	0.25	0.25
-0.0899	-171.440195028	0.25	0.25
-0.0924	-172.817662076	0.25	0.25
-0.0949	-174.347929123	0.25	0.25
-0.0974	-175.782296171	0.25	0.25
-0.0999	-176.988663218	0.25	0.25
-0.1497	-192.902066804	0.25	0.25
-0.1997	-201.363607754	0.25	0.25
-0.2498	-207.190267386	0.25	0.25
-0.2998	-210.540508336	0.25	0.25
-0.3497	-213.648330604	0.25	0.25
-0.3997	-215.393171554	0.25	0.25
-0.4498	-217.031431186	0.25	0.25
-0.4998	-218.018472136	0.25	0.25
-0.5497	-219.566494404	0.25	0.25
-0.5998	-219.330554036	0.25	0.25
-0.6498	-220.676194986	0.25	0.25
-0.6998	-220.939935936	0.25	0.25
-0.7498	-221.727476886	0.25	0.25
-0.7997	-221.767799154	0.25	0.25
-0.8498	-221.992258786	0.25	0.25
-0.8998	-222.702199736	0.25	0.25
-0.9497	-222.991232004	0.25	0.25
-0.9997	-222.780372954	0.25	0.25
-1.0997	-222.517144854	0.25	0.25
-1.1997	-222.981776754	0.25	0.25
-1.2997	-222.810658654	0.25	0.25
-1.3996	-222.287621872	0.25	0.25
-1.4997	-222.274722454	0.25	0.25
-1.5996	-223.609738672	0.25	0.25
-1.6996	-223.399849572	0.25	0.25
-1.7996	-223.281639472	0.25	0.25
-1.8996	-223.900981372	0.25	0.25
-1.8	-223.6539242	0.25	0.25
-1.7	-223.2954413	0.25	0.25
-1.5999	-222.387510718	0.25	0.25
-1.5	-222.8717385	0.25	0.25
-1.3999	-223.188187918	0.25	0.25
-1.3	-223.4606347	0.25	0.25
-1.2	-222.9288928	0.25	0.25
-1.1	-222.9696709	0.25	0.25
-0.9999	-223.080600318	0.25	0.25
-0.9499	-222.335989368	0.25	0.25
-0.8999	-222.080158418	0.25	0.25
-0.8499	-221.830577468	0.25	0.25
-0.7999	-222.202336518	0.25	0.25
-0.7499	-221.078795568	0.25	0.25
-0.7	-221.4764733	0.25	0.25
-0.6499	-220.695913668	0.25	0.25
-0.5999	-220.038872718	0.25	0.25
-0.5499	-219.277931768	0.25	0.25
-0.4999	-218.296890818	0.25	0.25
-0.4499	-216.780249868	0.25	0.25
-0.3999	-215.807408918	0.25	0.25
-0.3499	-213.822267968	0.25	0.25
-0.2999	-211.739827018	0.25	0.25
-0.2499	-207.829486068	0.25	0.25
-0.1999	-202.574445118	0.25	0.25
-0.1499	-193.725804168	0.25	0.25
-0.1	-177.9576819	0.25	0.25
-0.0974	-176.625796171	0.25	0.25
-0.0949	-175.217829123	0.25	0.25
-0.0924	-174.198962076	0.25	0.25
-0.0899	-172.766595028	0.25	0.25
-0.0874	-171.427727981	0.25	0.25
-0.0849	-169.757160933	0.25	0.25
-0.0824	-167.966193886	0.25	0.25
-0.0799	-166.920726838	0.25	0.25
-0.0774	-164.777359791	0.25	0.25
-0.0749	-163.129092743	0.25	0.25
-0.0724	-161.226225696	0.25	0.25
-0.0699	-159.205058648	0.25	0.25
-0.0674	-157.283691601	0.25	0.25
-0.0649	-154.584024553	0.25	0.25
-0.0624	-152.458957506	0.25	0.25
-0.0599	-149.486490458	0.25	0.25
-0.0574	-147.198523411	0.25	0.25
-0.0549	-144.081356363	0.25	0.25
-0.0524	-141.147489316	0.25	0.25
-0.0499	-138.050622268	0.25	0.25
-0.0474	-134.336755221	0.25	0.25
-0.0449	-130.528788173	0.25	0.25
-0.0424	-126.680421126	0.25	0.25
-0.0399	-122.713754078	0.25	0.25
-0.0374	-117.812087031	0.25	0.25
-0.0349	-113.124019983	0.25	0.25
-0.0324	-107.975952936	0.25	0.25
-0.0298	-102.145887206	0.25	0.25
-0.0274	-96.2961288406	0.25	0.25
-0.0248	-89.6470931112	0.25	0.25
-0.0224	-83.3938647456	0.25	0.25
-0.0199	-75.8131476981	0.25	0.25
-0.0174	-68.0551406506	0.25	0.25
-0.0149	-60.0833136031	0.25	0.25
-0.0124	-51.2784065556	0.25	0.25
-0.0099	-42.3346995081	0.25	0.25
-0.0074	-32.4662824606	0.25	0.25
-0.0048	-22.3988567312	0.25	0.25
-0.0039	-18.5726085941	0.25	0.25
-0.0029	-14.5005417751	0.25	0.25
-0.002	-10.372813638	0.25	0.25
-0.001	-5.962598819	0.25	0.25
0.0	-1.652174	0.25	0.25
0.001	2.729550819	0.25	0.25
0.0019	7.1648879561	0.25	0.25
0.0029	11.3245617751	0.25	0.25
0.0039	15.4006885941	0.25	0.25
0.0049	19.8088554131	0.25	0.25
0.0074	29.7384724606	0.25	0.25
0.0099	39.5742995081	0.25	0.25
0.0124	48.5995065556	0.25	0.25
0.0149	57.3555936031	0.25	0.25
0.0174	65.6614406506	0.25	0.25
0.0199	73.5109976981	0.25	0.25
0.0224	81.1039647456	0.25	0.25
0.0249	87.9780317931	0.25	0.25
0.0274	94.2345988406	0.25	0.25
0.0299	100.277015888	0.25	0.25
0.0324	105.928552936	0.25	0.25
0.0349	111.015619983	0.25	0.25
0.0374	116.273787031	0.25	0.25
0.0399	120.686654078	0.25	0.25
0.0424	124.983321126	0.25	0.25
0.0449	129.072288173	0.25	0.25
0.0474	133.010455221	0.25	0.25
0.0499	136.408822268	0.25	0.25
0.0524	139.639989316	0.25	0.25
0.0549	142.628856363	0.25	0.25
0.0574	145.352923411	0.25	0.25
0.0599	148.351790458	0.25	0.25
0.0624	150.646057506	0.25	0.25
0.0649	153.402524553	0.25	0.25
0.0674	155.881991601	0.25	0.25
0.0699	157.454958648	0.25	0.25
0.0724	159.800025696	0.25	0.25
0.0749	161.407692743	0.25	0.25
0.0774	163.803559791	0.25	0.25
0.0799	165.305526838	0.25	0.25
0.0824	166.982193886	0.25	0.25
0.0849	168.465460933	0.25	0.25
0.0874	170.566127981	0.25	0.25
0.0899	171.281295028	0.25	0.25
0.0924	173.029562076	0.25	0.25
0.0949	174.282729123	0.25	0.25
0.0974	175.521596171	0.25	0.25
0.0999	176.523963218	0.25	0.25
0.1499	192.743904168	0.25	0.25
0.1999	200.991545118	0.25	0.25
0.2499	206.908586068	0.25	0.25
0.2999	210.598927018	0.25	0.25
0.3499	212.915567968	0.25	0.25
0.3999	215.595608918	0.25	0.25
0.4499	216.735449868	0.25	0.25
0.4998	217.820972136	0.25	0.25
0.5499	218.481331768	0.25	0.25
0.5999	220.238472718	0.25	0.25
0.6498	220.380894986	0.25	0.25
0.6998	221.276035936	0.25	0.25
0.7499	221.622695568	0.25	0.25
0.7999	221.705436518	0.25	0.25
0.8498	222.393458786	0.25	0.25
0.8999	222.216768418	0.25	0.25
0.9499	222.378649368	0.25	0.25
0.9999	222.807610318	0.25	0.25
1.0998	223.392603536	0.25	0.25
1.1998	222.891485436	0.25	0.25
1.2997	223.000118654	0.25	0.25
1.3998	223.510699236	0.25	0.25
1.4998	223.296761136	0.25	0.25
1.5998	223.506594036	0.25	0.25
1.6997	223.264768254	0.25	0.25
1.7997	224.191668154	0.25	0.25
1.8997	224.497240054	0.25	0.25
