#Scaled file ./YF45_plus_1.2T_LA.dat
#Using factor: 0.8596564519696263
#q / A-1 	 I / cm-1 	 sI / cm-1 	 dI / cm-1
0.0286063	0.25266678573710466	0.005234087080333227	0.0038516
0.0304932	0.21418426466468435	0.004090606454181309	0.0038568
0.032183	0.18731742157127762	0.003871823887155039	0.00386032
0.0338738	0.16158618465092275	0.0036131188744993	0.0038631
0.0355654	0.1385190230752218	0.003370128381785565	0.00386534
0.0372577	0.11643616813702604	0.0031982400742142387	0.00386719
0.0391524	0.09204083734303196	0.002603753251419163	0.0038689
0.0410656	0.07578499173322192	0.00280676971911631	0.00387033
0.0427593	0.06540360848794632	0.0026751133334971615	0.0038714
0.0444531	0.052693845742511	0.002579571115425257	0.00387232
0.046147	0.043923974482097665	0.0024890406944683362	0.00387311
0.047841	0.03669598303393704	0.0023498967011525325	0.00387381
0.0495637	0.031164609559383678	0.0021221479173322193	0.00387442
0.0511369	0.02963596845649129	0.0019123057774064335	0.00387492
0.0529786	0.025215786911753867	0.0017467961207087216	0.00387994
0.0547917	0.024552132130833314	0.001889026280687096	0.00388765
0.0564798	0.021369426048706168	0.0018818051664905512	0.00389381
0.0581679	0.024770398903988404	0.0018838855351043175	0.00389916
0.0599982	0.024106314294841863	0.001734331102155162	0.00390423
0.0618265	0.02420190809230089	0.0018791918108765637	0.00390866
0.0635144	0.02720812670483867	0.001907457315017325	0.00391229
0.0653317	0.024900808787752193	0.0017449306662079473	0.00391577
0.0671711	0.027640018106308208	0.0019238939463789842	0.00391891
0.0689133	0.029009450834295826	0.0016437061189885239	0.00392158
0.0705955	0.02787066393237166	0.0016615697800604528	0.00392391
0.0722776	0.026376838915784042	0.0016492594996682477	0.00392604
0.0739596	0.028043196982281967	0.001661423638463618	0.00392798
0.075741	0.025906091042685476	0.0015489633814169514	0.00392986
0.0775329	0.026789474012729464	0.001653351464379623	0.00393159
0.0792142	0.028174036694271744	0.001646783689086575	0.00393869
0.0808951	0.024399199248027918	0.0016241145484481362	0.00394685
0.0825757	0.02491086676824024	0.0016118472508785296	0.00395425
0.0842559	0.021668156665765614	0.0016055631622146317	0.00396099
0.0860549	0.019328515666085077	0.0015002294571547932	0.00396757
0.0879771	0.019800123195635615	0.0014122522158602217	0.00397396
0.089696	0.01948213627405205	0.0014225337070257785	0.00397918
0.0914526	0.017188658825842282	0.0013368775381515248	0.0039841
0.0932129	0.016260229857715087	0.0013910272980610916	0.00398865
0.0948867	0.01482976152163763	0.001382980913670656	0.00399265
0.096645	0.013209824903546065	0.0013244469058560442	0.00399656
0.0984735	0.012964564917799131	0.0013161684142235766	0.00400033
0.100238	0.013200282716929202	0.0013841242567517755	0.00400371
0.10191	0.012765124620942177	0.0013871072646401102	0.0040067
0.103581	0.009866449030545794	0.001368684826874401	0.0040095
0.105251	0.010170509517607451	0.001361016691322832	0.00401822
0.10701	0.009409799523259528	0.001315729989433072	0.00402788
0.108771	0.0075968098557491455	0.00119408860147937	0.00403685
0.110573	0.009185859017521442	0.0012065278303393704	0.00404536
0.112374	0.008747606158307325	0.0012085308298724598	0.00405327
0.11411	0.010669196225395031	0.00125295787531025	0.00406037
0.115837	0.008476212616420516	0.0011925154301722655	0.00406699
0.117636	0.011340158086157326	0.0011960486181898607	0.00407344
0.119374	0.008508475523062935	0.001251401897132185	0.00407929
0.121035	0.009207780257046667	0.0012455648298233112	0.00408455
0.122769	0.009661335001105841	0.001201275329417836	0.00408973
0.124557	0.009978892094463421	0.0011923778851399504	0.00409476
0.126303	0.007401762403361758	0.001213585609810041	0.00409939
0.12794	0.009297786287567887	0.001153478430688325	0.00410351
0.129724	0.008305828707640135	0.0010790493750767946	0.00410796
0.131484	0.00828840347135871	0.0011463776683950557	0.00411932
0.133251	0.007599079348782347	0.001064289073796476	0.00413003
0.13508	0.009837048779888433	0.00111031508023493	0.00414044
0.136792	0.008409666610473546	0.0011461885439756224	0.00414962
0.138498	0.006876572487159954	0.0011082519047502027	0.00415826
0.140265	0.00622289831764677	0.00110974770697663	0.00416673
0.141973	0.008022838400216253	0.0011595562018037499	0.00417447
0.143619	0.0074252826038876465	0.0011437385230875091	0.00418156
0.145434	0.005174530081340771	0.0010375107753176221	0.00418897
0.147254	0.006131817716560588	0.0010163030506475316	0.00419601
0.149004	0.007184080196594009	0.0010759718049787434	0.00420244
0.150695	0.005916980972648859	0.00104069150418991	0.00420836
0.152437	0.007061458800285061	0.0010449897864497578	0.00421417
0.154222	0.0049566071707664704	0.0010124260000491485	0.00421984
0.155967	0.004495478853365444	0.0010789891991251567	0.0042274
0.157603	0.004853878224756101	0.0010810351814808444	0.00423876
0.159343	0.005719621044405672	0.0010165179647605238	0.00425025
0.161129	0.005320130094610867	0.0010402788690929644	0.00426145
0.162862	0.005768449530877546	0.0010533112609048241	0.00427177
0.164674	0.004873478391861008	0.0009986543036885952	0.00428204
0.166422	0.005129123027547735	0.0009903672154916079	0.00429148
0.168143	0.0048203000437421675	0.0009976656987688301	0.00430034
0.16986	0.004789309428648662	0.000990246863588332	0.00430879
0.171577	0.005711823960386307	0.000981048539552257	0.00431687
0.173286	0.0058942946388813805	0.0009841518993438676	0.00432456
0.175045	0.0044663450962081925	0.0009631590887867692	0.00433215
0.176878	0.0047926706853758634	0.0009433783938269481	0.0043397
0.17864	0.003949966658639078	0.0010149705831469786	0.00434665
0.180302	0.0028983919037672327	0.000990960378443467	0.00435295
0.182054	0.0029842629867544786	0.0009607864369793331	0.00436331
0.183813	0.0037813622387142757	0.0009378593994053031	0.0043763
0.185457	0.0046751814380851745	0.0009543905929766791	0.00438791
0.187237	0.004516428681099943	0.0008778209927997445	0.00439994
0.189074	0.004137311589216819	0.0009096454746516601	0.00441181
0.190845	0.0037251664964490206	0.0009043413943430075	0.00442276
0.192569	0.004201502136485391	0.0009296668734180326	0.00443298
0.194256	0.0050820138539798	0.0009292542383210872	0.00444258
0.195943	0.0031912252775661665	0.0009307672336765537	0.00445181
0.197742	0.0037504575892659676	0.0008622698075836138	0.00446126
0.199536	0.0034656448101639103	0.0009247926213353648	0.00447032
0.200453	0.0010856171503698425	0.0025144865254466374	0.00447481
