#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-7_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 12:41:09.566797
#Finished Fit at 2019-01-15 12:41:09.573967
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 4676
#    # variables        = 0
#    chi-square         = 10886.0815
#    reduced chi-square = 2.32807560
#    Akaike info crit   = 3951.41640
#    Bayesian info crit = 3951.41640
#[[Variables]]
#    Ms1:  206.4 (fixed)
#    mu1:  4140 (fixed)
#    Ms2:  38 (fixed)
#    mu2:  530 (fixed)
#    chi:  0.32 (fixed)
#    T:    300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.5084515625	-237.8774557351	1.9263868828	-240.7422352967386
-8.49855625	-240.839166023	1.5042412892	-240.731639686426
-8.4962003906	-239.7724756805	1.6527122874	-240.72911455089985
-8.4883128906	-239.9941391695	1.9870576001	-240.72065315213118
-8.4834984375	-241.0488948119	1.7416365077	-240.7154829705949
-8.4783148438	-243.0703509386	1.4119321889	-240.70991176523384
-8.4727484375	-239.8235926288	1.8407923693	-240.70392379124095
-8.4663230469	-240.3326730216	1.7567493554	-240.69700490049536
-8.4614628906	-239.5173630933	1.8190955426	-240.6917665555923
-8.4518027344	-240.2389744029	1.586790209	-240.68134212635798
-8.4517042969	-239.5373999075	1.9848113257	-240.6812358145956
-8.4409765625	-242.4723733415	1.7989677525	-240.66963948505506
-8.4405554688	-240.8909082506	1.376589776	-240.66918387330267
-8.430078125	-239.7760003381	1.8152796768	-240.65783735571927
-8.4262304687	-240.1169935804	1.6404056989	-240.65366551700515
-8.4178070312	-240.3361670694	1.4958366041	-240.6445229823964
-8.4124675781	-240.9890668401	1.7361061034	-240.638721021859
-8.4087179688	-240.0232491513	1.7984478439	-240.63464351149477
-8.4045773438	-240.4296680026	1.5860666825	-240.63013780810766
-8.3972457031	-240.8421850875	2.1816203684	-240.6221520432721
-8.3955667969	-240.6816687041	1.7503200688	-240.6203219601311
-8.3862414063	-238.1407025275	1.518723394	-240.61014744295306
-8.3855625	-240.3649437656	1.567435047	-240.60940609408954
-8.3755902344	-242.267218692	1.4828897609	-240.59850683718787
-8.3712351563	-240.0301640688	2.1754284959	-240.59374116298773
-8.361509375	-240.8576922208	1.9134435951	-240.58308575517765
-8.36011875	-242.272507339	2.145269799	-240.581560774915
-8.3502941406	-240.0843196686	1.3766771346	-240.57077671300019
-8.3488960937	-241.0391825913	2.0481255662	-240.56924067410145
-8.340075	-238.429770527	2.5963924635	-240.55954049175838
-8.3376246094	-239.7768979908	1.5645611404	-240.5568433185084
-8.3268988281	-240.9292435461	1.7447494828	-240.54502407686098
-8.3255484375	-241.9054345387	2.0134577469	-240.5435344864819
-8.3158933594	-238.3520381587	1.6742331944	-240.53287414610733
-8.3148265625	-237.8222993331	1.5062460987	-240.53169519837255
-8.3048367187	-239.5048089951	1.7831618216	-240.52064469442686
-8.3039300781	-241.8513685944	1.1881709658	-240.51964085699996
-8.2943394531	-240.1016331612	1.769985454	-240.5090125096714
-8.2929324219	-238.0850606828	1.7509462268	-240.50745176452273
-8.2821535156	-238.9753455132	1.5678154244	-240.49548277794472
-8.2775769531	-239.7528121115	1.7661460363	-240.49039421475044
-8.2689503906	-238.620064795	1.8492300758	-240.4807916524679
-8.26784375	-239.5269681989	2.5582300204	-240.47955877449192
-8.2570933594	-239.0433053341	2.3672190119	-240.467569800522
-8.2561546875	-242.7396946756	1.8801473119	-240.46652192472828
-8.2461132813	-240.1738465438	1.71227729	-240.45530166666066
-8.2447277344	-240.5165070683	1.6481461122	-240.45375192656883
-8.2343832031	-235.9141832652	1.7477259592	-240.44216975766628
-8.2339644531	-240.731986944	1.5875017395	-240.44170046998588
-8.224434375	-240.0715429746	2.0396281935	-240.43101100493152
-8.2228992187	-238.7628448007	2.0599206648	-240.42928743228845
