#File generated by ModelExp v0.7.2
#Read datafile: ../../rawdata/dd144_dry_BGLinSub.xy
#Started Fit at 2019-01-17 13:06:01.078213
#Finished Fit at 2019-01-17 13:06:01.095430
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 352
#    # variables        = 5
#    chi-square         = 175830.764
#    reduced chi-square = 506.716900
#    Akaike info crit   = 2197.20342
#    Bayesian info crit = 2216.52157
#[[Variables]]
#    Ms1:  11.3264645 +/- 0.10902757 (0.96%) (init = 11.32661)
#    mu1:  25600.9638 +/- 264.306611 (1.03%) (init = 25600.65)
#    Ms2:  12.9819615 +/- 0.08829429 (0.68%) (init = 12.98191)
#    mu2:  3604.77401 +/- 64.8894282 (1.80%) (init = 3604.686)
#    chi:  3.12331096 +/- 0.04801167 (1.54%) (init = 3.123265)
#    T:    295 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms1, mu1) = -0.923
#    C(Ms1, mu2) = -0.879
#    C(mu2, chi) =  0.769
#    C(mu1, Ms2) =  0.728
#    C(mu1, mu2) =  0.688
#    C(Ms1, Ms2) = -0.650
#    C(Ms1, chi) = -0.519
#    C(mu1, chi) =  0.363
#    C(Ms2, chi) = -0.287
#    C(Ms2, mu2) =  0.255

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-0.065	-10.780245	0.005	-10.81789466222253
-0.0648	-10.7259236	0.005	-10.801599489829133
-0.0625	-10.5597925	0.005	-10.610304432919927
-0.0623	-10.5002011	0.005	-10.593319939849527
-0.06	-10.32877	0.005	-10.39373629020688
-0.0597	-10.2694029	0.005	-10.367105932877134
-0.0573	-10.0704551	0.005	-10.148792695084811
-0.0572	-10.0278574	0.005	-10.139486076298322
-0.055	-9.842844	0.005	-9.930240115739156
-0.0547	-9.7834879	0.005	-9.901018531709392
-0.0523	-9.5641751	0.005	-9.660944685444463
-0.0522	-9.5285754	0.005	-9.650690327889224
-0.0499	-9.3160913	0.005	-9.408969983202056
-0.0497	-9.2578979	0.005	-9.387402740832021
-0.0475	-9.0399205	0.005	-9.144052730417403
-0.0472	-8.9791634	0.005	-9.109973541547147
-0.045	-8.751312	0.005	-8.853139395808729
-0.0447	-8.6902009	0.005	-8.817143263951925
-0.0425	-8.4472695	0.005	-8.545661763001048
-0.0422	-8.3840384	0.005	-8.507586728622567
-0.04	-8.127747	0.005	-8.220251591869781
-0.0397	-8.0652339	0.005	-8.179931201794126
-0.0372	-7.7344834	0.005	-7.832782639759964
-0.0372	-7.7699574	0.005	-7.832782639759964
-0.0349	-7.4489663	0.005	-7.495002874175945
-0.0347	-7.3865559	0.005	-7.46476141471344
-0.0324	-7.0848268	0.005	-7.106611609539958
-0.0322	-7.0182334	0.005	-7.074548675530627
-0.0299	-6.6996693	0.005	-6.694918528962218
-0.0297	-6.6355389	0.005	-6.660943996556216
-0.0275	-6.2974365	0.005	-6.2768115629350785
-0.0272	-6.2324614	0.005	-6.222934145464192
-0.0249	-5.8686323	0.005	-5.797762134062129
-0.0247	-5.8048279	0.005	-5.759771618756102
