#Superball Data generated at 2019-01-17 11:15:01.180923
#[[Parameters]]
#particleSize	61.146638
#dShell	35.6757557
#dSurfactant	14.1
#pVal	2.17635593
#sldCore	8.34845e-06
#sldShell	6.9992e-06
#sldSurfactant	7.8e-08
#sldSolvent	5.664e-06
#sigParticleSize	0.07531189
#i0	0.05571249
#bg	0.0
#orderHermite	10
#orderLegendre	10
#dTheta_sa	0.00150471
#wavelength	5.9984
#dWavelength	0.04247
#dTheta_la	0.00270328
#
#[[Data]] sa
#q	I
0.00382446	1.424133911450787
0.00434586	1.4023936975822138
0.004846	1.380695945250531
0.00532187	1.359205424276044
0.00581188	1.3362056771416855
0.00628665	1.3129981119203191
0.00676881	1.2884972603528027
0.00724839	1.2631637062323389
0.00772839	1.236847296061008
0.0082033	1.2098649870545821
0.00867188	1.1823391783570951
0.00915389	1.153420312039567
0.00962922	1.1238150820186552
0.0101087	1.09316789424423
0.0105864	1.0619184647316573
0.0110641	1.0300302206936582
0.0115396	0.9972774224463563
0.0120182	0.9642819629659627
0.012494	0.9310737344920174
0.0129722	0.8973840366573005
0.0134478	0.8636431315639937
0.01392	0.8303548005618504
0.0143967	0.7963601263148712
0.0148725	0.7624680551877094
0.0153512	0.7285014626911328
0.0158253	0.6950386037239434
0.0163032	0.6615973643460351
0.0167791	0.6286397325629789
0.0172555	0.596077027699551
0.0177312	0.5640587707231984
0.0182089	0.5324826137320189
0.0186848	0.5016631600566791
0.0191702	0.47094794851459904
0.0196616	0.440666509169385
0.020145	0.4117504195358413
0.0206274	0.383639533619341
0.0211101	0.35661406834525916
0.021589	0.3307704130690441
0.0220681	0.3057639766826492
0.0225489	0.2818618644567638
0.0230275	0.25912835186275546
0.0235058	0.23767380351459258
0.0239863	0.2173047833889532
0.0244643	0.1982355027591341
0.0249422	0.18038517427570563
0.0254191	0.16379033671158888
0.0258967	0.1483982254004822
0.0263744	0.13421452044775445
0.0268521	0.12122450743465725
0.0273284	0.10969288432412089
0.0278058	0.09897208718040452
0.0282833	0.08930479745932048
0.0287593	0.08065261865316711
0.0292365	0.07289803209397884
0.0297161	0.0659522086160531
0.0300673	0.061297105777517194
#
#[[Data]] la
#q	I
0.0208221	0.37458695781129253
0.0237754	0.2566633678052679
0.0264603	0.17181531861597135
0.0290488	0.11518601619053431
0.0316867	0.08117180460738233
0.0344207	0.06937972438619015
0.0371929	0.07612406418347728
0.0399987	0.0947574635820179
0.0427624	0.1173844738707448
0.0454225	0.1373280841055714
0.0480106	0.15112010209254392
0.0507024	0.1570819070169357
0.0532655	0.15464434888545203
0.0558114	0.14491616987636002
0.0583969	0.129142187757458
0.0610491	0.10930727794837218
0.0635967	0.08898466755047871
0.0661067	0.06976110995894487
0.0686525	0.05265916735381807
0.0711974	0.03899371545377139
0.0737298	0.029268407558879366
0.0762477	0.02334205016974416
0.0787897	0.02064383014902605
0.0813184	0.020463625131654076
0.0838339	0.02189516932343863
0.0863726	0.024094669777012107
0.0889103	0.02632135662902447
0.0916365	0.028052823513819686
0.0943702	0.02875932348209032
0.097026	0.028341270914378453
0.099645	0.026960541213132766
0.10233	0.02476528405948122
0.105094	0.022076224576062564
0.107828	0.019308312747248764
0.110503	0.016781928687378322
0.11314	0.01466143326837675
0.11577	0.013013678160387053
0.118389	0.011857935671470215
0.120989	0.011147708309037292
0.1236	0.010786982027796498
0.126203	0.01066709033419381
0.128774	0.010680059561106996
0.131333	0.010736416966536289
0.133904	0.010739747670525926
0.136496	0.01065114852579225
0.139024	0.010444135611466999
0.141536	0.010126109387965107
0.144184	0.009678002329273343
0.146881	0.009120102325635086
0.149535	0.00851400851771798
0.152115	0.007886025589067291
0.154827	0.0072228979589419005
0.157586	0.006554753460960237
0.159565	0.006085457228413019
