#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 16
#    # data points      = 15
#    # variables        = 2
#    chi-square         = 9.96562649
#    reduced chi-square = 0.76658665
#    Akaike info crit   = -2.13362571
#    Bayesian info crit = -0.71752531
#[[Variables]]
#    N:       1 (fixed)
#    logmu:   10.9039084 +/- 0.04164245 (0.38%) (init = 11)
#    logstd:  0.08809613 +/- 0.00273246 (3.10%) (init = 0.1)

#bin_center	count	error
7.710773553333333	0.004931109377581437	0.004931109377581437
8.21775886	0.004931109377581437	0.004931109377581437
8.724744166666667	0.019724437510325748	0.009862218755162874
9.231729473333333	0.08875996879646586	0.020920925277962455
9.73871478	0.1873821563480946	0.03039739969733464
10.245700086666666	0.3599709845634449	0.04213141699062619
10.752685393333334	0.36983320331860775	0.042704659898251965
11.2596707	0.3451776564307006	0.04125662102689714
11.766656006666667	0.3353154376755377	0.04066296963048405
12.273641313333334	0.15286439070502453	0.027455255061714853
12.78062662	0.06410442190855868	0.017779367705791187
13.287611926666665	0.01479332813274431	0.00854093197965039
13.794597233333333	0.01479332813274431	0.00854093197965039
14.30158254	0.004931109377581437	0.004931109377581437
14.808567846666667	0.004931109377581437	0.004931109377581437
