#Data reduced with Dominiques SARed v. 1.0
#wavelength: 5.1386
#q/A-1 	 Icorr/a.u. 	 sIcorr /a.u. 	Ispec/a.u. 	 sIspec/a.u. 	 Ibg/a.u. 	 sIbg/a.u. 	 2th/°
0.0	0.003879202633804687	0.0005178187919849299	0.005456326009707234	0.00018513043575917474	0.001577123375902547	0.000483593861714921	0.0
0.00034145415721603483	0.011552495468141737	0.0014796805864682528	0.01740824998260133	0.0003305575441576686	0.005855754514459593	0.0014422851132738922	0.016000000000000014
0.000682908307775245	0.01444613050483941	0.0022117729092688146	0.023397785146143074	0.00038293259584544444	0.008951654641303665	0.0021783714167273004	0.03200000000000003
0.0010243624450208065	0.010940185173425451	0.0020408154528419467	0.01920315500614725	0.00034653809795443636	0.008262969832721798	0.0020111785249511296	0.04800000000000004
0.0013658165622958943	0.008363005128983105	0.0014086018972211045	0.013997704592441014	0.00029556699659107907	0.005634699463457908	0.0013772434263342934	0.06400000000000006
0.0017072706529436851	0.010381717374580738	0.0007970570993286503	0.013423629863760157	0.00028917584224476755	0.0030419124891794182	0.0007427498581973822	0.08000000000000007
0.002048724710307356	0.016116244827207436	0.0004861944238783555	0.01758924185903389	0.0003307485866688037	0.0014729970318264555	0.00035635711053239115	0.09600000000000009
0.002390178727730083	0.024439180542501715	0.0004326079488239023	0.025189274624163902	0.0003954974510918135	0.0007500940816621881	0.00017530374658147692	0.1120000000000001
0.002731632698555046	0.03277396538132025	0.0004715496916223406	0.033326681738843664	0.00045457642614101125	0.0005527163575234125	0.00012537696944012585	0.1280000000000001
0.003073086616125423	0.03951021911913377	0.0005168277352844864	0.04012181089696305	0.0004983538301625561	0.0006115917778292815	0.00013694658784212671	0.14400000000000013
0.0034145404737843947	0.04449128111013429	0.000553997025225371	0.04525568419167366	0.0005287584209635911	0.0007644030815393719	0.00016530951641889879	0.16000000000000014
0.0037559942648751404	0.04865069104519507	0.0005921171778907777	0.04962276829256794	0.0005530575341301419	0.0009720772473728672	0.00021149495572052229	0.17600000000000016
0.004097447982740846	0.05286924620520109	0.0006307756641758855	0.0540708877831084	0.0005765470202328084	0.001201641577907312	0.0002558739376669673	0.19200000000000017
0.0044389016207246924	0.05720281792989827	0.0006732863790391176	0.05870023559188442	0.0005998814331159058	0.0014974176619861478	0.00030570707286946015	0.20800000000000018
0.004780355172169867	0.061721727425584266	0.0007197114222820211	0.06352638519198453	0.0006232399535761367	0.0018046577664002647	0.0003599395666353239	0.2240000000000002
0.005121808630419555	0.06568095223283377	0.0007565262959308616	0.0677223029471257	0.0006426934975981269	0.002041350714291928	0.00039909535775295115	0.2400000000000002
0.005463261988816949	0.0686407450872188	0.0007981174905587202	0.0709827068581047	0.0006572132296852221	0.002341961770885895	0.00045283804992786117	0.2560000000000002
0.005804715240705238	0.07241649379877693	0.0008489210371403666	0.07510074610379203	0.0006752285160468281	0.0026842523050150955	0.0005145224761044692	0.27200000000000024
0.006146168379427613	0.07662356446088067	0.0008936283462423826	0.07957420211096426	0.0006941719824469239	0.0029506376500835862	0.000562758278476295	0.28800000000000026
0.006487621398327273	0.08065397797246217	0.0009429351045841087	0.083935792736203	0.0007119129939295024	0.0032818147637408224	0.0006183093890047088	0.30400000000000027
0.006829074290747414	0.08476561045761918	0.0009861849898902078	0.08834114763923531	0.000729161437754007	0.003575537181616124	0.0006639912890823633	0.3200000000000003
0.007170527050031234	0.08866022585518471	0.001031922551803731	0.09252865007738575	0.0007450437664416628	0.003868424222201047	0.0007139845509585938	0.3360000000000003
0.007511979669521937	0.09227899150037351	0.0010834587047311643	0.09645105218711209	0.0007595892883461645	0.0041720606867385705	0.0007725974876269658	0.3520000000000003
0.00785343214256273	0.0951249782845946	0.001116914739573917	0.09953549849695562	0.0007705982328533667	0.004410520212361024	0.0008085028750726488	0.3680000000000003
0.008194884462496822	0.09732271812993001	0.0011706880774138661	0.10213362886720297	0.0007796200342899659	0.0048109107372729595	0.0008733287907384518	0.38400000000000034
0.00853633662266742	0.09785598560858481	0.0012175389996929365	0.10304132339323252	0.0007821876589518909	0.00518533778464771	0.0009330507392187399	0.40000000000000036
0.008877788616417743	0.09620155545185662	0.0012711131621817504	0.10178162677154928	0.0007765474647313861	0.005580071319692673	0.0010063313103004126	0.41600000000000037
0.009219240437091004	0.09476580644330398	0.001303680011460988	0.10056367108472572	0.0007709973153445752	0.005797864641421742	0.0010512586323138467	0.4320000000000004
0.009560692078030425	0.09695154896134868	0.0013245642083867264	0.10282778960879152	0.0007786136809450567	0.005876240647442843	0.0010715554479280782	0.4480000000000004
0.009902143532579236	0.10527599532504489	0.0013908423219601387	0.11141461613320211	0.0008094201055347936	0.006138620808157217	0.0011310532513155662	0.4640000000000004
0.010243594794080657	0.11771732806584569	0.001446913576097865	0.1240170846350956	0.0008529689860884253	0.006299756569249916	0.0011687612268840868	0.4800000000000004
0.010585045855877929	0.12953718280305182	0.001535978390865849	0.1361845952730832	0.0008928552639851721	0.00664741247003136	0.0012498156243145673	0.49600000000000044
0.010926496711314277	0.1389904666781712	0.0016452939126714054	0.1461540927841915	0.0009239211566837677	0.007163626106020297	0.0013613822957956045	0.5120000000000005
0.011267947353732948	0.1424213850468855	0.0017596238242042874	0.1501404715208923	0.0009352489576276272	0.007719086474006789	0.0014904983696615564	0.5280000000000005
0.011609397776477185	0.13902377402610638	0.0018306998542905219	0.14714368306526981	0.0009245958170378153	0.008119909039163426	0.0015800583950017523	0.5440000000000005
0.011950847972890236	0.12881050762246812	0.0017103323193218205	0.13651855420330683	0.0008893739469629428	0.007708046580838712	0.0014609074662620882	0.5600000000000005
0.01229229793631535	0.11056325428621236	0.0015074043499559034	0.11743891418879387	0.0008238547201334787	0.006875659902581519	0.001262351486068665	0.5760000000000005
0.012633747660095791	0.08893453084489003	0.0013248742749139622	0.09506350512350745	0.000740448758498463	0.006128974278617418	0.00109864802387611	0.5920000000000005
0.012975197137574815	0.06901430051578873	0.0011819290965192689	0.07453597604284093	0.0006550108039553445	0.005521675527052192	0.000983827848711668	0.6080000000000005
0.01331664636209569	0.05479565213194604	0.0010705604915572295	0.05981013707414491	0.0005860898131629799	0.005014484942198876	0.0008958786173304061	0.6240000000000006
0.013658095327001692	0.048653456627502575	0.001017908798075178	0.05340221300374222	0.0005530122916154806	0.004748756376239644	0.0008545851195293822	0.6400000000000006
0.013999544025636088	0.05138623303444774	0.0010264835306978534	0.05610252139697269	0.0005659225951922482	0.0047162883625249535	0.0008563877947780444	0.6560000000000006
0.01434099245134217	0.06465013369442565	0.0010853381263829505	0.06947878709142513	0.0006288529290270256	0.00482865339699947	0.0008845919071722191	0.6720000000000006
0.01468244059746322	0.0878454400854783	0.0012182505299169794	0.09311463993029678	0.0007270969950433477	0.0052691998448184865	0.0009774785488397865	0.6880000000000006
0.015023888457342531	0.11545894552444963	0.0014034023113266053	0.1214615282185182	0.0008295628917075325	0.00600258269406857	0.0011319732576959116	0.7040000000000006
0.015365336024323401	0.13494397897369337	0.0015802721623028536	0.14179745499495455	0.0008953783984604771	0.0068534760212611715	0.0013021357957293423	0.7200000000000006
0.015706783291749137	0.1345905486415069	0.0016597031730562972	0.14207064285587145	0.0008953039747261354	0.007480094214364552	0.0013975140126283973	0.7360000000000007
0.016048230252963046	0.11342127763479211	0.0015462937540819807	0.12067762123729867	0.0008243582846517535	0.0072563436025065604	0.001308226965185691	0.7520000000000007
0.016389676901308443	0.08088836909519678	0.0012922053529446952	0.08706731060969963	0.0006995569840356754	0.006178941514502857	0.0010864689136214777	0.7680000000000007
0.01673112323012865	0.051176722469593774	0.0010123757285633046	0.05599239461833202	0.0005604552014545658	0.004815672148738247	0.0008430863437078103	0.7840000000000007
0.017072569232766996	0.030547395822184572	0.0007520530203483557	0.03404108125105476	0.0004365423354252728	0.0034936854288701883	0.0006123843031924749	0.8000000000000007
0.017414014902566815	0.017960899774155343	0.0005678498664781759	0.020549841688312635	0.0003388216793442117	0.0025889419141572924	0.00045568996090066596	0.8160000000000007
0.017755460232871452	0.011275923725684119	0.000441538006812127	0.01323646264115847	0.00027164556839862417	0.001960538915474351	0.0003480869095915764	0.8320000000000007
0.018096905217024246	0.007848457892856075	0.0003534947984373664	0.009373657032003994	0.00022837167010120852	0.001525199139147919	0.0002698239292899336	0.8480000000000008
0.01843834984836856	0.0061103415524972815	0.0003084811041789841	0.007429082524400499	0.00020305224765439166	0.0013187409719032173	0.00023222914622842856	0.8640000000000008
0.018779794120247748	0.005463293593110485	0.00028904634269513507	0.006692978789102589	0.0001924078387148356	0.0012296851959921035	0.0002157012096083823	0.8800000000000008
0.01912123802600518	0.00618336971412836	0.00029919139159496276	0.007440299766879536	0.00020248835553153972	0.0012569300527511761	0.0002202588356426664	0.8960000000000008
0.019462681558984233	0.008891406052767075	0.00032406345937405033	0.01015188894915195	0.00023611291224590213	0.0012604828963848748	0.0002219635519003868	0.9120000000000008
0.019804124712528293	0.01390623698160399	0.0003644346291254161	0.015170173145842784	0.0002882370362596941	0.0012639361642387953	0.00022300674840463325	0.9280000000000008
0.020145567479980742	0.02013704889366256	0.0004129070796901055	0.02144783235369011	0.0003423819685990365	0.001310783460027551	0.0002307961092316323	0.9440000000000008
0.02048700985468498	0.025183896048572664	0.00044660244362388306	0.026520715269975317	0.00038037838174174445	0.0013368192214026544	0.00023402142926312402	0.9600000000000009
0.02082845182998442	0.025776199818254398	0.00044490109536175646	0.027061262336948597	0.0003839034820933212	0.0012850625186941991	0.0002248446154363357	0.9760000000000009
0.02116989339922247	0.021245558540646376	0.0003994704259952192	0.02235330559087772	0.00034862646517113533	0.001107747050231343	0.0001950287389773135	0.9920000000000009
0.021511334555742535	0.014991209730907864	0.0003372960502153039	0.015915771392542112	0.00029393749343051734	0.0009245616616342476	0.00016543692286375921	1.008000000000001
0.02185277529288807	0.009838968916614569	0.0002755246456329433	0.010600364625326838	0.00023966065775147023	0.000761395708712269	0.00013592865583566857	1.024000000000001
0.022194215604002494	0.006341614539655803	0.00022503441794985407	0.006969342638611176	0.0001940918529692428	0.0006277280989553722	0.00011388082311344366	1.040000000000001
0.02253565548242926	0.004453301950325547	0.00019616176942892585	0.005031533963905755	0.00016468232170193417	0.000578232013580208	0.00010657941970356064	1.056000000000001
0.022877094921511826	0.0039011121042762	0.00017970921745733283	0.004404913129034569	0.00015387803311943678	0.0005038010247583693	9.282754851023728e-05	1.072000000000001
0.023218533914593643	0.0037626137216789837	0.00017161226825829052	0.0042161773399063225	0.00015035792294877936	0.0004535636182273388	8.272403292444342e-05	1.088000000000001
0.023559972455018188	0.003720714761011066	0.00017202675163982846	0.00418596170605876	0.00014960812623675756	0.00046524694504769407	8.491532160733795e-05	1.104000000000001
0.02390141053612894	0.004444333299509526	0.00018428182225266136	0.00492598019737253	0.00016204606428505934	0.0004816468978630038	8.775456149103531e-05	1.120000000000001
0.024242848151269387	0.006323885114554977	0.00021465836970215914	0.006848534249832711	0.00019077760632090022	0.000524649135277734	9.839776730016003e-05	1.136000000000001
0.024584285293783033	0.01011601871930127	0.00026819678349492915	0.010758672984054534	0.00023882556266915104	0.0006426542647532637	0.00012203223054910254	1.152000000000001
0.024925721957013376	0.01633346601804893	0.0003360260110818053	0.017123862130418544	0.0003010400263036899	0.0007903961123696154	0.00014929294252114946	1.168000000000001
0.02526715813430394	0.024537310655195523	0.0004036899210710651	0.025432815133956704	0.0003665969490006754	0.0008955044787611831	0.00016903321968701586	1.184000000000001
0.025608593818998247	0.0331129790100845	0.00045990748828052415	0.034060711918552804	0.0004239149151196833	0.0009477329084682976	0.00017835650399010444	1.200000000000001
0.025950029004439837	0.037182487159988016	0.00048361498232529337	0.038153332910843246	0.00044828394889129735	0.0009708457508552297	0.00018145234166556948	1.216000000000001
0.026291463683972244	0.03531135481529234	0.00046567051919680974	0.03617975415414457	0.0004361147286068178	0.000868399338852228	0.0001632573916894056	1.232000000000001
0.026632897850939034	0.029241452056823866	0.0004143565134812986	0.029889933473923845	0.0003959774769470523	0.0006484814170999804	0.00012203752707681454	1.248000000000001
0.02697433149868377	0.021075752954844	0.0003474698519482955	0.021554860629677375	0.00033590686720134293	0.00047910767483337456	8.889248888376189e-05	1.2640000000000011
0.027315764620550024	0.0139955360816032	0.0002819597815437008	0.014352311966385936	0.000273805940977085	0.0003567758847827365	6.731734615850909e-05	1.2800000000000011
0.02765719720988138	0.008985514098338799	0.00022649628681690925	0.009262912220315245	0.0002197260899604798	0.00027739812197644537	5.496374561951501e-05	1.2960000000000012
0.027998629260021446	0.00592776413055012	0.00018433542974231643	0.006147620428309086	0.00017880050707931802	0.0002198562977589661	4.483223534983749e-05	1.3120000000000012
0.02834006076431381	0.0041536757325430895	0.00015375370943356096	0.004329376993647672	0.00014987813346848265	0.0001757012611045831	3.430376469986332e-05	1.3280000000000012
0.028681491716102115	0.003089398972018316	0.00013529975400089185	0.00327706732475242	0.00013025182349563492	0.00018766835273410445	3.6612646841819874e-05	1.3440000000000012
0.02902292210872996	0.0024935055055419677	0.0001248041327608532	0.0027019005829640374	0.0001181329576688097	0.00020839507742206954	4.025761873990924e-05	1.3600000000000012
0.029364351935540996	0.0020571003283976924	0.00011300871952611317	0.0022413164575997907	0.00010748720407147907	0.00018421612920209844	3.4892286394387024e-05	1.3760000000000012
0.02970578118987888	0.001615011291077968	0.00010026114582943729	0.0017708534146415745	9.544238839378833e-05	0.0001558421235636066	3.0709084335436496e-05	1.3920000000000012
0.03004720986508726	0.0013081895104006625	9.060607312202243e-05	0.001447845134641385	8.619400222040121e-05	0.0001396556242407225	2.7929455200965635e-05	1.4080000000000013
0.030388637954509818	0.0011000441847604802	8.240468247656369e-05	0.0012199845101742487	7.901424657080933e-05	0.00011994032541376852	2.3394027718856575e-05	1.4240000000000013
0.03073006545149023	0.001121678850462124	8.278527333976859e-05	0.0012370418794285538	7.946322817142808e-05	0.0001153630289664297	2.321630570344384e-05	1.4400000000000013
0.0310714923493722	0.0012101208201371664	8.434415655578642e-05	0.0013102396571297494	8.169829933612769e-05	0.00010011883699258313	2.096007229690501e-05	1.4560000000000013
0.03141291864149943	0.0013455933424174166	8.689918986909733e-05	0.0014297126299593645	8.526305727212368e-05	8.411928754194778e-05	1.678333293824516e-05	1.4720000000000013
0.03175434432121564	0.0014904004088966236	9.143787501789148e-05	0.0015818102899340394	8.96174953524892e-05	9.14098810374157e-05	1.8154600368339647e-05	1.4880000000000013
0.03209576938186455	0.001408728264991394	8.930210951054819e-05	0.001500629554016544	8.722637152406265e-05	9.190128902515003e-05	1.9142279743545017e-05	1.5040000000000013
0.03243719381678992	0.0012498487315512488	8.378470822481551e-05	0.0013306353982206055	8.206869635471033e-05	8.078666666935675e-05	1.6870281887266214e-05	1.5200000000000014
0.032778617619335496	0.0010988390675989368	7.931314925130395e-05	0.001183457964885321	7.732460959233959e-05	8.461889728638404e-05	1.764880719912483e-05	1.5360000000000014
0.03312004078284504	0.0009166478133456488	7.514735595690575e-05	0.0010280297839046467	7.198512337583439e-05	0.00011138197055899786	2.157005145751393e-05	1.5520000000000014
0.033461463300662346	0.0008391767863386633	7.432582783254813e-05	0.0009713421586354983	6.988534591834432e-05	0.00013216537229683497	2.530547586722967e-05	1.5680000000000014
0.03380288516613119	0.0009414818712534041	7.758563099166595e-05	0.0010726649126566604	7.335642465904056e-05	0.00013118304140325628	2.5265888023528128e-05	1.5840000000000014
0.03414430637259539	0.0009970000854563161	7.858027115732538e-05	0.001113646440529257	7.464261838949572e-05	0.00011664635507294093	2.4562950456305077e-05	1.6000000000000014
0.03448572691339876	0.0010186496929296906	7.914867393149333e-05	0.0011360675327001352	7.529100450726845e-05	0.00011741783977044457	2.4408548203453895e-05	1.6160000000000014
0.03482714678188512	0.0011884419419089893	8.473979544307832e-05	0.0013175174690819276	8.100533986461598e-05	0.00012907552717293826	2.4879064394643436e-05	1.6320000000000014
0.035168565971398336	0.0015805873811696152	9.611009788011352e-05	0.0017180456009345695	9.242507340084346e-05	0.00013745821976495436	2.6358238206938296e-05	1.6480000000000015
0.035509984475282245	0.0021671609168269555	0.00011183023899513508	0.0023226700603845947	0.00010734812167491576	0.0001555091435576391	3.134299166602494e-05	1.6640000000000015
0.035851402286880725	0.003098096247240965	0.00013303421177210558	0.003290355218443703	0.00012761737611179764	0.00019225897120273773	3.757534851688563e-05	1.6800000000000015
0.03619281939953766	0.004465370262543082	0.00015907134934465555	0.0046936002432666855	0.00015224419735079754	0.00022822998072360404	4.610204502341367e-05	1.6960000000000015
0.036534235806596954	0.006357048794791103	0.00018837832659352767	0.006614353223868457	0.00018052082161014083	0.00025730442907735294	5.3838897605518296e-05	1.7120000000000015
0.036875651501402505	0.008588718534358455	0.00021607495352920033	0.008870178966511204	0.00020882334702512382	0.000281460432152748	5.550851538161319e-05	1.7280000000000015
0.03721706647729824	0.01021662336938199	0.000232403790181585	0.01048029008787188	0.000226756873460358	0.00026366671848988995	5.091995708216348e-05	1.7440000000000015
0.037558480727628116	0.01056261104617174	0.00023420742600969207	0.010788161291973304	0.00022988404959534145	0.00022555024580156485	4.479332695538448e-05	1.7600000000000016
0.03789989424573607	0.009656776146215547	0.00022390124729110232	0.009861377971372234	0.00021964076842008427	0.00020460182515668598	4.347069571960242e-05	1.7760000000000016
0.038241307024966066	0.00816547442954097	0.00020471250398492474	0.008334352843771802	0.00020178141011753436	0.00016887841423083354	3.451770297625895e-05	1.7920000000000016
0.038582719058662104	0.0064173492943329314	0.00018111218157125877	0.006562458953904704	0.00017889427225742437	0.00014510965957177218	2.8257064019234796e-05	1.8080000000000016
0.03892413034016816	0.004600549447396453	0.00015369273629739865	0.004725739182495339	0.00015164600208399966	0.00012518973509888546	2.499894482815802e-05	1.8240000000000016
0.03926554086282827	0.0032607398988609413	0.00012927912157736552	0.0033619537272054573	0.00012775091439358056	0.00010121382834451579	1.9819060205249502e-05	1.8400000000000016
0.03960695061998643	0.002393372104799244	0.00011236296196183914	0.0024996176191574137	0.00011002325901505882	0.00010624551435817	2.2810473395854564e-05	1.8560000000000016
0.0399483596049867	0.0018243393460805376	9.908311841042005e-05	0.001927588363272205	9.651322275238461e-05	0.00010324901719166736	2.242012907817236e-05	1.8720000000000017
0.04028976781117314	0.0015431188577306374	9.060245319741515e-05	0.0016336605791265214	8.876448429676588e-05	9.054172139588399e-05	1.8156840389203397e-05	1.8880000000000017
0.04063117523188981	0.0013120565974715974	8.384426493015585e-05	0.0013983009878107452	8.20531649710108e-05	8.62443903391478e-05	1.723771678379269e-05	1.9040000000000017
0.04097258186048079	0.0010561352397110018	7.551298495582085e-05	0.001133564246011819	7.381455070054363e-05	7.742900630081731e-05	1.5925545573540013e-05	1.9200000000000017
0.04131398769029021	0.0008730068568772992	6.913795333221807e-05	0.0009453734193437288	6.733255229579764e-05	7.236656246642956e-05	1.569662359559026e-05	1.9360000000000017
0.04165539271466216	0.0007518918311447021	6.471202049464395e-05	0.0008243700888391404	6.27963491856104e-05	7.247825769443829e-05	1.5628951514996318e-05	1.9520000000000017
0.041996796926940784	0.0007091348257833142	6.250646392515699e-05	0.0007770685798582528	6.0898789548256004e-05	6.793375407493863e-05	1.4085292470665136e-05	1.9680000000000017
0.04233820032047024	0.0007190983467862933	6.269525347013122e-05	0.0007836474673295427	6.107943331534955e-05	6.454912054324945e-05	1.4142051957186732e-05	1.9840000000000018
0.04267960288859467	0.0007277402199000882	6.262377360579904e-05	0.0007892651931320102	6.123418848388813e-05	6.1524973231922e-05	1.3119115113072e-05	2.0000000000000018
0.04302100462465828	0.0007184339694346641	6.229636843903296e-05	0.0007799234541128511	6.0806245251085655e-05	6.148948467818704e-05	1.3543930712926942e-05	2.016000000000002
0.043362405522005244	0.0007701718518212275	6.432369987241837e-05	0.0008364134423775049	6.288143035695398e-05	6.62415905562773e-05	1.3544891344728522e-05	2.032000000000002
0.04370380557397979	0.0007567862229137216	6.331621038341252e-05	0.0008163442016616885	6.205798264060837e-05	5.9557978747966895e-05	1.2559828338576348e-05	2.048000000000002
0.04404520477392616	0.0006542262379765048	5.886827037837768e-05	0.0007065878244039512	5.767846813559793e-05	5.2361586427446434e-05	1.1775719547976374e-05	2.064000000000002
0.04438660311518858	0.0006236254520554772	5.775171987998482e-05	0.0006804290082762924	5.6537659402120774e-05	5.680355622081522e-05	1.1779398050240877e-05	2.080000000000002
0.04472800059111132	0.0006465835828453558	5.967826511313925e-05	0.000716694151101728	5.796535282961397e-05	7.01105682563721e-05	1.4195534447582351e-05	2.096000000000002
0.04506939719503866	0.0007094961700493487	6.270613773757191e-05	0.0007854216490897189	6.062305622193141e-05	7.59254790403702e-05	1.602824894602907e-05	2.112000000000002
0.04541079292031489	0.0007796023694295274	6.41341685475519e-05	0.0008429973728976614	6.2749925464158e-05	6.339500346813398e-05	1.3252864955488289e-05	2.128000000000002
0.04575218776028434	0.0007805936325860097	6.386117159978349e-05	0.0008397266316224004	6.255977935055064e-05	5.913299903639068e-05	1.2826661518392467e-05	2.144000000000002
0.046093581708291344	0.0008184239093277528	6.575170181885356e-05	0.000886559326625194	6.420997022765598e-05	6.813541729744112e-05	1.4155070308513629e-05	2.160000000000002
0.046434974757680235	0.0009130197625391314	6.97610024620333e-05	0.0009905202705128475	6.780800073965778e-05	7.750050797371616e-05	1.6391232418533613e-05	2.176000000000002
0.04677636690179539	0.0010246610268537615	7.323084304612452e-05	0.0010997077253047465	7.139331704721602e-05	7.504669845098504e-05	1.630186045339052e-05	2.192000000000002
0.04711775813398118	0.0012574494743148293	7.972766159619214e-05	0.001327151320077307	7.834809897965018e-05	6.970184576247778e-05	1.4767376539923085e-05	2.208000000000002
0.04745914844758201	0.0015733711092907215	8.930649796046132e-05	0.0016580813179519595	8.749397725728503e-05	8.471020866123813e-05	1.7901243578689482e-05	2.224000000000002
0.04780053783594233	0.00193025567497196	9.895080277580714e-05	0.002028438873941431	9.668331636647028e-05	9.818319896947117e-05	2.1061759336715034e-05	2.240000000000002
0.048141926292406545	0.002383049491032411	0.00010881876673220346	0.002481452903226883	0.00010684336291277803	9.84034121944721e-05	2.064024696088005e-05	2.256000000000002
0.04848331381031912	0.0029199633339595694	0.00012006532312987863	0.0030299681857292714	0.00011796972776968769	0.00011000485176970197	2.2334393840620466e-05	2.272000000000002
0.04882470038302454	0.0033105521374944464	0.00012736007907981542	0.003422933700586147	0.000125281524590298	0.00011238156309170024	2.2915700721282756e-05	2.288000000000002
0.04916608600386728	0.003413085178059987	0.00012842148426354204	0.0035158234435960934	0.0001268675465308579	0.00010273826553610628	1.991741091838434e-05	2.304000000000002
0.04950747066619186	0.0032374623184689604	0.00012467700158366737	0.003331153629834495	0.00012337341056822614	9.369131136553465e-05	1.798211023928237e-05	2.320000000000002
0.04984885436334282	0.0029401058464567638	0.00011826110731541244	0.003015870774847571	0.00011727852557384027	7.576492839080727e-05	1.5213051721912768e-05	2.336000000000002
0.05019023708866469	0.0025982449552774344	0.00011094020032817605	0.0026622809633719195	0.00011008501523163182	6.40360080944851e-05	1.3748362459115711e-05	2.352000000000002
0.050531618835502064	0.0021365929479157638	0.00010076113177881386	0.0021969156005739138	9.989616020600565e-05	6.032265265815013e-05	1.3174325540366197e-05	2.368000000000002
0.0508729995971995	0.0016835289898867976	9.048058690478337e-05	0.001752980749630679	8.913512475933526e-05	6.945175974388134e-05	1.5545614840584323e-05	2.384000000000002
0.05121437936710162	0.0013445030558342109	8.165054615079575e-05	0.0014196021071785692	8.012565726225517e-05	7.509905134435836e-05	1.5706391533857878e-05	2.400000000000002
0.05155575813855305	0.0011154743502745478	7.46742582615477e-05	0.0011869722784926982	7.321631921598149e-05	7.149792821815036e-05	1.4683849882637143e-05	2.416000000000002
0.05189713590489843	0.0010079819727877748	7.104150490780894e-05	0.0010760256212372745	6.965913624277054e-05	6.804364844949965e-05	1.3946331326817531e-05	2.432000000000002
0.052238512659482414	0.0009742954559443497	6.9493080958202e-05	0.0010373849033215423	6.833057545260547e-05	6.308944737719262e-05	1.2657833913391666e-05	2.448000000000002
0.05257988839564973	0.0008984984631973188	6.761466381747341e-05	0.0009706026489499395	6.601420051692752e-05	7.210418575262072e-05	1.4624229663843277e-05	2.464000000000002
0.052921263106745026	0.0008259346337051628	6.526336059579945e-05	0.0009011510884798721	6.353309204270115e-05	7.52164547747092e-05	1.492824342483106e-05	2.480000000000002
0.05326263678611306	0.0008991447416494323	6.763595436636657e-05	0.0009734159428691823	6.595655560523649e-05	7.427120121974998e-05	1.4978487765544534e-05	2.496000000000002
0.05360400942709858	0.0010373482219440322	7.208044025964562e-05	0.0011093622777996158	7.035428295066904e-05	7.20140558555837e-05	1.568007457002488e-05	2.5120000000000022
0.05394538102304632	0.0012448199582784027	7.754612626238094e-05	0.0013079979391425588	7.633453710914585e-05	6.317798086415614e-05	1.365430857398363e-05	2.5280000000000022
0.0542867515673011	0.0014989961267387218	8.424572516565503e-05	0.0015587969330451185	8.326831921352526e-05	5.9800806306396626e-05	1.2795672082448077e-05	2.5440000000000023
0.054628121053207704	0.0016538456156096014	8.799322083444415e-05	0.0017093330611651207	8.712528878644123e-05	5.548744555551934e-05	1.2328461651742072e-05	2.5600000000000023
0.054969489474110955	0.001672352243245807	8.850162571953331e-05	0.0017288366494499227	8.754095963696499e-05	5.648440620411576e-05	1.3004543084615706e-05	2.5760000000000023
0.05531085682335571	0.0016474832487062881	8.839174094836504e-05	0.0017173779948327981	8.71840848225974e-05	6.989474612650997e-05	1.4561429240600503e-05	2.5920000000000023
