#Extracted Yoneda between qz = 0.024 .. 0.029 A-1
#q/A-1	I/a.u.
-0.283173576424	4.8935269941e-08
-0.282711360587	4.66237247863e-08
-0.28224913646	1.14129920303e-07
-0.281786904058	1.11818375149e-07
-0.281324663394	9.54804303888e-08
-0.28086241448	8.15325951222e-08
-0.280400157331	6.28831052076e-08
-0.27993789196	6.28831052076e-08
-0.27947561838	7.69095048128e-08
-0.279013336604	8.15325951222e-08
-0.278551046646	8.38441402768e-08
-0.27808874852	3.25973251811e-08
-0.277626442238	3.25973251811e-08
-0.277164127814	4.19220701384e-08
-0.276701805261	9.32474495727e-09
-0.276239474593	9.32474495727e-09
-0.275777135823	2.09610350692e-08
-0.275314788964	3.96105249837e-08
-0.27485243403	3.72989798291e-08
-0.274390071034	5.12468150957e-08
-0.27392769999	5.35583602503e-08
-0.273465320911	5.82600148983e-08
-0.27300293381	8.15325951222e-08
-0.272540538701	3.02857800265e-08
-0.272078135596	5.35583602503e-08
-0.271615724511	3.96105249837e-08
-0.271153305457	1.09506829994e-07
-0.270690878448	5.12468150957e-08
-0.270228443497	5.35583602503e-08
-0.269766000619	2.32725802239e-08
-0.269303549826	4.42336152931e-08
-0.268841091132	2.32725802239e-08
-0.26837862455	9.32474495727e-09
-0.267916150093	4.19220701384e-08
-0.267453667776	2.79742348718e-08
-0.26699117761	1.16362901119e-08
-0.26652867961	6.05715600529e-08
-0.26606617379	7.22078501649e-08
-0.265603660162	1.14129920303e-07
-0.265141138739	2.09610350692e-08
-0.264678609536	3.02857800265e-08
-0.264216072566	3.25973251811e-08
-0.263290975377	3.25973251811e-08
-0.262828415185	5.12468150957e-08
-0.26236584728	7.45193953195e-08
-0.261903271674	5.35583602503e-08
-0.261440688381	2.09610350692e-08
-0.260978097415	3.72989798291e-08
-0.260515498788	1.86494899145e-08
-0.260052892515	5.82600148983e-08
-0.259590278609	3.02857800265e-08
-0.259127657083	1.37402500527e-07
-0.25866502795	7.69095048128e-08
-0.258202391224	8.14540307835e-08
-0.257739746919	9.55589947274e-08
-0.257277095047	4.42336152931e-08
-0.256814435623	6.75847598555e-08
-0.256351768659	1.16362901119e-08
-0.25588909417	5.12468150957e-08
-0.255426412168	4.19220701384e-08
-0.254963722666	9.08573400794e-08
-0.25450102568	9.32474495727e-09
-0.25403832122	4.8935269941e-08
-0.253575609302	3.25973251811e-08
-0.253112889939	6.28831052076e-08
-0.252650163143	5.12468150957e-08
-0.252187428929	4.19220701384e-08
-0.25172468731	8.38441402768e-08
-0.2512619383	4.8935269941e-08
-0.25079918191	5.12468150957e-08
-0.250336418157	5.35583602503e-08
-0.249873647051	5.12468150957e-08
-0.249410868608	2.09610350692e-08
-0.24894808284	3.02857800265e-08
-0.248022489385	2.79742348718e-08
-0.247559681724	3.25973251811e-08
-0.247096866792	3.96105249837e-08
-0.246634044604	5.82600148983e-08
-0.246171215171	6.75847598555e-08
-0.245708378508	4.19220701384e-08
-0.245245534627	2.32725802239e-08
-0.244782683544	3.72989798291e-08
-0.24431982527	3.25973251811e-08
-0.243856959819	1.16362901119e-08
-0.243394087205	8.38441402768e-08
-0.242931207442	1.07116720501e-07
-0.242468320542	2.79742348718e-08
-0.242005426519	2.79742348718e-08
-0.241542525387	2.32725802239e-08
-0.241079617159	3.02857800265e-08
-0.240616701848	6.28831052076e-08
-0.240153779469	3.02857800265e-08
-0.239690850033	3.02857800265e-08
-0.239227913556	2.79742348718e-08
-0.23876497005	8.15325951222e-08
-0.238302019529	1.4441570033e-07
-0.237839062006	7.92210499675e-08
-0.237376097494	5.59484697436e-08
-0.236913126008	1.25766210415e-07
-0.236450147561	9.31688852341e-08
-0.235987162165	7.45193953195e-08
-0.235524169835	2.79742348718e-08
-0.235061170584	5.12468150957e-08
-0.234598164426	6.98963050102e-08
-0.234135151374	7.69095048128e-08
-0.233672131441	4.8935269941e-08
-0.233209104641	3.02857800265e-08
-0.232746070987	9.7870539882e-08
-0.232283030493	5.12468150957e-08
-0.231819983172	7.22078501649e-08
-0.230893868105	1.86494899145e-08
-0.230430800386	1.16362901119e-08
-0.229967725893	3.02857800265e-08
-0.229504644641	3.25973251811e-08
-0.229041556644	2.79742348718e-08
-0.228578461914	1.16362901119e-08
-0.228115360465	8.15325951222e-08
-0.227652252311	4.19220701384e-08
-0.227189137465	3.96105249837e-08
-0.226726015941	4.19220701384e-08
-0.226262887751	4.8935269941e-08
-0.225799752911	1.23454665261e-07
-0.225336611432	6.05715600529e-08
-0.224873463329	9.54804303888e-08
-0.224410308615	5.35583602503e-08
-0.223947147303	2.09610350692e-08
-0.223483979408	5.82600148983e-08
-0.223020804942	2.32725802239e-08
-0.222557623919	3.72989798291e-08
-0.222094436352	1.25766210415e-07
-0.221631242256	7.69095048128e-08
-0.221168041643	6.05715600529e-08
-0.220704834527	6.75847598555e-08
-0.220241620921	5.82600148983e-08
-0.21977840084	3.72989798291e-08
-0.219315174296	4.66237247863e-08
-0.218851941303	9.31688852341e-08
-0.218388701874	5.82600148983e-08
-0.217925456024	2.79742348718e-08
-0.217462203765	2.09610350692e-08
-0.216998945111	3.02857800265e-08
-0.216535680075	4.8935269941e-08
-0.216072408672	6.05715600529e-08
-0.215609130914	3.25973251811e-08
-0.215145846815	4.8935269941e-08
-0.214682556388	4.19220701384e-08
-0.214219259648	8.85457949248e-08
-0.213755956607	1.86494899145e-08
-0.21329264728	4.8935269941e-08
-0.212829331679	5.82600148983e-08
-0.212366009818	5.12468150957e-08
-0.21190268171	4.8935269941e-08
-0.21143934737	1.86494899145e-08
-0.210976006811	6.28831052076e-08
-0.210512660045	1.30467865063e-07
-0.210049307087	3.02857800265e-08
-0.209585947951	3.72989798291e-08
-0.209122582649	5.12468150957e-08
-0.208659211196	6.75847598555e-08
-0.208195833604	6.28831052076e-08
-0.207732449888	4.42336152931e-08
-0.20726906006	5.5869905405e-08
-0.206805664135	5.12468150957e-08
-0.206342262125	1.23454665261e-07
-0.205878854045	4.42336152931e-08
-0.205415439908	1.16362901119e-08
-0.204952019728	3.72989798291e-08
-0.204488593517	4.42336152931e-08
-0.20402516129	5.12468150957e-08
-0.20356172306	2.09610350692e-08
-0.203098278841	9.08573400794e-08
-0.202634828645	5.12468150957e-08
-0.202171372488	3.02857800265e-08
-0.201707910381	7.69095048128e-08
-0.20124444234	7.45193953195e-08
-0.200780968376	6.75847598555e-08
-0.200317488504	6.98963050102e-08
-0.199854002738	5.82600148983e-08
-0.199390511091	8.15325951222e-08
-0.198927013575	4.66237247863e-08
-0.198463510206	4.19220701384e-08
-0.198000000997	5.35583602503e-08
-0.19753648596	6.98963050102e-08
-0.19707296511	5.59484697436e-08
-0.19660943846	5.35583602503e-08
-0.196145906024	6.28831052076e-08
-0.195682367815	4.19220701384e-08
-0.195218823847	4.42336152931e-08
-0.194755274133	7.68309404742e-08
