#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 31
#    # data points      = 14
#    # variables        = 2
#    chi-square         = 14.4527495
#    reduced chi-square = 1.20439579
#    Akaike info crit   = 4.44558284
#    Bayesian info crit = 5.72369750
#[[Variables]]
#    N:       1 (fixed)
#    logmu:   12.4876475 +/- 0.13013588 (1.04%) (init = 11)
#    logstd:  0.13208588 +/- 0.00902805 (6.83%) (init = 0.1)

#bin_center	count	error
6.49862984	0.006913858100838082	0.006913858100838082
7.16210252	0.0	0.0
7.8255752	0.020741574302514245	0.011975153506973223
8.489047880000001	0.013827716201676164	0.009777671894528306
9.15252056	0.03456929050419041	0.015459856700261548
9.815993240000001	0.06222472290754274	0.020741574302514245
10.479465919999999	0.08988015531089506	0.02492826989385378
11.1429386	0.17284645252095204	0.03456929050419041
11.806411279999999	0.24198503352933287	0.04090293613358768
12.46988396	0.20741574302514246	0.03786876041218845
13.133356639999999	0.21432960112598054	0.038494732743509924
13.79682932	0.2350711754284948	0.04031437399377335
14.460302000000002	0.09679401341173315	0.02586928823410766
15.12377468	0.08988015531089506	0.02492826989385378
15.787247360000002	0.020741574302514245	0.011975153506973223
