#Data reduced with Dominiques SARed v. 1.0
#wavelength: 5.1386
#q/A-1 	 Icorr/a.u. 	 sIcorr /a.u. 	Ispec/a.u. 	 sIspec/a.u. 	 Ibg/a.u. 	 sIbg/a.u. 	 2th/°
0.0	0.00276976518432	0.000256231910328	0.00325029560618	0.00020199990263	0.000480530421858	0.000157641464113	0.0
0.000384135926537	0.0091926987983	0.000546517150593	0.0107292076739	0.000366813786478	0.00153650887558	0.000405127932809	0.018
0.000768271843595	0.0128196313601	0.000686066362668	0.014942854257	0.000432444779024	0.00212322289695	0.000532614839335	0.036
0.0011524077417	0.0110655356794	0.00058251528507	0.0127650483691	0.000399000109283	0.00169951268975	0.000424408965659	0.054
0.00153654361136	0.00912325193747	0.000427212262081	0.0100918177645	0.000353607568561	0.000968565826987	0.000239733194048	0.072
0.00192067944312	0.0118620910019	0.000414580814804	0.012426345721	0.000390563685881	0.000564254719133	0.000139058474299	0.09
0.00230481522748	0.0205150347233	0.00051234995022	0.0208726663179	0.000504648773315	0.000357631594647	8.84990795562e-05	0.108
0.00268895095498	0.0328640991716	0.000637161414845	0.0331156578982	0.000634421797206	0.000251558726651	5.90224685751e-05	0.126
0.00307308661613	0.0453424126117	0.000745167109815	0.0455901929152	0.000743092582554	0.000247780303479	5.55646947612e-05	0.144
0.00345722220145	0.0549362253418	0.000818456261633	0.0551960177986	0.000816384259285	0.000259792456777	5.82013178381e-05	0.162
0.00384135770147	0.0622348117763	0.00087022300645	0.0625254219107	0.000867657824261	0.000290610134401	6.67681132911e-05	0.18
0.0042254931067	0.0686626720705	0.000912302750803	0.0689858887045	0.000909601740918	0.000323216634027	7.014971163e-05	0.198
0.00460962840768	0.0748375099826	0.000949364567111	0.0751665361672	0.00094676474142	0.000329026184608	7.02111507572e-05	0.216
0.00499376359492	0.0798169997997	0.00097700554409	0.0801652359141	0.000974353265348	0.000348236114372	7.19412780596e-05	0.234
0.00537789865894	0.0848989037171	0.00100468902191	0.0853050794403	0.00100146983964	0.000406175723236	8.0362871026e-05	0.252
0.00576203359027	0.0906939551488	0.00103595379433	0.0911588499309	0.00103172458813	0.000464894782066	9.35127705149e-05	0.27
0.00614616837943	0.0964153661337	0.00106542911182	0.0969149207496	0.00106039436635	0.000499554615855	0.000103455208312	0.288
0.00653030301693	0.103066932882	0.00109767413594	0.103559211116	0.00109277115445	0.000492278233864	0.000103632585187	0.306
0.00691443749331	0.108784189076	0.00112387266063	0.109265504281	0.00111931662075	0.000481315205711	0.000101094311482	0.324
0.00729857179908	0.114080598978	0.00114783115827	0.114561852445	0.00114331391039	0.000481253467685	0.000101733328831	0.342
0.00768270592476	0.119802657688	0.00117286611501	0.120279874818	0.00116875209984	0.000477217129653	9.81501546151e-05	0.36
0.00806683986089	0.125217249155	0.00119612348727	0.12572499008	0.00119191814262	0.000507740924638	0.000100212464784	0.378
0.00845097359797	0.131659451518	0.0012233130319	0.132198564257	0.00121895249683	0.000539112739077	0.000103196824044	0.396
0.00883510712653	0.137914431575	0.00124834876615	0.13845202846	0.00124403171901	0.00053759688534	0.000103729089594	0.414
