#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-7_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 11:36:47.881792
#Finished Fit at 2019-01-15 11:36:47.900405
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 6
#    # data points      = 4676
#    # variables        = 1
#    chi-square         = 19447.7439
#    reduced chi-square = 4.15994523
#    Akaike info crit   = 6666.64681
#    Bayesian info crit = 6673.09701
#[[Variables]]
#    Ms:     188.8 (fixed)
#    mu:     3785 (fixed)
#    chi:    2.32000000 +/- 0.00909869 (0.39%) (init = 1.68)
#    sigMu:  0 (fixed)
#    T:      300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.5084515625	-199.952666625	1.6192631327	-205.92128965511102
-8.49855625	-202.4421916117	1.2644201869	-205.8952838858738
-8.4962003906	-201.5455636493	1.3892204623	-205.88909142936308
-8.4883128906	-201.731887341	1.670261121	-205.8683559307838
-8.4834984375	-202.6184833519	1.4639674992	-205.85569695787513
-8.4783148438	-204.3176588443	1.1868279211	-205.84206548708528
-8.4727484375	-201.5885310255	1.5473149475	-205.82742513362206
-8.4663230469	-202.0164487605	1.4766709065	-205.810522720212
-8.4614628906	-201.3311236472	1.5290772447	-205.7977357456046
-8.4518027344	-201.9376885072	1.3338083371	-205.7723149055691
-8.4517042969	-201.3479659933	1.66837297	-205.77205583046506
-8.4409765625	-203.8150167812	1.512158427	-205.74381749333293
-8.4405554688	-202.485684579	1.1571201471	-205.74270888561455
-8.430078125	-201.5485263709	1.5258697421	-205.71512108817336
-8.4262304687	-201.8351550802	1.3788759125	-205.7049878118248
-8.4178070312	-202.0193857524	1.2573554602	-205.68279980153022
-8.4124675781	-202.5681937502	1.459318807	-205.66873250999453
-8.4087179688	-201.75635632	1.5117214074	-205.6588525364788
-8.4045773438	-202.0979798372	1.3332001623	-205.6479410381296
-8.3972457031	-202.444729347	1.8338047584	-205.62861732266623
-8.3955667969	-202.3098040813	1.4712666407	-205.62419172720274
-8.3862414063	-200.1739439964	1.2765934105	-205.59960613792217
-8.3855625	-202.0435745816	1.3175389675	-205.59781600364184
-8.3755902344	-203.6425699257	1.2464727314	-205.57151720222103
-8.3712351563	-201.7621687927	1.8286000557	-205.56002965106023
-8.361509375	-202.4577641789	1.6083833926	-205.5343703927176
-8.36011875	-203.647015404	1.8032495581	-205.53070095693224
-8.3502941406	-201.8076903683	1.1571935781	-205.50477260003242
-8.3488960937	-202.61031955	1.7215930247	-205.5010823819785
-8.340075	-200.4169259013	2.1824497621	-205.47779518901524
-8.3376246094	-201.5492809109	1.3151232476	-205.471325235312
-8.3268988281	-202.5179080805	1.4665841729	-205.4429996972014
-8.3255484375	-203.3384649992	1.6924522939	-205.43943284451578
-8.3158933594	-200.3515864	1.4073102923	-205.41392630875956
-8.3148265625	-199.906303805	1.2661053696	-205.41110762964433
-8.3048367187	-201.3205710482	1.4988724347	-205.38470828838132
-8.3039300781	-203.2930187853	0.998740937	-205.38231199977326
-8.2943394531	-201.8222435717	1.4877967747	-205.35695966016831
-8.2929324219	-200.1271731278	1.4717929704	-205.35323963972078
-8.2821535156	-200.8755198988	1.3178587013	-205.3247363775654
-8.2775769531	-201.529035042	1.4845694752	-205.31263156477323
-8.2689503906	-200.5768815651	1.554407431	-205.28981019855843
-8.26784375	-201.3391974114	2.1503715552	-205.28688218311055
-8.2570933594	-200.9326448893	1.9898134208	-205.25843313054386
-8.2561546875	-204.0397190904	1.5803955339	-205.25594866375133
-8.2461132813	-201.8829439789	1.43928902	-205.2293668073467
-8.2447277344	-202.1709741556	1.3853822722	-205.22569832528302
-8.2343832031	-198.3023985722	1.4690861099	-205.19830450852604
-8.2339644531	-202.3521000871	1.3344064283	-205.197195418271
-8.224434375	-201.7969506619	1.7144503877	-205.17195051577244
-8.2228992187	-200.6968981627	1.7315076315	-205.167883251345
-8.2122175781	-201.6544577987	1.3902603899	-205.13957792983223
-8.2098714844	-201.4699618941	1.6210326434	-205.13335977870324
-8.2014652344	-200.7594048847	1.9807397774	-205.1110759814188
-8.1988742187	-201.9434393246	1.3687970298	-205.10420641001116
-8.1909902344	-199.8099160046	1.801850819	-205.0833002271587
-8.1878878906	-203.2990502719	1.5089318663	-205.07507227400134
-8.1794757812	-199.3404011466	1.3579229089	-205.05275796912056
-8.1719191406	-201.1166512678	1.4080532739	-205.03270800379056
-8.1672191406	-201.006091689	1.3124580902	-205.02023518599952
-8.1636765625	-201.4287031706	1.7267344474	-205.01083273014294
-8.1545058594	-201.5940097831	1.5943835095	-204.98648773270764
-8.151665625	-200.4067081964	1.756949902	-204.97894650694383
-8.141234375	-201.0599782124	1.5482208258	-204.9512443575754
-8.1387199219	-200.2931564452	1.4038199204	-204.94456541109818
-8.1298054687	-201.7343675377	1.4081305601	-204.92088242790288
-8.1247253906	-202.2207593485	1.4678053	-204.90738326368023
-8.1170457031	-202.0717746413	1.5617380673	-204.8869721508804
-8.1144835938	-198.499102779	1.598474325	-204.88016147125714
-8.1044585937	-200.588692978	1.5132009826	-204.85350743406207
-8.1040660156	-201.2535686794	1.6005981046	-204.85246349341537
-8.0938164062	-201.3468672672	1.0537029192	-204.82520324017872
-8.0924808594	-201.5016971035	1.3500298246	-204.82165051944548
-8.0848382813	-202.2301345891	1.3182761813	-204.8013174237358
-8.0799984375	-202.4964224088	1.289570464	-204.78843846286102
-8.0735792969	-202.4008451606	1.1431256598	-204.77135389583879
-8.0665085937	-201.1402105491	1.2560111413	-204.75253115436644
-8.0585632813	-202.5030806502	1.4771439894	-204.7313750732858
-8.0555132813	-202.667176734	1.5754302628	-204.72325237402399
-8.046840625	-200.1324380893	1.9254594108	-204.70015119261856
-8.0445238281	-201.3355676401	1.401627027	-204.69397889925702
-8.0350980469	-199.8679632537	2.0627269699	-204.6688624681085
-8.0302664062	-201.2455745967	1.9006450336	-204.65598486822455
-8.0222921875	-199.4171753312	1.5508307365	-204.63472707220478
-8.019459375	-201.493202791	1.6031792532	-204.62717399650836
-8.0085496094	-204.0633372165	1.9277183561	-204.5980790070535
-8.0077128906	-200.9771928349	1.555711633	-204.5958471562174
-7.997534375	-202.0603247799	1.3193775262	-204.5686922704809
-7.9959683594	-201.3576371889	1.9168512466	-204.5645135551706
-7.9855609375	-202.3959000114	1.6572319348	-204.5367372248816
-7.9817359375	-200.9380565661	1.6607159903	-204.52652631672555
-7.9743125	-199.8362596066	1.498419969	-204.50670565325083
-7.968234375	-199.8901711563	1.6009387438	-204.49047338487927
-7.9598105469	-202.8615080068	1.9424447934	-204.46797129025148
-7.9584929687	-202.0700831614	1.2258559999	-204.46445115180467
-7.9477503906	-201.0223200958	1.3296455524	-204.43574476047053
-7.9465582031	-201.7271907376	1.546374959	-204.43255835817186
-7.9370089844	-201.261543495	1.3786052064	-204.40703126029484
-7.9340652344	-202.6400496183	1.6288731823	-204.3991603515917
-7.9245789062	-199.4452553151	2.0555473402	-204.3737908334268
-7.9240257813	-202.6471303321	1.759751175	-204.3723113497509
-7.9131078125	-202.0875306961	1.8428037936	-204.34310264405906
-7.9122878906	-203.9336360972	1.2054455539	-204.34090868507542
-7.9036035156	-200.843888627	1.7936753296	-204.3176671918939
-7.9005570312	-201.3652474881	1.5876937056	-204.3095124495153
-7.8918390625	-201.4332162452	1.8121334049	-204.28617180345174
-7.8910628906	-200.5685458799	1.9324155986	-204.28409342222136
-7.8803777344	-202.9242531655	1.7446510588	-204.2554758658011
-7.8763285156	-201.9052103191	1.442084366	-204.2446283178459
-7.870115625	-202.4192979013	1.306263545	-204.22798155065132
-7.866303125	-201.0513264624	1.516221786	-204.21776462372836
-7.8573910156	-203.8736282741	1.4974896658	-204.1938763165719
-7.854321875	-202.1675531805	1.3002060829	-204.1856480050783
-7.8448976562	-201.113984641	1.9666690406	-204.16037642388454
-7.8430855469	-201.7601217994	1.4676092568	-204.15551621061678
-7.8344007813	-202.6585658642	1.5799914972	-204.13221880369048
-7.8280839844	-200.6045351154	1.4331315125	-204.11526922653314
-7.8231503906	-203.3447281725	1.4230208822	-204.10202855879743
-7.8153519531	-201.4407896745	1.7266203073	-204.08109466657055
-7.8069039062	-204.0269396839	1.2904356498	-204.05841057642084
-7.805090625	-202.6037706734	1.6194635451	-204.05354081324717
-7.7959226563	-203.1187844221	1.5275611372	-204.02891451831184
-7.7943738281	-201.3761003165	1.3775798749	-204.02475339501882
-7.7836980469	-202.9109188736	1.3298685571	-203.9960654083973
-7.7828832031	-202.8315925424	1.6636347681	-203.9938753162913
-7.7739621094	-203.8538753977	1.3469564282	-203.9698935853105
-7.7713820312	-201.2001848463	1.3110188313	-203.9629563995906
-7.7622058594	-202.6868702389	1.5836548576	-203.9382788412226
-7.7603839844	-201.8349519653	1.3740773034	-203.93337830344828
-7.7501457031	-201.4701377453	1.7916492688	-203.9058331540627
-7.7489375	-201.7141573543	1.2781904542	-203.90258193423796
-7.7384515625	-203.0676091076	1.8554660552	-203.87435887314112
-7.7371480469	-201.873756333	1.5901505876	-203.87084970306088
-7.725734375	-200.7291219511	1.6281145334	-203.84011617881538
-7.7244117187	-200.9272147718	1.9281106858	-203.83655385752797
-7.7139132812	-202.5676160913	1.5803982278	-203.80827232204422
-7.7109726563	-203.1054042902	1.7061153938	-203.80034871396836
-7.7039171875	-201.0841404127	1.4623506373	-203.7813340983407
-7.7007257813	-203.5686001091	1.5449592097	-203.7727316085365
-7.6926972656	-200.906582189	1.6219547465	-203.7510862104359
-7.6899765625	-202.3425482631	1.5865750787	-203.7437495885412
-7.6797347656	-201.4707249629	1.6119021274	-203.71612514710932
-7.6787113281	-201.6685245872	1.4757514697	-203.7133641384312
-7.6687003906	-202.1027468312	2.1392688128	-203.68635139499486
-7.6655375	-201.8233299452	1.8674640862	-203.6778148379339
-7.65720625	-202.6129852548	1.7200970729	-203.65532427778953
-7.6525316406	-200.8758559972	1.5697558679	-203.64270195753963
-7.6459648437	-200.5853523594	2.1328523348	-203.62496670629048
-7.641009375	-203.3469604334	1.1399021786	-203.61158039826125
-7.6362214844	-200.9700490467	1.4616329639	-203.5986444428412
-7.631059375	-201.799687411	1.4574022513	-203.58469485066158
-7.6269785156	-200.6832870322	1.7224185593	-203.5736652346838
-7.6197964844	-202.9534473454	1.3884250722	-203.55424980757263
-7.6154847656	-199.8132116429	1.5788672425	-203.54259129820866
-7.60655625	-203.7442423941	1.3951949168	-203.51844340884443
-7.6049847656	-198.8731319963	1.5087373908	-203.5141923683218
-7.594553125	-202.1437917902	2.4674072205	-203.48596726799167
-7.5924945312	-201.0179660331	1.3635287018	-203.48039598297612
-7.5845671875	-201.5771394333	1.3690860493	-203.4589377465811
-7.5782488281	-202.33716714	1.8399594983	-203.44183021596368
-7.5730527344	-202.05191619	1.6181397641	-203.42775825930133
-7.56649375	-202.0226029953	1.5197923372	-203.4099913939091
-7.5595519531	-202.1748298496	1.3947933266	-203.39118275258332
-7.5564898437	-203.8525819682	1.6421331745	-203.38288445769197
-7.5475515625	-199.7363064272	1.6018717642	-203.35865623621163
-7.5455027344	-199.4798972871	1.2718661013	-203.35310149074274
-7.5365734375	-203.4124973024	1.1767606325	-203.3288874554091
-7.5309929687	-201.0244762888	1.0904673312	-203.3137503980882
-7.5241011719	-201.3207313366	2.1672420052	-203.29505187113338
-7.5175242188	-200.2411198441	1.5628184947	-203.2772029317807
-7.5096027344	-202.1848134063	2.0650522036	-203.2556990972157
-7.5065109375	-200.0654420012	1.7027822541	-203.24730424775044
-7.4980777344	-201.6335603535	1.5211528879	-203.22440128508413
-7.4960445312	-202.9150224834	1.4829467891	-203.21887837138223
-7.4863542969	-201.2379929443	1.5064878079	-203.1925501830454
-7.4837957031	-202.7565352582	1.3928437803	-203.18559686832353
-7.4760890625	-202.0838268899	1.6677248904	-203.16464885257363
-7.4712933594	-201.7576649842	1.8998152704	-203.15161008574358
-7.4621488281	-200.7310653851	1.7405572964	-203.1267407215589
-7.4575554687	-200.6382049692	1.6540515354	-203.11424529197038
-7.4533152344	-201.2363094156	1.4876191218	-203.10270846553087
-7.4504027344	-200.0421837033	1.7510020861	-203.0947830169324
-7.4413308594	-200.9975542183	1.2739662002	-203.0700909137582
-7.4406246094	-201.3402136904	1.8583951386	-203.06816824824574
-7.4306570312	-201.235934122	1.3053789328	-203.04102716855365
-7.4293332031	-202.2232279411	1.2907995379	-203.03742165836195
-7.4183820313	-203.8441057051	1.1194370359	-203.00758829699643
-7.4170746094	-201.461033397	1.1771550379	-203.0040257234194
-7.4061019531	-202.2019251057	1.682620854	-202.97411913674338
-7.40466875	-200.627744217	1.4843392913	-202.9702118879446
-7.3968542969	-200.9222760097	1.497830548	-202.94890388169952
-7.39491875	-201.7038512295	1.3879568046	-202.94362510450733
-7.3847109375	-201.8561912852	1.7344421109	-202.9157787112881
-7.3818558594	-200.5235685035	1.3649784096	-202.90798814237806
-7.3721816406	-199.956248819	1.9282222605	-202.88158366252173
-7.3711191406	-200.7050190267	1.8509478624	-202.87868307804106
-7.3589285156	-202.9197073094	1.4217039505	-202.84539413605626
-7.358884375	-202.3828965922	1.779948898	-202.84527357117128
-7.347884375	-201.8363654719	1.5497602633	-202.81522155647593
-7.3474574219	-201.7096413555	2.118113057	-202.81405484646402
-7.3367375	-202.5886643382	1.775235132	-202.7847544159565
-7.3358933594	-201.8202340539	1.7454499722	-202.7824466026726
-7.3271867188	-201.2970299569	1.3072183141	-202.75863864199928
-7.3271539063	-202.4615247923	1.8018748567	-202.75854890130896
-7.3166550781	-199.7176729492	1.8354976492	-202.72982881440132
-7.3129640625	-203.617809802	1.8156070109	-202.71972887439887
-7.3059019531	-202.3935669346	1.4560491603	-202.70040008721514
-7.3014414063	-203.3623897033	1.4782528027	-202.68818876569048
-7.2949214844	-201.1114363964	1.6554948385	-202.67033554093962
-7.289953125	-199.6813102806	1.5488165103	-202.65672761895487
-7.280434375	-201.5291619806	1.7694216462	-202.63064862193988
-7.2787257813	-201.5978142913	2.0811895631	-202.62596639579968
-7.2694371094	-201.0932685288	1.2943914556	-202.60050583384267
-7.2670261719	-202.7174572445	1.2053368679	-202.59389573885522
-7.2569292969	-203.1373656667	1.5073730345	-202.56620568199946
-7.2537539063	-203.1493973175	1.5732735897	-202.55749491476976
-7.245971875	-201.1930198864	1.6175583077	-202.5361421785551
-7.2407621094	-202.3542789681	1.7729589848	-202.52184339474596
-7.2337457031	-201.4695630762	1.4325985665	-202.50258104826815
-7.2302652344	-202.2031517787	1.4213181706	-202.4930238660693
-7.2207539062	-200.460722103	1.5311141826	-202.4668989747311
-7.2165210937	-201.3710729533	1.6178167315	-202.45526921251573
-7.2107328125	-201.3126671761	1.22202975	-202.43936232054764
-7.2035304688	-201.1087840558	1.7682894724	-202.41956385435503
-7.2002207031	-201.914886217	1.6549693596	-202.41046359286676
